"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"4/1/2024 12 a.m. PDT",593
SCL,"4/1/2024 1 a.m. PDT",534
SCL,"4/1/2024 2 a.m. PDT",437
SCL,"4/1/2024 3 a.m. PDT",448
SCL,"4/1/2024 4 a.m. PDT",454
SCL,"4/1/2024 5 a.m. PDT",492
SCL,"4/1/2024 6 a.m. PDT",615
SCL,"4/1/2024 7 a.m. PDT",754
SCL,"4/1/2024 8 a.m. PDT",892
SCL,"4/1/2024 9 a.m. PDT",794
SCL,"4/1/2024 10 a.m. PDT",700
SCL,"4/1/2024 11 a.m. PDT",723
SCL,"4/1/2024 12 p.m. PDT",663
SCL,"4/1/2024 1 p.m. PDT",585
SCL,"4/1/2024 2 p.m. PDT",559
SCL,"4/1/2024 3 p.m. PDT",559
SCL,"4/1/2024 4 p.m. PDT",545
SCL,"4/1/2024 5 p.m. PDT",641
SCL,"4/1/2024 6 p.m. PDT",821
SCL,"4/1/2024 7 p.m. PDT",860
SCL,"4/1/2024 8 p.m. PDT",823
SCL,"4/1/2024 9 p.m. PDT",847
SCL,"4/1/2024 10 p.m. PDT",739
SCL,"4/1/2024 11 p.m. PDT",705
SCL,"4/2/2024 12 a.m. PDT",608
SCL,"4/2/2024 1 a.m. PDT",545
SCL,"4/2/2024 2 a.m. PDT",515
SCL,"4/2/2024 3 a.m. PDT",492
SCL,"4/2/2024 4 a.m. PDT",474
SCL,"4/2/2024 5 a.m. PDT",504
SCL,"4/2/2024 6 a.m. PDT",588
SCL,"4/2/2024 7 a.m. PDT",676
SCL,"4/2/2024 8 a.m. PDT",711
SCL,"4/2/2024 9 a.m. PDT",743
SCL,"4/2/2024 10 a.m. PDT",652
SCL,"4/2/2024 11 a.m. PDT",560
SCL,"4/2/2024 12 p.m. PDT",520
SCL,"4/2/2024 1 p.m. PDT",379
SCL,"4/2/2024 2 p.m. PDT",380
SCL,"4/2/2024 3 p.m. PDT",393
SCL,"4/2/2024 4 p.m. PDT",438
SCL,"4/2/2024 5 p.m. PDT",560
SCL,"4/2/2024 6 p.m. PDT",591
SCL,"4/2/2024 7 p.m. PDT",720
SCL,"4/2/2024 8 p.m. PDT",878
SCL,"4/2/2024 9 p.m. PDT",875
SCL,"4/2/2024 10 p.m. PDT",754
SCL,"4/2/2024 11 p.m. PDT",673
SCL,"4/3/2024 12 a.m. PDT",448
SCL,"4/3/2024 1 a.m. PDT",164
SCL,"4/3/2024 2 a.m. PDT",150
SCL,"4/3/2024 3 a.m. PDT",142
SCL,"4/3/2024 4 a.m. PDT",137
SCL,"4/3/2024 5 a.m. PDT",189
SCL,"4/3/2024 6 a.m. PDT",226
SCL,"4/3/2024 7 a.m. PDT",285
SCL,"4/3/2024 8 a.m. PDT",445
SCL,"4/3/2024 9 a.m. PDT",405
SCL,"4/3/2024 10 a.m. PDT",458
SCL,"4/3/2024 11 a.m. PDT",552
SCL,"4/3/2024 12 p.m. PDT",528
SCL,"4/3/2024 1 p.m. PDT",420
SCL,"4/3/2024 2 p.m. PDT",403
SCL,"4/3/2024 3 p.m. PDT",404
SCL,"4/3/2024 4 p.m. PDT",433
SCL,"4/3/2024 5 p.m. PDT",
SCL,"4/3/2024 6 p.m. PDT",624
SCL,"4/3/2024 7 p.m. PDT",641
SCL,"4/3/2024 8 p.m. PDT",633
SCL,"4/3/2024 9 p.m. PDT",710
SCL,"4/3/2024 10 p.m. PDT",736
SCL,"4/3/2024 11 p.m. PDT",598
SCL,"4/4/2024 12 a.m. PDT",466
SCL,"4/4/2024 1 a.m. PDT",444
SCL,"4/4/2024 2 a.m. PDT",439
SCL,"4/4/2024 3 a.m. PDT",418
SCL,"4/4/2024 4 a.m. PDT",404
SCL,"4/4/2024 5 a.m. PDT",485
SCL,"4/4/2024 6 a.m. PDT",556
SCL,"4/4/2024 7 a.m. PDT",694
SCL,"4/4/2024 8 a.m. PDT",830
SCL,"4/4/2024 9 a.m. PDT",831
SCL,"4/4/2024 10 a.m. PDT",682
SCL,"4/4/2024 11 a.m. PDT",786
SCL,"4/4/2024 12 p.m. PDT",738
SCL,"4/4/2024 1 p.m. PDT",674
SCL,"4/4/2024 2 p.m. PDT",605
SCL,"4/4/2024 3 p.m. PDT",325
SCL,"4/4/2024 4 p.m. PDT",400
SCL,"4/4/2024 5 p.m. PDT",494
SCL,"4/4/2024 6 p.m. PDT",447
SCL,"4/4/2024 7 p.m. PDT",590
SCL,"4/4/2024 8 p.m. PDT",585
SCL,"4/4/2024 9 p.m. PDT",670
SCL,"4/4/2024 10 p.m. PDT",667
SCL,"4/4/2024 11 p.m. PDT",609
SCL,"4/5/2024 12 a.m. PDT",384
SCL,"4/5/2024 1 a.m. PDT",182
SCL,"4/5/2024 2 a.m. PDT",184
SCL,"4/5/2024 3 a.m. PDT",191
SCL,"4/5/2024 4 a.m. PDT",169
SCL,"4/5/2024 5 a.m. PDT",272
SCL,"4/5/2024 6 a.m. PDT",332
SCL,"4/5/2024 7 a.m. PDT",452
SCL,"4/5/2024 8 a.m. PDT",545
SCL,"4/5/2024 9 a.m. PDT",525
SCL,"4/5/2024 10 a.m. PDT",609
SCL,"4/5/2024 11 a.m. PDT",572
SCL,"4/5/2024 12 p.m. PDT",555
SCL,"4/5/2024 1 p.m. PDT",513
SCL,"4/5/2024 2 p.m. PDT",524
SCL,"4/5/2024 3 p.m. PDT",465
SCL,"4/5/2024 4 p.m. PDT",413
SCL,"4/5/2024 5 p.m. PDT",516
SCL,"4/5/2024 6 p.m. PDT",548
SCL,"4/5/2024 7 p.m. PDT",567
SCL,"4/5/2024 8 p.m. PDT",504
SCL,"4/5/2024 9 p.m. PDT",572
SCL,"4/5/2024 10 p.m. PDT",546
SCL,"4/5/2024 11 p.m. PDT",470
SCL,"4/6/2024 12 a.m. PDT",532
SCL,"4/6/2024 1 a.m. PDT",360
SCL,"4/6/2024 2 a.m. PDT",359
SCL,"4/6/2024 3 a.m. PDT",312
SCL,"4/6/2024 4 a.m. PDT",305
SCL,"4/6/2024 5 a.m. PDT",339
SCL,"4/6/2024 6 a.m. PDT",396
SCL,"4/6/2024 7 a.m. PDT",497
SCL,"4/6/2024 8 a.m. PDT",430
SCL,"4/6/2024 9 a.m. PDT",412
SCL,"4/6/2024 10 a.m. PDT",542
SCL,"4/6/2024 11 a.m. PDT",541
SCL,"4/6/2024 12 p.m. PDT",586
SCL,"4/6/2024 1 p.m. PDT",658
SCL,"4/6/2024 2 p.m. PDT",627
SCL,"4/6/2024 3 p.m. PDT",631
SCL,"4/6/2024 4 p.m. PDT",628
SCL,"4/6/2024 5 p.m. PDT",619
SCL,"4/6/2024 6 p.m. PDT",744
SCL,"4/6/2024 7 p.m. PDT",769
SCL,"4/6/2024 8 p.m. PDT",783
SCL,"4/6/2024 9 p.m. PDT",692
SCL,"4/6/2024 10 p.m. PDT",665
SCL,"4/6/2024 11 p.m. PDT",455
SCL,"4/7/2024 12 a.m. PDT",483
SCL,"4/7/2024 1 a.m. PDT",303
SCL,"4/7/2024 2 a.m. PDT",287
SCL,"4/7/2024 3 a.m. PDT",267
SCL,"4/7/2024 4 a.m. PDT",267
SCL,"4/7/2024 5 a.m. PDT",266
SCL,"4/7/2024 6 a.m. PDT",307
SCL,"4/7/2024 7 a.m. PDT",529
SCL,"4/7/2024 8 a.m. PDT",555
SCL,"4/7/2024 9 a.m. PDT",560
SCL,"4/7/2024 10 a.m. PDT",487
SCL,"4/7/2024 11 a.m. PDT",573
SCL,"4/7/2024 12 p.m. PDT",584
SCL,"4/7/2024 1 p.m. PDT",525
SCL,"4/7/2024 2 p.m. PDT",497
SCL,"4/7/2024 3 p.m. PDT",523
SCL,"4/7/2024 4 p.m. PDT",521
SCL,"4/7/2024 5 p.m. PDT",728
SCL,"4/7/2024 6 p.m. PDT",781
SCL,"4/7/2024 7 p.m. PDT",841
SCL,"4/7/2024 8 p.m. PDT",832
SCL,"4/7/2024 9 p.m. PDT",928
SCL,"4/7/2024 10 p.m. PDT",864
SCL,"4/7/2024 11 p.m. PDT",605
SCL,"4/8/2024 12 a.m. PDT",520
SCL,"4/8/2024 1 a.m. PDT",535
SCL,"4/8/2024 2 a.m. PDT",493
SCL,"4/8/2024 3 a.m. PDT",505
SCL,"4/8/2024 4 a.m. PDT",522
SCL,"4/8/2024 5 a.m. PDT",575
SCL,"4/8/2024 6 a.m. PDT",762
SCL,"4/8/2024 7 a.m. PDT",899
SCL,"4/8/2024 8 a.m. PDT",757
SCL,"4/8/2024 9 a.m. PDT",618
SCL,"4/8/2024 10 a.m. PDT",593
SCL,"4/8/2024 11 a.m. PDT",620
SCL,"4/8/2024 12 p.m. PDT",670
SCL,"4/8/2024 1 p.m. PDT",556
SCL,"4/8/2024 2 p.m. PDT",495
SCL,"4/8/2024 3 p.m. PDT",485
SCL,"4/8/2024 4 p.m. PDT",509
SCL,"4/8/2024 5 p.m. PDT",607
SCL,"4/8/2024 6 p.m. PDT",610
SCL,"4/8/2024 7 p.m. PDT",797
SCL,"4/8/2024 8 p.m. PDT",820
SCL,"4/8/2024 9 p.m. PDT",834
SCL,"4/8/2024 10 p.m. PDT",726
SCL,"4/8/2024 11 p.m. PDT",681
SCL,"4/9/2024 12 a.m. PDT",562
SCL,"4/9/2024 1 a.m. PDT",506
SCL,"4/9/2024 2 a.m. PDT",394
SCL,"4/9/2024 3 a.m. PDT",394
SCL,"4/9/2024 4 a.m. PDT",391
SCL,"4/9/2024 5 a.m. PDT",408
SCL,"4/9/2024 6 a.m. PDT",498
SCL,"4/9/2024 7 a.m. PDT",621
SCL,"4/9/2024 8 a.m. PDT",593
SCL,"4/9/2024 9 a.m. PDT",577
SCL,"4/9/2024 10 a.m. PDT",408
SCL,"4/9/2024 11 a.m. PDT",447
SCL,"4/9/2024 12 p.m. PDT",423
SCL,"4/9/2024 1 p.m. PDT",443
SCL,"4/9/2024 2 p.m. PDT",467
SCL,"4/9/2024 3 p.m. PDT",452
SCL,"4/9/2024 4 p.m. PDT",466
SCL,"4/9/2024 5 p.m. PDT",451
SCL,"4/9/2024 6 p.m. PDT",474
SCL,"4/9/2024 7 p.m. PDT",643
SCL,"4/9/2024 8 p.m. PDT",746
SCL,"4/9/2024 9 p.m. PDT",744
SCL,"4/9/2024 10 p.m. PDT",691
SCL,"4/9/2024 11 p.m. PDT",671
SCL,"4/10/2024 12 a.m. PDT",578
SCL,"4/10/2024 1 a.m. PDT",376
SCL,"4/10/2024 2 a.m. PDT",376
SCL,"4/10/2024 3 a.m. PDT",493
SCL,"4/10/2024 4 a.m. PDT",511
SCL,"4/10/2024 5 a.m. PDT",544
SCL,"4/10/2024 6 a.m. PDT",602
SCL,"4/10/2024 7 a.m. PDT",898
SCL,"4/10/2024 8 a.m. PDT",1000
SCL,"4/10/2024 9 a.m. PDT",823
SCL,"4/10/2024 10 a.m. PDT",766
SCL,"4/10/2024 11 a.m. PDT",708
SCL,"4/10/2024 12 p.m. PDT",650
SCL,"4/10/2024 1 p.m. PDT",506
SCL,"4/10/2024 2 p.m. PDT",493
SCL,"4/10/2024 3 p.m. PDT",520
SCL,"4/10/2024 4 p.m. PDT",504
SCL,"4/10/2024 5 p.m. PDT",530
SCL,"4/10/2024 6 p.m. PDT",556
SCL,"4/10/2024 7 p.m. PDT",872
SCL,"4/10/2024 8 p.m. PDT",837
SCL,"4/10/2024 9 p.m. PDT",759
SCL,"4/10/2024 10 p.m. PDT",774
SCL,"4/10/2024 11 p.m. PDT",584
SCL,"4/11/2024 12 a.m. PDT",596
SCL,"4/11/2024 1 a.m. PDT",455
SCL,"4/11/2024 2 a.m. PDT",415
SCL,"4/11/2024 3 a.m. PDT",384
SCL,"4/11/2024 4 a.m. PDT",403
SCL,"4/11/2024 5 a.m. PDT",426
SCL,"4/11/2024 6 a.m. PDT",487
SCL,"4/11/2024 7 a.m. PDT",859
SCL,"4/11/2024 8 a.m. PDT",861
SCL,"4/11/2024 9 a.m. PDT",883
SCL,"4/11/2024 10 a.m. PDT",789
SCL,"4/11/2024 11 a.m. PDT",784
SCL,"4/11/2024 12 p.m. PDT",368
SCL,"4/11/2024 1 p.m. PDT",474
SCL,"4/11/2024 2 p.m. PDT",498
SCL,"4/11/2024 3 p.m. PDT",513
SCL,"4/11/2024 4 p.m. PDT",542
SCL,"4/11/2024 5 p.m. PDT",560
SCL,"4/11/2024 6 p.m. PDT",560
SCL,"4/11/2024 7 p.m. PDT",695
SCL,"4/11/2024 8 p.m. PDT",677
SCL,"4/11/2024 9 p.m. PDT",657
SCL,"4/11/2024 10 p.m. PDT",615
SCL,"4/11/2024 11 p.m. PDT",570
SCL,"4/12/2024 12 a.m. PDT",457
SCL,"4/12/2024 1 a.m. PDT",398
SCL,"4/12/2024 2 a.m. PDT",386
SCL,"4/12/2024 3 a.m. PDT",387
SCL,"4/12/2024 4 a.m. PDT",391
SCL,"4/12/2024 5 a.m. PDT",388
SCL,"4/12/2024 6 a.m. PDT",427
SCL,"4/12/2024 7 a.m. PDT",630
SCL,"4/12/2024 8 a.m. PDT",796
SCL,"4/12/2024 9 a.m. PDT",880
SCL,"4/12/2024 10 a.m. PDT",830
SCL,"4/12/2024 11 a.m. PDT",857
SCL,"4/12/2024 12 p.m. PDT",781
SCL,"4/12/2024 1 p.m. PDT",621
SCL,"4/12/2024 2 p.m. PDT",616
SCL,"4/12/2024 3 p.m. PDT",321
SCL,"4/12/2024 4 p.m. PDT",373
SCL,"4/12/2024 5 p.m. PDT",389
SCL,"4/12/2024 6 p.m. PDT",405
SCL,"4/12/2024 7 p.m. PDT",741
SCL,"4/12/2024 8 p.m. PDT",807
SCL,"4/12/2024 9 p.m. PDT",687
SCL,"4/12/2024 10 p.m. PDT",737
SCL,"4/12/2024 11 p.m. PDT",645
SCL,"4/13/2024 12 a.m. PDT",570
SCL,"4/13/2024 1 a.m. PDT",403
SCL,"4/13/2024 2 a.m. PDT",388
SCL,"4/13/2024 3 a.m. PDT",388
SCL,"4/13/2024 4 a.m. PDT",385
SCL,"4/13/2024 5 a.m. PDT",383
SCL,"4/13/2024 6 a.m. PDT",393
SCL,"4/13/2024 7 a.m. PDT",580
SCL,"4/13/2024 8 a.m. PDT",605
SCL,"4/13/2024 9 a.m. PDT",681
SCL,"4/13/2024 10 a.m. PDT",681
SCL,"4/13/2024 11 a.m. PDT",589
SCL,"4/13/2024 12 p.m. PDT",584
SCL,"4/13/2024 1 p.m. PDT",626
SCL,"4/13/2024 2 p.m. PDT",657
SCL,"4/13/2024 3 p.m. PDT",641
SCL,"4/13/2024 4 p.m. PDT",594
SCL,"4/13/2024 5 p.m. PDT",619
SCL,"4/13/2024 6 p.m. PDT",820
SCL,"4/13/2024 7 p.m. PDT",1004
SCL,"4/13/2024 8 p.m. PDT",981
SCL,"4/13/2024 9 p.m. PDT",796
SCL,"4/13/2024 10 p.m. PDT",745
SCL,"4/13/2024 11 p.m. PDT",600
SCL,"4/14/2024 12 a.m. PDT",475
SCL,"4/14/2024 1 a.m. PDT",452
SCL,"4/14/2024 2 a.m. PDT",439
SCL,"4/14/2024 3 a.m. PDT",409
SCL,"4/14/2024 4 a.m. PDT",395
SCL,"4/14/2024 5 a.m. PDT",419
SCL,"4/14/2024 6 a.m. PDT",329
SCL,"4/14/2024 7 a.m. PDT",359
SCL,"4/14/2024 8 a.m. PDT",488
SCL,"4/14/2024 9 a.m. PDT",740
SCL,"4/14/2024 10 a.m. PDT",676
SCL,"4/14/2024 11 a.m. PDT",693
SCL,"4/14/2024 12 p.m. PDT",762
SCL,"4/14/2024 1 p.m. PDT",759
SCL,"4/14/2024 2 p.m. PDT",719
SCL,"4/14/2024 3 p.m. PDT",632
SCL,"4/14/2024 4 p.m. PDT",545
SCL,"4/14/2024 5 p.m. PDT",463
SCL,"4/14/2024 6 p.m. PDT",530
SCL,"4/14/2024 7 p.m. PDT",653
SCL,"4/14/2024 8 p.m. PDT",641
SCL,"4/14/2024 9 p.m. PDT",664
SCL,"4/14/2024 10 p.m. PDT",601
SCL,"4/14/2024 11 p.m. PDT",507
SCL,"4/15/2024 12 a.m. PDT",469
SCL,"4/15/2024 1 a.m. PDT",370
SCL,"4/15/2024 2 a.m. PDT",313
SCL,"4/15/2024 3 a.m. PDT",354
SCL,"4/15/2024 4 a.m. PDT",333
SCL,"4/15/2024 5 a.m. PDT",361
SCL,"4/15/2024 6 a.m. PDT",408
SCL,"4/15/2024 7 a.m. PDT",428
SCL,"4/15/2024 8 a.m. PDT",455
SCL,"4/15/2024 9 a.m. PDT",497
SCL,"4/15/2024 10 a.m. PDT",587
SCL,"4/15/2024 11 a.m. PDT",621
SCL,"4/15/2024 12 p.m. PDT",599
SCL,"4/15/2024 1 p.m. PDT",608
SCL,"4/15/2024 2 p.m. PDT",472
SCL,"4/15/2024 3 p.m. PDT",455
SCL,"4/15/2024 4 p.m. PDT",436
SCL,"4/15/2024 5 p.m. PDT",434
SCL,"4/15/2024 6 p.m. PDT",495
SCL,"4/15/2024 7 p.m. PDT",638
SCL,"4/15/2024 8 p.m. PDT",790
SCL,"4/15/2024 9 p.m. PDT",777
SCL,"4/15/2024 10 p.m. PDT",699
SCL,"4/15/2024 11 p.m. PDT",510
SCL,"4/16/2024 12 a.m. PDT",463
SCL,"4/16/2024 1 a.m. PDT",492
SCL,"4/16/2024 2 a.m. PDT",424
SCL,"4/16/2024 3 a.m. PDT",431
SCL,"4/16/2024 4 a.m. PDT",438
SCL,"4/16/2024 5 a.m. PDT",479
SCL,"4/16/2024 6 a.m. PDT",648
SCL,"4/16/2024 7 a.m. PDT",696
SCL,"4/16/2024 8 a.m. PDT",695
SCL,"4/16/2024 9 a.m. PDT",640
SCL,"4/16/2024 10 a.m. PDT",630
SCL,"4/16/2024 11 a.m. PDT",631
SCL,"4/16/2024 12 p.m. PDT",589
SCL,"4/16/2024 1 p.m. PDT",555
SCL,"4/16/2024 2 p.m. PDT",554
SCL,"4/16/2024 3 p.m. PDT",447
SCL,"4/16/2024 4 p.m. PDT",445
SCL,"4/16/2024 5 p.m. PDT",434
SCL,"4/16/2024 6 p.m. PDT",397
SCL,"4/16/2024 7 p.m. PDT",670
SCL,"4/16/2024 8 p.m. PDT",762
SCL,"4/16/2024 9 p.m. PDT",699
SCL,"4/16/2024 10 p.m. PDT",650
SCL,"4/16/2024 11 p.m. PDT",662
SCL,"4/17/2024 12 a.m. PDT",632
SCL,"4/17/2024 1 a.m. PDT",606
SCL,"4/17/2024 2 a.m. PDT",639
SCL,"4/17/2024 3 a.m. PDT",646
SCL,"4/17/2024 4 a.m. PDT",623
SCL,"4/17/2024 5 a.m. PDT",637
SCL,"4/17/2024 6 a.m. PDT",647
SCL,"4/17/2024 7 a.m. PDT",845
SCL,"4/17/2024 8 a.m. PDT",873
SCL,"4/17/2024 9 a.m. PDT",807
SCL,"4/17/2024 10 a.m. PDT",675
SCL,"4/17/2024 11 a.m. PDT",643
SCL,"4/17/2024 12 p.m. PDT",632
SCL,"4/17/2024 1 p.m. PDT",481
SCL,"4/17/2024 2 p.m. PDT",479
SCL,"4/17/2024 3 p.m. PDT",476
SCL,"4/17/2024 4 p.m. PDT",474
SCL,"4/17/2024 5 p.m. PDT",508
SCL,"4/17/2024 6 p.m. PDT",471
SCL,"4/17/2024 7 p.m. PDT",541
SCL,"4/17/2024 8 p.m. PDT",813
SCL,"4/17/2024 9 p.m. PDT",906
SCL,"4/17/2024 10 p.m. PDT",802
SCL,"4/17/2024 11 p.m. PDT",851
SCL,"4/18/2024 12 a.m. PDT",678
SCL,"4/18/2024 1 a.m. PDT",644
SCL,"4/18/2024 2 a.m. PDT",651
SCL,"4/18/2024 3 a.m. PDT",650
SCL,"4/18/2024 4 a.m. PDT",647
SCL,"4/18/2024 5 a.m. PDT",696
SCL,"4/18/2024 6 a.m. PDT",941
SCL,"4/18/2024 7 a.m. PDT",966
SCL,"4/18/2024 8 a.m. PDT",885
SCL,"4/18/2024 9 a.m. PDT",868
SCL,"4/18/2024 10 a.m. PDT",836
SCL,"4/18/2024 11 a.m. PDT",456
SCL,"4/18/2024 12 p.m. PDT",398
SCL,"4/18/2024 1 p.m. PDT",365
SCL,"4/18/2024 2 p.m. PDT",431
SCL,"4/18/2024 3 p.m. PDT",439
SCL,"4/18/2024 4 p.m. PDT",447
SCL,"4/18/2024 5 p.m. PDT",440
SCL,"4/18/2024 6 p.m. PDT",449
SCL,"4/18/2024 7 p.m. PDT",751
SCL,"4/18/2024 8 p.m. PDT",896
SCL,"4/18/2024 9 p.m. PDT",978
SCL,"4/18/2024 10 p.m. PDT",913
SCL,"4/18/2024 11 p.m. PDT",757
SCL,"4/19/2024 12 a.m. PDT",698
SCL,"4/19/2024 1 a.m. PDT",535
SCL,"4/19/2024 2 a.m. PDT",536
SCL,"4/19/2024 3 a.m. PDT",509
SCL,"4/19/2024 4 a.m. PDT",516
SCL,"4/19/2024 5 a.m. PDT",527
SCL,"4/19/2024 6 a.m. PDT",793
SCL,"4/19/2024 7 a.m. PDT",957
SCL,"4/19/2024 8 a.m. PDT",903
SCL,"4/19/2024 9 a.m. PDT",900
SCL,"4/19/2024 10 a.m. PDT",800
SCL,"4/19/2024 11 a.m. PDT",647
SCL,"4/19/2024 12 p.m. PDT",663
SCL,"4/19/2024 1 p.m. PDT",664
SCL,"4/19/2024 2 p.m. PDT",475
SCL,"4/19/2024 3 p.m. PDT",524
SCL,"4/19/2024 4 p.m. PDT",499
SCL,"4/19/2024 5 p.m. PDT",524
SCL,"4/19/2024 6 p.m. PDT",686
SCL,"4/19/2024 7 p.m. PDT",916
SCL,"4/19/2024 8 p.m. PDT",949
SCL,"4/19/2024 9 p.m. PDT",906
SCL,"4/19/2024 10 p.m. PDT",899
SCL,"4/19/2024 11 p.m. PDT",756
SCL,"4/20/2024 12 a.m. PDT",712
SCL,"4/20/2024 1 a.m. PDT",638
SCL,"4/20/2024 2 a.m. PDT",555
SCL,"4/20/2024 3 a.m. PDT",541
SCL,"4/20/2024 4 a.m. PDT",517
