"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"8/1/2024 12 a.m. PDT",456
SCL,"8/1/2024 1 a.m. PDT",273
SCL,"8/1/2024 2 a.m. PDT",225
SCL,"8/1/2024 3 a.m. PDT",147
SCL,"8/1/2024 4 a.m. PDT",140
SCL,"8/1/2024 5 a.m. PDT",142
SCL,"8/1/2024 6 a.m. PDT",161
SCL,"8/1/2024 7 a.m. PDT",192
SCL,"8/1/2024 8 a.m. PDT",362
SCL,"8/1/2024 9 a.m. PDT",363
SCL,"8/1/2024 10 a.m. PDT",429
SCL,"8/1/2024 11 a.m. PDT",457
SCL,"8/1/2024 12 p.m. PDT",478
SCL,"8/1/2024 1 p.m. PDT",453
SCL,"8/1/2024 2 p.m. PDT",438
SCL,"8/1/2024 3 p.m. PDT",472
SCL,"8/1/2024 4 p.m. PDT",450
SCL,"8/1/2024 5 p.m. PDT",484
SCL,"8/1/2024 6 p.m. PDT",778
SCL,"8/1/2024 7 p.m. PDT",840
SCL,"8/1/2024 8 p.m. PDT",769
SCL,"8/1/2024 9 p.m. PDT",647
SCL,"8/1/2024 10 p.m. PDT",528
SCL,"8/1/2024 11 p.m. PDT",411
SCL,"8/2/2024 12 a.m. PDT",328
SCL,"8/2/2024 1 a.m. PDT",315
SCL,"8/2/2024 2 a.m. PDT",240
SCL,"8/2/2024 3 a.m. PDT",243
SCL,"8/2/2024 4 a.m. PDT",183
SCL,"8/2/2024 5 a.m. PDT",159
SCL,"8/2/2024 6 a.m. PDT",238
SCL,"8/2/2024 7 a.m. PDT",160
SCL,"8/2/2024 8 a.m. PDT",198
SCL,"8/2/2024 9 a.m. PDT",505
SCL,"8/2/2024 10 a.m. PDT",426
SCL,"8/2/2024 11 a.m. PDT",455
SCL,"8/2/2024 12 p.m. PDT",514
SCL,"8/2/2024 1 p.m. PDT",576
SCL,"8/2/2024 2 p.m. PDT",598
SCL,"8/2/2024 3 p.m. PDT",724
SCL,"8/2/2024 4 p.m. PDT",627
SCL,"8/2/2024 5 p.m. PDT",605
SCL,"8/2/2024 6 p.m. PDT",614
SCL,"8/2/2024 7 p.m. PDT",740
SCL,"8/2/2024 8 p.m. PDT",717
SCL,"8/2/2024 9 p.m. PDT",442
SCL,"8/2/2024 10 p.m. PDT",261
SCL,"8/2/2024 11 p.m. PDT",293
SCL,"8/3/2024 12 a.m. PDT",240
SCL,"8/3/2024 1 a.m. PDT",310
SCL,"8/3/2024 2 a.m. PDT",236
SCL,"8/3/2024 3 a.m. PDT",207
SCL,"8/3/2024 4 a.m. PDT",137
SCL,"8/3/2024 5 a.m. PDT",174
SCL,"8/3/2024 6 a.m. PDT",162
SCL,"8/3/2024 7 a.m. PDT",143
SCL,"8/3/2024 8 a.m. PDT",201
SCL,"8/3/2024 9 a.m. PDT",284
SCL,"8/3/2024 10 a.m. PDT",411
SCL,"8/3/2024 11 a.m. PDT",406
SCL,"8/3/2024 12 p.m. PDT",414
SCL,"8/3/2024 1 p.m. PDT",414
SCL,"8/3/2024 2 p.m. PDT",414
SCL,"8/3/2024 3 p.m. PDT",430
SCL,"8/3/2024 4 p.m. PDT",429
SCL,"8/3/2024 5 p.m. PDT",431
SCL,"8/3/2024 6 p.m. PDT",581
SCL,"8/3/2024 7 p.m. PDT",582
SCL,"8/3/2024 8 p.m. PDT",557
SCL,"8/3/2024 9 p.m. PDT",436
SCL,"8/3/2024 10 p.m. PDT",416
SCL,"8/3/2024 11 p.m. PDT",359
SCL,"8/4/2024 12 a.m. PDT",289
SCL,"8/4/2024 1 a.m. PDT",238
SCL,"8/4/2024 2 a.m. PDT",212
SCL,"8/4/2024 3 a.m. PDT",186
SCL,"8/4/2024 4 a.m. PDT",149
SCL,"8/4/2024 5 a.m. PDT",144
SCL,"8/4/2024 6 a.m. PDT",146
SCL,"8/4/2024 7 a.m. PDT",238
SCL,"8/4/2024 8 a.m. PDT",280
SCL,"8/4/2024 9 a.m. PDT",283
SCL,"8/4/2024 10 a.m. PDT",297
SCL,"8/4/2024 11 a.m. PDT",318
SCL,"8/4/2024 12 p.m. PDT",248
SCL,"8/4/2024 1 p.m. PDT",278
SCL,"8/4/2024 2 p.m. PDT",442
SCL,"8/4/2024 3 p.m. PDT",466
SCL,"8/4/2024 4 p.m. PDT",440
SCL,"8/4/2024 5 p.m. PDT",446
SCL,"8/4/2024 6 p.m. PDT",637
SCL,"8/4/2024 7 p.m. PDT",701
SCL,"8/4/2024 8 p.m. PDT",778
SCL,"8/4/2024 9 p.m. PDT",690
SCL,"8/4/2024 10 p.m. PDT",509
SCL,"8/4/2024 11 p.m. PDT",444
SCL,"8/5/2024 12 a.m. PDT",249
SCL,"8/5/2024 1 a.m. PDT",256
SCL,"8/5/2024 2 a.m. PDT",190
SCL,"8/5/2024 3 a.m. PDT",160
SCL,"8/5/2024 4 a.m. PDT",137
SCL,"8/5/2024 5 a.m. PDT",125
SCL,"8/5/2024 6 a.m. PDT",198
SCL,"8/5/2024 7 a.m. PDT",194
SCL,"8/5/2024 8 a.m. PDT",218
SCL,"8/5/2024 9 a.m. PDT",388
