"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"12/1/2024 12 a.m. PST",78
SCL,"12/1/2024 1 a.m. PST",82
SCL,"12/1/2024 2 a.m. PST",83
SCL,"12/1/2024 3 a.m. PST",79
SCL,"12/1/2024 4 a.m. PST",139
SCL,"12/1/2024 5 a.m. PST",129
SCL,"12/1/2024 6 a.m. PST",167
SCL,"12/1/2024 7 a.m. PST",272
SCL,"12/1/2024 8 a.m. PST",331
SCL,"12/1/2024 9 a.m. PST",335
SCL,"12/1/2024 10 a.m. PST",249
SCL,"12/1/2024 11 a.m. PST",201
SCL,"12/1/2024 12 p.m. PST",194
SCL,"12/1/2024 1 p.m. PST",190
SCL,"12/1/2024 2 p.m. PST",191
SCL,"12/1/2024 3 p.m. PST",196
SCL,"12/1/2024 4 p.m. PST",503
SCL,"12/1/2024 5 p.m. PST",547
SCL,"12/1/2024 6 p.m. PST",603
SCL,"12/1/2024 7 p.m. PST",635
SCL,"12/1/2024 8 p.m. PST",645
SCL,"12/1/2024 9 p.m. PST",489
SCL,"12/1/2024 10 p.m. PST",239
SCL,"12/1/2024 11 p.m. PST",89
SCL,"12/2/2024 12 a.m. PST",86
SCL,"12/2/2024 1 a.m. PST",83
SCL,"12/2/2024 2 a.m. PST",85
SCL,"12/2/2024 3 a.m. PST",87
SCL,"12/2/2024 4 a.m. PST",159
SCL,"12/2/2024 5 a.m. PST",225
SCL,"12/2/2024 6 a.m. PST",321
SCL,"12/2/2024 7 a.m. PST",569
SCL,"12/2/2024 8 a.m. PST",634
SCL,"12/2/2024 9 a.m. PST",458
SCL,"12/2/2024 10 a.m. PST",287
SCL,"12/2/2024 11 a.m. PST",276
SCL,"12/2/2024 12 p.m. PST",273
SCL,"12/2/2024 1 p.m. PST",274
SCL,"12/2/2024 2 p.m. PST",290
SCL,"12/2/2024 3 p.m. PST",260
SCL,"12/2/2024 4 p.m. PST",470
SCL,"12/2/2024 5 p.m. PST",645
SCL,"12/2/2024 6 p.m. PST",677
SCL,"12/2/2024 7 p.m. PST",653
SCL,"12/2/2024 8 p.m. PST",599
SCL,"12/2/2024 9 p.m. PST",511
SCL,"12/2/2024 10 p.m. PST",469
SCL,"12/2/2024 11 p.m. PST",194
SCL,"12/3/2024 12 a.m. PST",161
SCL,"12/3/2024 1 a.m. PST",117
SCL,"12/3/2024 2 a.m. PST",103
SCL,"12/3/2024 3 a.m. PST",113
SCL,"12/3/2024 4 a.m. PST",227
SCL,"12/3/2024 5 a.m. PST",216
SCL,"12/3/2024 6 a.m. PST",336
SCL,"12/3/2024 7 a.m. PST",617
SCL,"12/3/2024 8 a.m. PST",588
SCL,"12/3/2024 9 a.m. PST",482
SCL,"12/3/2024 10 a.m. PST",396
SCL,"12/3/2024 11 a.m. PST",222
SCL,"12/3/2024 12 p.m. PST",240
SCL,"12/3/2024 1 p.m. PST",238
SCL,"12/3/2024 2 p.m. PST",244
SCL,"12/3/2024 3 p.m. PST",245
SCL,"12/3/2024 4 p.m. PST",520
SCL,"12/3/2024 5 p.m. PST",631
SCL,"12/3/2024 6 p.m. PST",611
SCL,"12/3/2024 7 p.m. PST",626
SCL,"12/3/2024 8 p.m. PST",634
SCL,"12/3/2024 9 p.m. PST",592
SCL,"12/3/2024 10 p.m. PST",434
SCL,"12/3/2024 11 p.m. PST",285
SCL,"12/4/2024 12 a.m. PST",165
SCL,"12/4/2024 1 a.m. PST",121
SCL,"12/4/2024 2 a.m. PST",107
SCL,"12/4/2024 3 a.m. PST",106
SCL,"12/4/2024 4 a.m. PST",111
SCL,"12/4/2024 5 a.m. PST",296
SCL,"12/4/2024 6 a.m. PST",513
SCL,"12/4/2024 7 a.m. PST",778
SCL,"12/4/2024 8 a.m. PST",752
SCL,"12/4/2024 9 a.m. PST",658
SCL,"12/4/2024 10 a.m. PST",563
SCL,"12/4/2024 11 a.m. PST",395
SCL,"12/4/2024 12 p.m. PST",391
SCL,"12/4/2024 1 p.m. PST",393
SCL,"12/4/2024 2 p.m. PST",392
SCL,"12/4/2024 3 p.m. PST",398
SCL,"12/4/2024 4 p.m. PST",661
SCL,"12/4/2024 5 p.m. PST",686
SCL,"12/4/2024 6 p.m. PST",690
SCL,"12/4/2024 7 p.m. PST",672
SCL,"12/4/2024 8 p.m. PST",656
SCL,"12/4/2024 9 p.m. PST",681
SCL,"12/4/2024 10 p.m. PST",456
SCL,"12/4/2024 11 p.m. PST",463
SCL,"12/5/2024 12 a.m. PST",291
SCL,"12/5/2024 1 a.m. PST",105
SCL,"12/5/2024 2 a.m. PST",178
SCL,"12/5/2024 3 a.m. PST",111
SCL,"12/5/2024 4 a.m. PST",113
SCL,"12/5/2024 5 a.m. PST",287
SCL,"12/5/2024 6 a.m. PST",364
SCL,"12/5/2024 7 a.m. PST",776
SCL,"12/5/2024 8 a.m. PST",706
SCL,"12/5/2024 9 a.m. PST",662
SCL,"12/5/2024 10 a.m. PST",493
SCL,"12/5/2024 11 a.m. PST",480
SCL,"12/5/2024 12 p.m. PST",476
SCL,"12/5/2024 1 p.m. PST",275
SCL,"12/5/2024 2 p.m. PST",271
SCL,"12/5/2024 3 p.m. PST",261
SCL,"12/5/2024 4 p.m. PST",520
SCL,"12/5/2024 5 p.m. PST",610
SCL,"12/5/2024 6 p.m. PST",636
SCL,"12/5/2024 7 p.m. PST",625
SCL,"12/5/2024 8 p.m. PST",565
SCL,"12/5/2024 9 p.m. PST",439
SCL,"12/5/2024 10 p.m. PST",435
SCL,"12/5/2024 11 p.m. PST",454
SCL,"12/6/2024 12 a.m. PST",272
SCL,"12/6/2024 1 a.m. PST",225
SCL,"12/6/2024 2 a.m. PST",273
SCL,"12/6/2024 3 a.m. PST",272
SCL,"12/6/2024 4 a.m. PST",279
SCL,"12/6/2024 5 a.m. PST",295
SCL,"12/6/2024 6 a.m. PST",486
SCL,"12/6/2024 7 a.m. PST",705
SCL,"12/6/2024 8 a.m. PST",660
SCL,"12/6/2024 9 a.m. PST",625
SCL,"12/6/2024 10 a.m. PST",479
SCL,"12/6/2024 11 a.m. PST",376
SCL,"12/6/2024 12 p.m. PST",246
SCL,"12/6/2024 1 p.m. PST",231
SCL,"12/6/2024 2 p.m. PST",236
SCL,"12/6/2024 3 p.m. PST",235
SCL,"12/6/2024 4 p.m. PST",684
SCL,"12/6/2024 5 p.m. PST",740
SCL,"12/6/2024 6 p.m. PST",770
SCL,"12/6/2024 7 p.m. PST",730
SCL,"12/6/2024 8 p.m. PST",701
SCL,"12/6/2024 9 p.m. PST",613
SCL,"12/6/2024 10 p.m. PST",431
SCL,"12/6/2024 11 p.m. PST",268
SCL,"12/7/2024 12 a.m. PST",272
SCL,"12/7/2024 1 a.m. PST",100
SCL,"12/7/2024 2 a.m. PST",100
SCL,"12/7/2024 3 a.m. PST",100
SCL,"12/7/2024 4 a.m. PST",100
SCL,"12/7/2024 5 a.m. PST",105
SCL,"12/7/2024 6 a.m. PST",107
SCL,"12/7/2024 7 a.m. PST",258
SCL,"12/7/2024 8 a.m. PST",207
SCL,"12/7/2024 9 a.m. PST",399
SCL,"12/7/2024 10 a.m. PST",523
SCL,"12/7/2024 11 a.m. PST",485
SCL,"12/7/2024 12 p.m. PST",246
SCL,"12/7/2024 1 p.m. PST",188
SCL,"12/7/2024 2 p.m. PST",187
SCL,"12/7/2024 3 p.m. PST",207
SCL,"12/7/2024 4 p.m. PST",256
SCL,"12/7/2024 5 p.m. PST",601
SCL,"12/7/2024 6 p.m. PST",665
SCL,"12/7/2024 7 p.m. PST",507
SCL,"12/7/2024 8 p.m. PST",510
SCL,"12/7/2024 9 p.m. PST",506
SCL,"12/7/2024 10 p.m. PST",336
SCL,"12/7/2024 11 p.m. PST",166
SCL,"12/8/2024 12 a.m. PST",136
SCL,"12/8/2024 1 a.m. PST",231
SCL,"12/8/2024 2 a.m. PST",211
SCL,"12/8/2024 3 a.m. PST",236
SCL,"12/8/2024 4 a.m. PST",234
SCL,"12/8/2024 5 a.m. PST",218
SCL,"12/8/2024 6 a.m. PST",228
SCL,"12/8/2024 7 a.m. PST",193
SCL,"12/8/2024 8 a.m. PST",212
SCL,"12/8/2024 9 a.m. PST",248
SCL,"12/8/2024 10 a.m. PST",248
SCL,"12/8/2024 11 a.m. PST",246
SCL,"12/8/2024 12 p.m. PST",250
SCL,"12/8/2024 1 p.m. PST",250
