"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"2/1/2024 12 a.m. PST",420
SCL,"2/1/2024 1 a.m. PST",366
SCL,"2/1/2024 2 a.m. PST",366
SCL,"2/1/2024 3 a.m. PST",357
SCL,"2/1/2024 4 a.m. PST",363
SCL,"2/1/2024 5 a.m. PST",374
SCL,"2/1/2024 6 a.m. PST",417
SCL,"2/1/2024 7 a.m. PST",609
SCL,"2/1/2024 8 a.m. PST",670
SCL,"2/1/2024 9 a.m. PST",782
SCL,"2/1/2024 10 a.m. PST",808
SCL,"2/1/2024 11 a.m. PST",761
SCL,"2/1/2024 12 p.m. PST",782
SCL,"2/1/2024 1 p.m. PST",781
SCL,"2/1/2024 2 p.m. PST",752
SCL,"2/1/2024 3 p.m. PST",744
SCL,"2/1/2024 4 p.m. PST",745
SCL,"2/1/2024 5 p.m. PST",676
SCL,"2/1/2024 6 p.m. PST",676
SCL,"2/1/2024 7 p.m. PST",741
SCL,"2/1/2024 8 p.m. PST",709
SCL,"2/1/2024 9 p.m. PST",631
SCL,"2/1/2024 10 p.m. PST",656
SCL,"2/1/2024 11 p.m. PST",638
SCL,"2/2/2024 12 a.m. PST",549
SCL,"2/2/2024 1 a.m. PST",281
SCL,"2/2/2024 2 a.m. PST",255
SCL,"2/2/2024 3 a.m. PST",256
SCL,"2/2/2024 4 a.m. PST",288
SCL,"2/2/2024 5 a.m. PST",393
SCL,"2/2/2024 6 a.m. PST",419
SCL,"2/2/2024 7 a.m. PST",662
SCL,"2/2/2024 8 a.m. PST",779
SCL,"2/2/2024 9 a.m. PST",746
SCL,"2/2/2024 10 a.m. PST",684
SCL,"2/2/2024 11 a.m. PST",586
SCL,"2/2/2024 12 p.m. PST",566
SCL,"2/2/2024 1 p.m. PST",535
SCL,"2/2/2024 2 p.m. PST",520
SCL,"2/2/2024 3 p.m. PST",499
SCL,"2/2/2024 4 p.m. PST",481
SCL,"2/2/2024 5 p.m. PST",643
