BA Code,Timestamp (Hour Ending),Hydro Generation (MWh)
SCL,1/1/2024 7 a.m. PST,346.0
SCL,1/1/2024 8 a.m. PST,374.0
SCL,1/1/2024 9 a.m. PST,404.0
SCL,1/1/2024 10 a.m. PST,420.0
SCL,1/1/2024 11 a.m. PST,479.0
SCL,1/1/2024 12 p.m. PST,464.0
SCL,1/1/2024 1 p.m. PST,462.0
SCL,1/1/2024 2 p.m. PST,398.0
SCL,1/1/2024 3 p.m. PST,401.0
SCL,1/1/2024 4 p.m. PST,437.0
SCL,1/1/2024 5 p.m. PST,577.0
SCL,1/1/2024 6 p.m. PST,681.0
SCL,1/1/2024 7 p.m. PST,625.0
SCL,1/1/2024 8 p.m. PST,585.0
SCL,1/1/2024 9 p.m. PST,574.0
SCL,1/1/2024 10 p.m. PST,476.0
SCL,1/1/2024 11 p.m. PST,390.0
SCL,1/2/2024 12 a.m. PST,271.0
SCL,1/2/2024 1 a.m. PST,296.0
SCL,1/2/2024 2 a.m. PST,254.0
SCL,1/2/2024 3 a.m. PST,247.0
SCL,1/2/2024 4 a.m. PST,239.0
SCL,1/2/2024 5 a.m. PST,256.0
SCL,1/2/2024 6 a.m. PST,306.0
SCL,1/2/2024 7 a.m. PST,339.0
SCL,1/2/2024 8 a.m. PST,400.0
SCL,1/2/2024 9 a.m. PST,440.0
SCL,1/2/2024 10 a.m. PST,464.0
SCL,1/2/2024 11 a.m. PST,535.0
SCL,1/2/2024 12 p.m. PST,499.0
SCL,1/2/2024 1 p.m. PST,534.0
SCL,1/2/2024 2 p.m. PST,491.0
SCL,1/2/2024 3 p.m. PST,481.0
SCL,1/2/2024 4 p.m. PST,410.0
SCL,1/2/2024 5 p.m. PST,500.0
SCL,1/2/2024 6 p.m. PST,706.0
SCL,1/2/2024 7 p.m. PST,607.0
SCL,1/2/2024 8 p.m. PST,592.0
SCL,1/2/2024 9 p.m. PST,592.0
SCL,1/2/2024 10 p.m. PST,426.0
SCL,1/2/2024 11 p.m. PST,380.0
SCL,1/3/2024 12 a.m. PST,339.0
SCL,1/3/2024 1 a.m. PST,255.0
SCL,1/3/2024 2 a.m. PST,235.0
SCL,1/3/2024 3 a.m. PST,238.0
SCL,1/3/2024 4 a.m. PST,232.0
SCL,1/3/2024 5 a.m. PST,229.0
SCL,1/3/2024 6 a.m. PST,273.0
SCL,1/3/2024 7 a.m. PST,337.0
SCL,1/3/2024 8 a.m. PST,453.0
SCL,1/3/2024 9 a.m. PST,523.0
SCL,1/3/2024 10 a.m. PST,541.0
SCL,1/3/2024 11 a.m. PST,468.0
SCL,1/3/2024 12 p.m. PST,512.0
SCL,1/3/2024 1 p.m. PST,557.0
SCL,1/3/2024 2 p.m. PST,482.0
SCL,1/3/2024 3 p.m. PST,507.0
SCL,1/3/2024 4 p.m. PST,441.0
SCL,1/3/2024 5 p.m. PST,466.0
SCL,1/3/2024 6 p.m. PST,588.0
SCL,1/3/2024 7 p.m. PST,598.0
SCL,1/3/2024 8 p.m. PST,609.0
SCL,1/3/2024 9 p.m. PST,625.0
SCL,1/3/2024 10 p.m. PST,648.0
SCL,1/3/2024 11 p.m. PST,520.0
SCL,1/4/2024 12 a.m. PST,287.0
SCL,1/4/2024 1 a.m. PST,376.0
SCL,1/4/2024 2 a.m. PST,299.0
SCL,1/4/2024 3 a.m. PST,273.0
