"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"1/1/2025 12 a.m. PST",360
SCL,"1/1/2025 1 a.m. PST",379
SCL,"1/1/2025 2 a.m. PST",352
SCL,"1/1/2025 3 a.m. PST",381
SCL,"1/1/2025 4 a.m. PST",384
SCL,"1/1/2025 5 a.m. PST",398
SCL,"1/1/2025 6 a.m. PST",494
SCL,"1/1/2025 7 a.m. PST",497
SCL,"1/1/2025 8 a.m. PST",490
SCL,"1/1/2025 9 a.m. PST",507
SCL,"1/1/2025 10 a.m. PST",475
SCL,"1/1/2025 11 a.m. PST",383
SCL,"1/1/2025 12 p.m. PST",341
SCL,"1/1/2025 1 p.m. PST",341
SCL,"1/1/2025 2 p.m. PST",342
SCL,"1/1/2025 3 p.m. PST",380
SCL,"1/1/2025 4 p.m. PST",404
SCL,"1/1/2025 5 p.m. PST",700
SCL,"1/1/2025 6 p.m. PST",734
SCL,"1/1/2025 7 p.m. PST",674
SCL,"1/1/2025 8 p.m. PST",672
SCL,"1/1/2025 9 p.m. PST",550
SCL,"1/1/2025 10 p.m. PST",471
SCL,"1/1/2025 11 p.m. PST",466
SCL,"1/2/2025 12 a.m. PST",448
SCL,"1/2/2025 1 a.m. PST",381
SCL,"1/2/2025 2 a.m. PST",327
SCL,"1/2/2025 3 a.m. PST",327
SCL,"1/2/2025 4 a.m. PST",341
SCL,"1/2/2025 5 a.m. PST",411
SCL,"1/2/2025 6 a.m. PST",600
SCL,"1/2/2025 7 a.m. PST",517
SCL,"1/2/2025 8 a.m. PST",569
SCL,"1/2/2025 9 a.m. PST",533
SCL,"1/2/2025 10 a.m. PST",389
SCL,"1/2/2025 11 a.m. PST",335
SCL,"1/2/2025 12 p.m. PST",364
SCL,"1/2/2025 1 p.m. PST",307
SCL,"1/2/2025 2 p.m. PST",308
SCL,"1/2/2025 3 p.m. PST",313
SCL,"1/2/2025 4 p.m. PST",504
SCL,"1/2/2025 5 p.m. PST",650
SCL,"1/2/2025 6 p.m. PST",655
SCL,"1/2/2025 7 p.m. PST",656
SCL,"1/2/2025 8 p.m. PST",618
SCL,"1/2/2025 9 p.m. PST",562
SCL,"1/2/2025 10 p.m. PST",395
SCL,"1/2/2025 11 p.m. PST",396
SCL,"1/3/2025 12 a.m. PST",421
SCL,"1/3/2025 1 a.m. PST",285
SCL,"1/3/2025 2 a.m. PST",298
SCL,"1/3/2025 3 a.m. PST",238
SCL,"1/3/2025 4 a.m. PST",287
SCL,"1/3/2025 5 a.m. PST",358
SCL,"1/3/2025 6 a.m. PST",377
SCL,"1/3/2025 7 a.m. PST",488
SCL,"1/3/2025 8 a.m. PST",546
SCL,"1/3/2025 9 a.m. PST",538
SCL,"1/3/2025 10 a.m. PST",380
SCL,"1/3/2025 11 a.m. PST",363
SCL,"1/3/2025 12 p.m. PST",368
SCL,"1/3/2025 1 p.m. PST",365
SCL,"1/3/2025 2 p.m. PST",319
SCL,"1/3/2025 3 p.m. PST",315
SCL,"1/3/2025 4 p.m. PST",440
SCL,"1/3/2025 5 p.m. PST",536
SCL,"1/3/2025 6 p.m. PST",529
SCL,"1/3/2025 7 p.m. PST",553
SCL,"1/3/2025 8 p.m. PST",540
SCL,"1/3/2025 9 p.m. PST",536
SCL,"1/3/2025 10 p.m. PST",475
SCL,"1/3/2025 11 p.m. PST",306
SCL,"1/4/2025 12 a.m. PST",274
SCL,"1/4/2025 1 a.m. PST",316
SCL,"1/4/2025 2 a.m. PST",323
SCL,"1/4/2025 3 a.m. PST",319
SCL,"1/4/2025 4 a.m. PST",319
SCL,"1/4/2025 5 a.m. PST",313
SCL,"1/4/2025 6 a.m. PST",320
SCL,"1/4/2025 7 a.m. PST",457
SCL,"1/4/2025 8 a.m. PST",451
SCL,"1/4/2025 9 a.m. PST",388
SCL,"1/4/2025 10 a.m. PST",363
SCL,"1/4/2025 11 a.m. PST",314
SCL,"1/4/2025 12 p.m. PST",298
SCL,"1/4/2025 1 p.m. PST",296
SCL,"1/4/2025 2 p.m. PST",302
SCL,"1/4/2025 3 p.m. PST",306
SCL,"1/4/2025 4 p.m. PST",370
SCL,"1/4/2025 5 p.m. PST",555
SCL,"1/4/2025 6 p.m. PST",535
SCL,"1/4/2025 7 p.m. PST",525
SCL,"1/4/2025 8 p.m. PST",528
SCL,"1/4/2025 9 p.m. PST",426
SCL,"1/4/2025 10 p.m. PST",372
SCL,"1/4/2025 11 p.m. PST",408
