"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"7/1/2024 12 a.m. PDT",712
SCL,"7/1/2024 1 a.m. PDT",444
SCL,"7/1/2024 2 a.m. PDT",397
SCL,"7/1/2024 3 a.m. PDT",346
SCL,"7/1/2024 4 a.m. PDT",347
SCL,"7/1/2024 5 a.m. PDT",390
SCL,"7/1/2024 6 a.m. PDT",425
SCL,"7/1/2024 7 a.m. PDT",665
SCL,"7/1/2024 8 a.m. PDT",727
SCL,"7/1/2024 9 a.m. PDT",782
SCL,"7/1/2024 10 a.m. PDT",795
SCL,"7/1/2024 11 a.m. PDT",729
SCL,"7/1/2024 12 p.m. PDT",824
SCL,"7/1/2024 1 p.m. PDT",708
SCL,"7/1/2024 2 p.m. PDT",692
SCL,"7/1/2024 3 p.m. PDT",680
SCL,"7/1/2024 4 p.m. PDT",681
SCL,"7/1/2024 5 p.m. PDT",690
SCL,"7/1/2024 6 p.m. PDT",794
SCL,"7/1/2024 7 p.m. PDT",812
SCL,"7/1/2024 8 p.m. PDT",807
SCL,"7/1/2024 9 p.m. PDT",785
SCL,"7/1/2024 10 p.m. PDT",946
SCL,"7/1/2024 11 p.m. PDT",568
SCL,"7/2/2024 12 a.m. PDT",506
SCL,"7/2/2024 1 a.m. PDT",517
SCL,"7/2/2024 2 a.m. PDT",499
SCL,"7/2/2024 3 a.m. PDT",474
SCL,"7/2/2024 4 a.m. PDT",476
SCL,"7/2/2024 5 a.m. PDT",511
SCL,"7/2/2024 6 a.m. PDT",562
SCL,"7/2/2024 7 a.m. PDT",796
SCL,"7/2/2024 8 a.m. PDT",840
SCL,"7/2/2024 9 a.m. PDT",821
SCL,"7/2/2024 10 a.m. PDT",870
SCL,"7/2/2024 11 a.m. PDT",759
SCL,"7/2/2024 12 p.m. PDT",775
SCL,"7/2/2024 1 p.m. PDT",796
SCL,"7/2/2024 2 p.m. PDT",722
SCL,"7/2/2024 3 p.m. PDT",694
SCL,"7/2/2024 4 p.m. PDT",718
SCL,"7/2/2024 5 p.m. PDT",748
SCL,"7/2/2024 6 p.m. PDT",727
SCL,"7/2/2024 7 p.m. PDT",890
SCL,"7/2/2024 8 p.m. PDT",914
SCL,"7/2/2024 9 p.m. PDT",871
SCL,"7/2/2024 10 p.m. PDT",808
SCL,"7/2/2024 11 p.m. PDT",582
SCL,"7/3/2024 12 a.m. PDT",566
SCL,"7/3/2024 1 a.m. PDT",446
SCL,"7/3/2024 2 a.m. PDT",405
SCL,"7/3/2024 3 a.m. PDT",419
SCL,"7/3/2024 4 a.m. PDT",464
SCL,"7/3/2024 5 a.m. PDT",460
SCL,"7/3/2024 6 a.m. PDT",471
SCL,"7/3/2024 7 a.m. PDT",849
SCL,"7/3/2024 8 a.m. PDT",843
SCL,"7/3/2024 9 a.m. PDT",705
SCL,"7/3/2024 10 a.m. PDT",701
SCL,"7/3/2024 11 a.m. PDT",691
SCL,"7/3/2024 12 p.m. PDT",683
SCL,"7/3/2024 1 p.m. PDT",701
SCL,"7/3/2024 2 p.m. PDT",675
SCL,"7/3/2024 3 p.m. PDT",700
SCL,"7/3/2024 4 p.m. PDT",679
SCL,"7/3/2024 5 p.m. PDT",674
SCL,"7/3/2024 6 p.m. PDT",728
SCL,"7/3/2024 7 p.m. PDT",899
SCL,"7/3/2024 8 p.m. PDT",1021
SCL,"7/3/2024 9 p.m. PDT",1011
SCL,"7/3/2024 10 p.m. PDT",994
SCL,"7/3/2024 11 p.m. PDT",601
SCL,"7/4/2024 12 a.m. PDT",485
SCL,"7/4/2024 1 a.m. PDT",477
SCL,"7/4/2024 2 a.m. PDT",445
SCL,"7/4/2024 3 a.m. PDT",454
SCL,"7/4/2024 4 a.m. PDT",428
SCL,"7/4/2024 5 a.m. PDT",441
SCL,"7/4/2024 6 a.m. PDT",508
SCL,"7/4/2024 7 a.m. PDT",520
SCL,"7/4/2024 8 a.m. PDT",646
SCL,"7/4/2024 9 a.m. PDT",645
SCL,"7/4/2024 10 a.m. PDT",686
SCL,"7/4/2024 11 a.m. PDT",752
SCL,"7/4/2024 12 p.m. PDT",719
SCL,"7/4/2024 1 p.m. PDT",780
SCL,"7/4/2024 2 p.m. PDT",785
SCL,"7/4/2024 3 p.m. PDT",684
SCL,"7/4/2024 4 p.m. PDT",675
SCL,"7/4/2024 5 p.m. PDT",686
SCL,"7/4/2024 6 p.m. PDT",783
SCL,"7/4/2024 7 p.m. PDT",841
SCL,"7/4/2024 8 p.m. PDT",970
SCL,"7/4/2024 9 p.m. PDT",972
SCL,"7/4/2024 10 p.m. PDT",919
SCL,"7/4/2024 11 p.m. PDT",628
SCL,"7/5/2024 12 a.m. PDT",593
SCL,"7/5/2024 1 a.m. PDT",541
SCL,"7/5/2024 2 a.m. PDT",452
SCL,"7/5/2024 3 a.m. PDT",467
SCL,"7/5/2024 4 a.m. PDT",402
SCL,"7/5/2024 5 a.m. PDT",464
SCL,"7/5/2024 6 a.m. PDT",496
SCL,"7/5/2024 7 a.m. PDT",674
SCL,"7/5/2024 8 a.m. PDT",672
SCL,"7/5/2024 9 a.m. PDT",511
SCL,"7/5/2024 10 a.m. PDT",603
SCL,"7/5/2024 11 a.m. PDT",765
SCL,"7/5/2024 12 p.m. PDT",809
SCL,"7/5/2024 1 p.m. PDT",921
SCL,"7/5/2024 2 p.m. PDT",966
SCL,"7/5/2024 3 p.m. PDT",942
SCL,"7/5/2024 4 p.m. PDT",906
SCL,"7/5/2024 5 p.m. PDT",880
SCL,"7/5/2024 6 p.m. PDT",938
SCL,"7/5/2024 7 p.m. PDT",993
SCL,"7/5/2024 8 p.m. PDT",1018
SCL,"7/5/2024 9 p.m. PDT",982
SCL,"7/5/2024 10 p.m. PDT",911
SCL,"7/5/2024 11 p.m. PDT",705
SCL,"7/6/2024 12 a.m. PDT",636
SCL,"7/6/2024 1 a.m. PDT",372
SCL,"7/6/2024 2 a.m. PDT",274
SCL,"7/6/2024 3 a.m. PDT",292
SCL,"7/6/2024 4 a.m. PDT",288
SCL,"7/6/2024 5 a.m. PDT",288
SCL,"7/6/2024 6 a.m. PDT",286
SCL,"7/6/2024 7 a.m. PDT",665
SCL,"7/6/2024 8 a.m. PDT",645
SCL,"7/6/2024 9 a.m. PDT",686
SCL,"7/6/2024 10 a.m. PDT",767
SCL,"7/6/2024 11 a.m. PDT",863
