"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"6/1/2024 12 a.m. PDT",871
SCL,"6/1/2024 1 a.m. PDT",518
SCL,"6/1/2024 2 a.m. PDT",504
SCL,"6/1/2024 3 a.m. PDT",472
SCL,"6/1/2024 4 a.m. PDT",471
SCL,"6/1/2024 5 a.m. PDT",469
SCL,"6/1/2024 6 a.m. PDT",471
SCL,"6/1/2024 7 a.m. PDT",699
SCL,"6/1/2024 8 a.m. PDT",723
SCL,"6/1/2024 9 a.m. PDT",638
SCL,"6/1/2024 10 a.m. PDT",595
SCL,"6/1/2024 11 a.m. PDT",678
SCL,"6/1/2024 12 p.m. PDT",541
SCL,"6/1/2024 1 p.m. PDT",545
SCL,"6/1/2024 2 p.m. PDT",534
SCL,"6/1/2024 3 p.m. PDT",443
SCL,"6/1/2024 4 p.m. PDT",395
SCL,"6/1/2024 5 p.m. PDT",419
SCL,"6/1/2024 6 p.m. PDT",597
SCL,"6/1/2024 7 p.m. PDT",719
SCL,"6/1/2024 8 p.m. PDT",1046
SCL,"6/1/2024 9 p.m. PDT",1062
SCL,"6/1/2024 10 p.m. PDT",1022
SCL,"6/1/2024 11 p.m. PDT",760
SCL,"6/2/2024 12 a.m. PDT",684
SCL,"6/2/2024 1 a.m. PDT",603
SCL,"6/2/2024 2 a.m. PDT",599
SCL,"6/2/2024 3 a.m. PDT",429
SCL,"6/2/2024 4 a.m. PDT",426
SCL,"6/2/2024 5 a.m. PDT",428
SCL,"6/2/2024 6 a.m. PDT",448
SCL,"6/2/2024 7 a.m. PDT",462
SCL,"6/2/2024 8 a.m. PDT",532
SCL,"6/2/2024 9 a.m. PDT",605
SCL,"6/2/2024 10 a.m. PDT",582
SCL,"6/2/2024 11 a.m. PDT",434
SCL,"6/2/2024 12 p.m. PDT",467
SCL,"6/2/2024 1 p.m. PDT",504
SCL,"6/2/2024 2 p.m. PDT",399
SCL,"6/2/2024 3 p.m. PDT",579
SCL,"6/2/2024 4 p.m. PDT",574
SCL,"6/2/2024 5 p.m. PDT",591
SCL,"6/2/2024 6 p.m. PDT",831
SCL,"6/2/2024 7 p.m. PDT",1039
SCL,"6/2/2024 8 p.m. PDT",1111
SCL,"6/2/2024 9 p.m. PDT",999
SCL,"6/2/2024 10 p.m. PDT",933
SCL,"6/2/2024 11 p.m. PDT",832
SCL,"6/3/2024 12 a.m. PDT",618
SCL,"6/3/2024 1 a.m. PDT",600
SCL,"6/3/2024 2 a.m. PDT",556
SCL,"6/3/2024 3 a.m. PDT",540
SCL,"6/3/2024 4 a.m. PDT",532
SCL,"6/3/2024 5 a.m. PDT",542
SCL,"6/3/2024 6 a.m. PDT",548
SCL,"6/3/2024 7 a.m. PDT",562
SCL,"6/3/2024 8 a.m. PDT",538
SCL,"6/3/2024 9 a.m. PDT",595
SCL,"6/3/2024 10 a.m. PDT",601
SCL,"6/3/2024 11 a.m. PDT",497
SCL,"6/3/2024 12 p.m. PDT",493
SCL,"6/3/2024 1 p.m. PDT",511
SCL,"6/3/2024 2 p.m. PDT",514
SCL,"6/3/2024 3 p.m. PDT",583
SCL,"6/3/2024 4 p.m. PDT",464
SCL,"6/3/2024 5 p.m. PDT",475
SCL,"6/3/2024 6 p.m. PDT",873
SCL,"6/3/2024 7 p.m. PDT",877
SCL,"6/3/2024 8 p.m. PDT",871
SCL,"6/3/2024 9 p.m. PDT",865
