"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"3/1/2024 12 a.m. PST",527
SCL,"3/1/2024 1 a.m. PST",427
SCL,"3/1/2024 2 a.m. PST",362
SCL,"3/1/2024 3 a.m. PST",358
SCL,"3/1/2024 4 a.m. PST",355
SCL,"3/1/2024 5 a.m. PST",434
SCL,"3/1/2024 6 a.m. PST",460
SCL,"3/1/2024 7 a.m. PST",501
SCL,"3/1/2024 8 a.m. PST",555
SCL,"3/1/2024 9 a.m. PST",647
SCL,"3/1/2024 10 a.m. PST",618
SCL,"3/1/2024 11 a.m. PST",564
SCL,"3/1/2024 12 p.m. PST",531
SCL,"3/1/2024 1 p.m. PST",542
SCL,"3/1/2024 2 p.m. PST",519
SCL,"3/1/2024 3 p.m. PST",442
SCL,"3/1/2024 4 p.m. PST",436
SCL,"3/1/2024 5 p.m. PST",472
SCL,"3/1/2024 6 p.m. PST",626
SCL,"3/1/2024 7 p.m. PST",676
SCL,"3/1/2024 8 p.m. PST",652
SCL,"3/1/2024 9 p.m. PST",490
SCL,"3/1/2024 10 p.m. PST",469
SCL,"3/1/2024 11 p.m. PST",511
SCL,"3/2/2024 12 a.m. PST",528
SCL,"3/2/2024 1 a.m. PST",467
SCL,"3/2/2024 2 a.m. PST",426
SCL,"3/2/2024 3 a.m. PST",404
SCL,"3/2/2024 4 a.m. PST",391
SCL,"3/2/2024 5 a.m. PST",385
SCL,"3/2/2024 6 a.m. PST",463
SCL,"3/2/2024 7 a.m. PST",410
SCL,"3/2/2024 8 a.m. PST",475
SCL,"3/2/2024 9 a.m. PST",570
SCL,"3/2/2024 10 a.m. PST",578
SCL,"3/2/2024 11 a.m. PST",526
SCL,"3/2/2024 12 p.m. PST",455
SCL,"3/2/2024 1 p.m. PST",475
SCL,"3/2/2024 2 p.m. PST",498
SCL,"3/2/2024 3 p.m. PST",520
SCL,"3/2/2024 4 p.m. PST",578
SCL,"3/2/2024 5 p.m. PST",647
SCL,"3/2/2024 6 p.m. PST",653
SCL,"3/2/2024 7 p.m. PST",714
SCL,"3/2/2024 8 p.m. PST",752
SCL,"3/2/2024 9 p.m. PST",725
SCL,"3/2/2024 10 p.m. PST",656
SCL,"3/2/2024 11 p.m. PST",698
SCL,"3/3/2024 12 a.m. PST",609
SCL,"3/3/2024 1 a.m. PST",471
SCL,"3/3/2024 2 a.m. PST",431
SCL,"3/3/2024 3 a.m. PST",436
SCL,"3/3/2024 4 a.m. PST",365
SCL,"3/3/2024 5 a.m. PST",344
SCL,"3/3/2024 6 a.m. PST",367
SCL,"3/3/2024 7 a.m. PST",372
SCL,"3/3/2024 8 a.m. PST",494
SCL,"3/3/2024 9 a.m. PST",598
SCL,"3/3/2024 10 a.m. PST",633
SCL,"3/3/2024 11 a.m. PST",632
SCL,"3/3/2024 12 p.m. PST",632
SCL,"3/3/2024 1 p.m. PST",654
SCL,"3/3/2024 2 p.m. PST",639
SCL,"3/3/2024 3 p.m. PST",642
SCL,"3/3/2024 4 p.m. PST",653
SCL,"3/3/2024 5 p.m. PST",671
SCL,"3/3/2024 6 p.m. PST",696
SCL,"3/3/2024 7 p.m. PST",729
SCL,"3/3/2024 8 p.m. PST",718
SCL,"3/3/2024 9 p.m. PST",670
SCL,"3/3/2024 10 p.m. PST",561
SCL,"3/3/2024 11 p.m. PST",526
SCL,"3/4/2024 12 a.m. PST",434
SCL,"3/4/2024 1 a.m. PST",385
SCL,"3/4/2024 2 a.m. PST",350
SCL,"3/4/2024 3 a.m. PST",354
SCL,"3/4/2024 4 a.m. PST",328
SCL,"3/4/2024 5 a.m. PST",342
SCL,"3/4/2024 6 a.m. PST",450
SCL,"3/4/2024 7 a.m. PST",477
SCL,"3/4/2024 8 a.m. PST",639
SCL,"3/4/2024 9 a.m. PST",640
SCL,"3/4/2024 10 a.m. PST",621
SCL,"3/4/2024 11 a.m. PST",562
SCL,"3/4/2024 12 p.m. PST",493
SCL,"3/4/2024 1 p.m. PST",471
SCL,"3/4/2024 2 p.m. PST",435
SCL,"3/4/2024 3 p.m. PST",459
SCL,"3/4/2024 4 p.m. PST",694
SCL,"3/4/2024 5 p.m. PST",775
SCL,"3/4/2024 6 p.m. PST",770
SCL,"3/4/2024 7 p.m. PST",879
SCL,"3/4/2024 8 p.m. PST",875
SCL,"3/4/2024 9 p.m. PST",765
SCL,"3/4/2024 10 p.m. PST",624
SCL,"3/4/2024 11 p.m. PST",676
SCL,"3/5/2024 12 a.m. PST",540
SCL,"3/5/2024 1 a.m. PST",661
SCL,"3/5/2024 2 a.m. PST",664
SCL,"3/5/2024 3 a.m. PST",562
SCL,"3/5/2024 4 a.m. PST",569
SCL,"3/5/2024 5 a.m. PST",625
SCL,"3/5/2024 6 a.m. PST",654
SCL,"3/5/2024 7 a.m. PST",651
SCL,"3/5/2024 8 a.m. PST",807
SCL,"3/5/2024 9 a.m. PST",751
SCL,"3/5/2024 10 a.m. PST",600
SCL,"3/5/2024 11 a.m. PST",627
SCL,"3/5/2024 12 p.m. PST",587
