"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"5/1/2024 12 a.m. PDT",413
SCL,"5/1/2024 1 a.m. PDT",485
SCL,"5/1/2024 2 a.m. PDT",404
SCL,"5/1/2024 3 a.m. PDT",426
SCL,"5/1/2024 4 a.m. PDT",439
SCL,"5/1/2024 5 a.m. PDT",447
SCL,"5/1/2024 6 a.m. PDT",673
SCL,"5/1/2024 7 a.m. PDT",667
SCL,"5/1/2024 8 a.m. PDT",554
SCL,"5/1/2024 9 a.m. PDT",587
SCL,"5/1/2024 10 a.m. PDT",420
SCL,"5/1/2024 11 a.m. PDT",409
SCL,"5/1/2024 12 p.m. PDT",396
SCL,"5/1/2024 1 p.m. PDT",378
SCL,"5/1/2024 2 p.m. PDT",378
SCL,"5/1/2024 3 p.m. PDT",388
SCL,"5/1/2024 4 p.m. PDT",392
SCL,"5/1/2024 5 p.m. PDT",390
SCL,"5/1/2024 6 p.m. PDT",572
SCL,"5/1/2024 7 p.m. PDT",720
SCL,"5/1/2024 8 p.m. PDT",880
SCL,"5/1/2024 9 p.m. PDT",864
SCL,"5/1/2024 10 p.m. PDT",814
SCL,"5/1/2024 11 p.m. PDT",759
SCL,"5/2/2024 12 a.m. PDT",609
SCL,"5/2/2024 1 a.m. PDT",570
SCL,"5/2/2024 2 a.m. PDT",524
SCL,"5/2/2024 3 a.m. PDT",511
SCL,"5/2/2024 4 a.m. PDT",547
SCL,"5/2/2024 5 a.m. PDT",653
SCL,"5/2/2024 6 a.m. PDT",701
SCL,"5/2/2024 7 a.m. PDT",792
SCL,"5/2/2024 8 a.m. PDT",812
SCL,"5/2/2024 9 a.m. PDT",790
SCL,"5/2/2024 10 a.m. PDT",665
SCL,"5/2/2024 11 a.m. PDT",690
SCL,"5/2/2024 12 p.m. PDT",658
SCL,"5/2/2024 1 p.m. PDT",521
SCL,"5/2/2024 2 p.m. PDT",568
SCL,"5/2/2024 3 p.m. PDT",613
SCL,"5/2/2024 4 p.m. PDT",587
SCL,"5/2/2024 5 p.m. PDT",573
SCL,"5/2/2024 6 p.m. PDT",585
SCL,"5/2/2024 7 p.m. PDT",775
SCL,"5/2/2024 8 p.m. PDT",792
SCL,"5/2/2024 9 p.m. PDT",709
SCL,"5/2/2024 10 p.m. PDT",618
SCL,"5/2/2024 11 p.m. PDT",600
SCL,"5/3/2024 12 a.m. PDT",566
SCL,"5/3/2024 1 a.m. PDT",614
SCL,"5/3/2024 2 a.m. PDT",587
SCL,"5/3/2024 3 a.m. PDT",538
SCL,"5/3/2024 4 a.m. PDT",567
SCL,"5/3/2024 5 a.m. PDT",628
SCL,"5/3/2024 6 a.m. PDT",742
SCL,"5/3/2024 7 a.m. PDT",821
SCL,"5/3/2024 8 a.m. PDT",879
SCL,"5/3/2024 9 a.m. PDT",758
SCL,"5/3/2024 10 a.m. PDT",612
SCL,"5/3/2024 11 a.m. PDT",582
SCL,"5/3/2024 12 p.m. PDT",609
SCL,"5/3/2024 1 p.m. PDT",553
SCL,"5/3/2024 2 p.m. PDT",559
SCL,"5/3/2024 3 p.m. PDT",546
SCL,"5/3/2024 4 p.m. PDT",550
SCL,"5/3/2024 5 p.m. PDT",575
SCL,"5/3/2024 6 p.m. PDT",559
SCL,"5/3/2024 7 p.m. PDT",709
SCL,"5/3/2024 8 p.m. PDT",756
SCL,"5/3/2024 9 p.m. PDT",654
SCL,"5/3/2024 10 p.m. PDT",596
SCL,"5/3/2024 11 p.m. PDT",559
SCL,"5/4/2024 12 a.m. PDT",530
SCL,"5/4/2024 1 a.m. PDT",598
SCL,"5/4/2024 2 a.m. PDT",582
SCL,"5/4/2024 3 a.m. PDT",561
SCL,"5/4/2024 4 a.m. PDT",533
SCL,"5/4/2024 5 a.m. PDT",554
SCL,"5/4/2024 6 a.m. PDT",557
SCL,"5/4/2024 7 a.m. PDT",570
SCL,"5/4/2024 8 a.m. PDT",590
SCL,"5/4/2024 9 a.m. PDT",674
SCL,"5/4/2024 10 a.m. PDT",726
SCL,"5/4/2024 11 a.m. PDT",785
SCL,"5/4/2024 12 p.m. PDT",735
SCL,"5/4/2024 1 p.m. PDT",798
SCL,"5/4/2024 2 p.m. PDT",740
SCL,"5/4/2024 3 p.m. PDT",717
SCL,"5/4/2024 4 p.m. PDT",620
SCL,"5/4/2024 5 p.m. PDT",619
SCL,"5/4/2024 6 p.m. PDT",634
SCL,"5/4/2024 7 p.m. PDT",715
SCL,"5/4/2024 8 p.m. PDT",651
SCL,"5/4/2024 9 p.m. PDT",679
SCL,"5/4/2024 10 p.m. PDT",670
SCL,"5/4/2024 11 p.m. PDT",596
SCL,"5/5/2024 12 a.m. PDT",538
SCL,"5/5/2024 1 a.m. PDT",436
SCL,"5/5/2024 2 a.m. PDT",413
SCL,"5/5/2024 3 a.m. PDT",382
SCL,"5/5/2024 4 a.m. PDT",446
SCL,"5/5/2024 5 a.m. PDT",595
SCL,"5/5/2024 6 a.m. PDT",619
SCL,"5/5/2024 7 a.m. PDT",625
SCL,"5/5/2024 8 a.m. PDT",535
SCL,"5/5/2024 9 a.m. PDT",521
SCL,"5/5/2024 10 a.m. PDT",547
SCL,"5/5/2024 11 a.m. PDT",775
SCL,"5/5/2024 12 p.m. PDT",686
SCL,"5/5/2024 1 p.m. PDT",784
SCL,"5/5/2024 2 p.m. PDT",668
SCL,"5/5/2024 3 p.m. PDT",634
SCL,"5/5/2024 4 p.m. PDT",571
SCL,"5/5/2024 5 p.m. PDT",539
SCL,"5/5/2024 6 p.m. PDT",546
SCL,"5/5/2024 7 p.m. PDT",756
SCL,"5/5/2024 8 p.m. PDT",823
SCL,"5/5/2024 9 p.m. PDT",912
SCL,"5/5/2024 10 p.m. PDT",681
SCL,"5/5/2024 11 p.m. PDT",579
SCL,"5/6/2024 12 a.m. PDT",536
SCL,"5/6/2024 1 a.m. PDT",438
SCL,"5/6/2024 2 a.m. PDT",406
SCL,"5/6/2024 3 a.m. PDT",375
SCL,"5/6/2024 4 a.m. PDT",431
SCL,"5/6/2024 5 a.m. PDT",488
SCL,"5/6/2024 6 a.m. PDT",597
SCL,"5/6/2024 7 a.m. PDT",593
SCL,"5/6/2024 8 a.m. PDT",755
SCL,"5/6/2024 9 a.m. PDT",756
SCL,"5/6/2024 10 a.m. PDT",727
SCL,"5/6/2024 11 a.m. PDT",722
SCL,"5/6/2024 12 p.m. PDT",681
SCL,"5/6/2024 1 p.m. PDT",611
SCL,"5/6/2024 2 p.m. PDT",445
SCL,"5/6/2024 3 p.m. PDT",434
SCL,"5/6/2024 4 p.m. PDT",406
SCL,"5/6/2024 5 p.m. PDT",402
SCL,"5/6/2024 6 p.m. PDT",613
SCL,"5/6/2024 7 p.m. PDT",775
SCL,"5/6/2024 8 p.m. PDT",841
SCL,"5/6/2024 9 p.m. PDT",890
SCL,"5/6/2024 10 p.m. PDT",828
SCL,"5/6/2024 11 p.m. PDT",845
SCL,"5/7/2024 12 a.m. PDT",787
SCL,"5/7/2024 1 a.m. PDT",690
SCL,"5/7/2024 2 a.m. PDT",655
SCL,"5/7/2024 3 a.m. PDT",641
SCL,"5/7/2024 4 a.m. PDT",609
SCL,"5/7/2024 5 a.m. PDT",616
SCL,"5/7/2024 6 a.m. PDT",704
SCL,"5/7/2024 7 a.m. PDT",738
SCL,"5/7/2024 8 a.m. PDT",762
SCL,"5/7/2024 9 a.m. PDT",730
SCL,"5/7/2024 10 a.m. PDT",702
SCL,"5/7/2024 11 a.m. PDT",703
SCL,"5/7/2024 12 p.m. PDT",666
SCL,"5/7/2024 1 p.m. PDT",406
SCL,"5/7/2024 2 p.m. PDT",407
SCL,"5/7/2024 3 p.m. PDT",424
SCL,"5/7/2024 4 p.m. PDT",405
SCL,"5/7/2024 5 p.m. PDT",415
SCL,"5/7/2024 6 p.m. PDT",523
SCL,"5/7/2024 7 p.m. PDT",732
SCL,"5/7/2024 8 p.m. PDT",752
SCL,"5/7/2024 9 p.m. PDT",806
SCL,"5/7/2024 10 p.m. PDT",748
SCL,"5/7/2024 11 p.m. PDT",699
SCL,"5/8/2024 12 a.m. PDT",591
SCL,"5/8/2024 1 a.m. PDT",558
SCL,"5/8/2024 2 a.m. PDT",519
SCL,"5/8/2024 3 a.m. PDT",523
SCL,"5/8/2024 4 a.m. PDT",539
SCL,"5/8/2024 5 a.m. PDT",593
SCL,"5/8/2024 6 a.m. PDT",759
SCL,"5/8/2024 7 a.m. PDT",750
SCL,"5/8/2024 8 a.m. PDT",794
SCL,"5/8/2024 9 a.m. PDT",751
SCL,"5/8/2024 10 a.m. PDT",701
SCL,"5/8/2024 11 a.m. PDT",540
SCL,"5/8/2024 12 p.m. PDT",527
SCL,"5/8/2024 1 p.m. PDT",548
SCL,"5/8/2024 2 p.m. PDT",530
SCL,"5/8/2024 3 p.m. PDT",527
SCL,"5/8/2024 4 p.m. PDT",552
SCL,"5/8/2024 5 p.m. PDT",534
SCL,"5/8/2024 6 p.m. PDT",593
SCL,"5/8/2024 7 p.m. PDT",780
SCL,"5/8/2024 8 p.m. PDT",776
SCL,"5/8/2024 9 p.m. PDT",769
SCL,"5/8/2024 10 p.m. PDT",733
SCL,"5/8/2024 11 p.m. PDT",719
SCL,"5/9/2024 12 a.m. PDT",706
SCL,"5/9/2024 1 a.m. PDT",582
SCL,"5/9/2024 2 a.m. PDT",583
SCL,"5/9/2024 3 a.m. PDT",591
SCL,"5/9/2024 4 a.m. PDT",580
SCL,"5/9/2024 5 a.m. PDT",589
SCL,"5/9/2024 6 a.m. PDT",645
SCL,"5/9/2024 7 a.m. PDT",777
SCL,"5/9/2024 8 a.m. PDT",799
SCL,"5/9/2024 9 a.m. PDT",775
SCL,"5/9/2024 10 a.m. PDT",617
SCL,"5/9/2024 11 a.m. PDT",548
SCL,"5/9/2024 12 p.m. PDT",530
SCL,"5/9/2024 1 p.m. PDT",517
SCL,"5/9/2024 2 p.m. PDT",527
SCL,"5/9/2024 3 p.m. PDT",527
SCL,"5/9/2024 4 p.m. PDT",526
SCL,"5/9/2024 5 p.m. PDT",530
SCL,"5/9/2024 6 p.m. PDT",576
SCL,"5/9/2024 7 p.m. PDT",796
SCL,"5/9/2024 8 p.m. PDT",781
SCL,"5/9/2024 9 p.m. PDT",736
