"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"11/1/2024 12 a.m. PDT",709
SCL,"11/1/2024 1 a.m. PDT",468
SCL,"11/1/2024 2 a.m. PDT",314
SCL,"11/1/2024 3 a.m. PDT",320
SCL,"11/1/2024 4 a.m. PDT",325
SCL,"11/1/2024 5 a.m. PDT",357
SCL,"11/1/2024 6 a.m. PDT",366
SCL,"11/1/2024 7 a.m. PDT",602
SCL,"11/1/2024 8 a.m. PDT",715
SCL,"11/1/2024 9 a.m. PDT",692
SCL,"11/1/2024 10 a.m. PDT",541
SCL,"11/1/2024 11 a.m. PDT",484
SCL,"11/1/2024 12 p.m. PDT",496
SCL,"11/1/2024 1 p.m. PDT",485
SCL,"11/1/2024 2 p.m. PDT",501
SCL,"11/1/2024 3 p.m. PDT",520
SCL,"11/1/2024 4 p.m. PDT",536
SCL,"11/1/2024 5 p.m. PDT",635
SCL,"11/1/2024 6 p.m. PDT",793
SCL,"11/1/2024 7 p.m. PDT",780
SCL,"11/1/2024 8 p.m. PDT",763
SCL,"11/1/2024 9 p.m. PDT",693
SCL,"11/1/2024 10 p.m. PDT",740
SCL,"11/1/2024 11 p.m. PDT",581
SCL,"11/2/2024 12 a.m. PDT",531
SCL,"11/2/2024 1 a.m. PDT",318
SCL,"11/2/2024 2 a.m. PDT",291
SCL,"11/2/2024 3 a.m. PDT",269
SCL,"11/2/2024 4 a.m. PDT",271
SCL,"11/2/2024 5 a.m. PDT",289
SCL,"11/2/2024 6 a.m. PDT",327
SCL,"11/2/2024 7 a.m. PDT",514
SCL,"11/2/2024 8 a.m. PDT",499
SCL,"11/2/2024 9 a.m. PDT",532
SCL,"11/2/2024 10 a.m. PDT",527
SCL,"11/2/2024 11 a.m. PDT",523
SCL,"11/2/2024 12 p.m. PDT",528
SCL,"11/2/2024 1 p.m. PDT",525
SCL,"11/2/2024 2 p.m. PDT",527
SCL,"11/2/2024 3 p.m. PDT",527
SCL,"11/2/2024 4 p.m. PDT",541
SCL,"11/2/2024 5 p.m. PDT",653
SCL,"11/2/2024 6 p.m. PDT",687
SCL,"11/2/2024 7 p.m. PDT",700
SCL,"11/2/2024 8 p.m. PDT",698
SCL,"11/2/2024 9 p.m. PDT",660
SCL,"11/2/2024 10 p.m. PDT",631
SCL,"11/2/2024 11 p.m. PDT",520
SCL,"11/3/2024 12 a.m. PDT",440
SCL,"11/3/2024 1 a.m. PDT",440
SCL,"11/3/2024 1 a.m. PST",259
SCL,"11/3/2024 2 a.m. PST",362
SCL,"11/3/2024 3 a.m. PST",278
SCL,"11/3/2024 4 a.m. PST",302
SCL,"11/3/2024 5 a.m. PST",310
SCL,"11/3/2024 6 a.m. PST",340
SCL,"11/3/2024 7 a.m. PST",420
SCL,"11/3/2024 8 a.m. PST",467
SCL,"11/3/2024 9 a.m. PST",402
SCL,"11/3/2024 10 a.m. PST",453
SCL,"11/3/2024 11 a.m. PST",462
SCL,"11/3/2024 12 p.m. PST",390
SCL,"11/3/2024 1 p.m. PST",328
SCL,"11/3/2024 2 p.m. PST",309
SCL,"11/3/2024 3 p.m. PST",338
SCL,"11/3/2024 4 p.m. PST",427
SCL,"11/3/2024 5 p.m. PST",649
SCL,"11/3/2024 6 p.m. PST",710
SCL,"11/3/2024 7 p.m. PST",826
SCL,"11/3/2024 8 p.m. PST",834
SCL,"11/3/2024 9 p.m. PST",698
SCL,"11/3/2024 10 p.m. PST",648
SCL,"11/3/2024 11 p.m. PST",553
SCL,"11/4/2024 12 a.m. PST",503
SCL,"11/4/2024 1 a.m. PST",423
SCL,"11/4/2024 2 a.m. PST",374
SCL,"11/4/2024 3 a.m. PST",383
SCL,"11/4/2024 4 a.m. PST",414
SCL,"11/4/2024 5 a.m. PST",452
SCL,"11/4/2024 6 a.m. PST",436
SCL,"11/4/2024 7 a.m. PST",618
SCL,"11/4/2024 8 a.m. PST",725
SCL,"11/4/2024 9 a.m. PST",650
SCL,"11/4/2024 10 a.m. PST",819
SCL,"11/4/2024 11 a.m. PST",729
SCL,"11/4/2024 12 p.m. PST",628
SCL,"11/4/2024 1 p.m. PST",616
SCL,"11/4/2024 2 p.m. PST",473
SCL,"11/4/2024 3 p.m. PST",400
SCL,"11/4/2024 4 p.m. PST",492
SCL,"11/4/2024 5 p.m. PST",680
SCL,"11/4/2024 6 p.m. PST",740
SCL,"11/4/2024 7 p.m. PST",716
SCL,"11/4/2024 8 p.m. PST",711
SCL,"11/4/2024 9 p.m. PST",756
SCL,"11/4/2024 10 p.m. PST",695
SCL,"11/4/2024 11 p.m. PST",557
SCL,"11/5/2024 12 a.m. PST",406
SCL,"11/5/2024 1 a.m. PST",411
SCL,"11/5/2024 2 a.m. PST",418
SCL,"11/5/2024 3 a.m. PST",412
SCL,"11/5/2024 4 a.m. PST",419
SCL,"11/5/2024 5 a.m. PST",452
SCL,"11/5/2024 6 a.m. PST",506
SCL,"11/5/2024 7 a.m. PST",653
SCL,"11/5/2024 8 a.m. PST",683
SCL,"11/5/2024 9 a.m. PST",681
SCL,"11/5/2024 10 a.m. PST",679
SCL,"11/5/2024 11 a.m. PST",600
SCL,"11/5/2024 12 p.m. PST",559
SCL,"11/5/2024 1 p.m. PST",581
SCL,"11/5/2024 2 p.m. PST",535
SCL,"11/5/2024 3 p.m. PST",571
SCL,"11/5/2024 4 p.m. PST",599
SCL,"11/5/2024 5 p.m. PST",733
SCL,"11/5/2024 6 p.m. PST",827
SCL,"11/5/2024 7 p.m. PST",851
SCL,"11/5/2024 8 p.m. PST",821
SCL,"11/5/2024 9 p.m. PST",789
SCL,"11/5/2024 10 p.m. PST",711
SCL,"11/5/2024 11 p.m. PST",612
SCL,"11/6/2024 12 a.m. PST",532
SCL,"11/6/2024 1 a.m. PST",430
SCL,"11/6/2024 2 a.m. PST",420
SCL,"11/6/2024 3 a.m. PST",404
SCL,"11/6/2024 4 a.m. PST",330
SCL,"11/6/2024 5 a.m. PST",360
SCL,"11/6/2024 6 a.m. PST",511
SCL,"11/6/2024 7 a.m. PST",684
SCL,"11/6/2024 8 a.m. PST",664
SCL,"11/6/2024 9 a.m. PST",498
SCL,"11/6/2024 10 a.m. PST",484
SCL,"11/6/2024 11 a.m. PST",362
SCL,"11/6/2024 12 p.m. PST",363
SCL,"11/6/2024 1 p.m. PST",366
SCL,"11/6/2024 2 p.m. PST",361
SCL,"11/6/2024 3 p.m. PST",370
SCL,"11/6/2024 4 p.m. PST",446
SCL,"11/6/2024 5 p.m. PST",702
SCL,"11/6/2024 6 p.m. PST",782
SCL,"11/6/2024 7 p.m. PST",732
SCL,"11/6/2024 8 p.m. PST",737
SCL,"11/6/2024 9 p.m. PST",724
SCL,"11/6/2024 10 p.m. PST",719
SCL,"11/6/2024 11 p.m. PST",617
SCL,"11/7/2024 12 a.m. PST",572
SCL,"11/7/2024 1 a.m. PST",282
SCL,"11/7/2024 2 a.m. PST",288
SCL,"11/7/2024 3 a.m. PST",285
SCL,"11/7/2024 4 a.m. PST",275
SCL,"11/7/2024 5 a.m. PST",322
SCL,"11/7/2024 6 a.m. PST",482
SCL,"11/7/2024 7 a.m. PST",529
SCL,"11/7/2024 8 a.m. PST",669
SCL,"11/7/2024 9 a.m. PST",769
SCL,"11/7/2024 10 a.m. PST",657
SCL,"11/7/2024 11 a.m. PST",698
SCL,"11/7/2024 12 p.m. PST",578
SCL,"11/7/2024 1 p.m. PST",426
SCL,"11/7/2024 2 p.m. PST",430
