"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"10/1/2024 12 a.m. PDT",769
SCL,"10/1/2024 1 a.m. PDT",796
SCL,"10/1/2024 2 a.m. PDT",798
SCL,"10/1/2024 3 a.m. PDT",790
SCL,"10/1/2024 4 a.m. PDT",787
SCL,"10/1/2024 5 a.m. PDT",798
SCL,"10/1/2024 6 a.m. PDT",785
SCL,"10/1/2024 7 a.m. PDT",765
SCL,"10/1/2024 8 a.m. PDT",220
SCL,"10/1/2024 9 a.m. PDT",170
SCL,"10/1/2024 10 a.m. PDT",141
SCL,"10/1/2024 11 a.m. PDT",117
SCL,"10/1/2024 12 p.m. PDT",125
SCL,"10/1/2024 1 p.m. PDT",119
SCL,"10/1/2024 2 p.m. PDT",189
SCL,"10/1/2024 3 p.m. PDT",179
SCL,"10/1/2024 4 p.m. PDT",143
SCL,"10/1/2024 5 p.m. PDT",160
SCL,"10/1/2024 6 p.m. PDT",156
SCL,"10/1/2024 7 p.m. PDT",172
SCL,"10/1/2024 8 p.m. PDT",167
SCL,"10/1/2024 9 p.m. PDT",753
SCL,"10/1/2024 10 p.m. PDT",770
SCL,"10/1/2024 11 p.m. PDT",886
SCL,"10/2/2024 12 a.m. PDT",811
SCL,"10/2/2024 1 a.m. PDT",786
SCL,"10/2/2024 2 a.m. PDT",781
SCL,"10/2/2024 3 a.m. PDT",778
SCL,"10/2/2024 4 a.m. PDT",783
SCL,"10/2/2024 5 a.m. PDT",769
SCL,"10/2/2024 6 a.m. PDT",766
SCL,"10/2/2024 7 a.m. PDT",728
SCL,"10/2/2024 8 a.m. PDT",212
SCL,"10/2/2024 9 a.m. PDT",200
SCL,"10/2/2024 10 a.m. PDT",157
SCL,"10/2/2024 11 a.m. PDT",189
SCL,"10/2/2024 12 p.m. PDT",211
SCL,"10/2/2024 1 p.m. PDT",168
SCL,"10/2/2024 2 p.m. PDT",127
SCL,"10/2/2024 3 p.m. PDT",144
SCL,"10/2/2024 4 p.m. PDT",150
SCL,"10/2/2024 5 p.m. PDT",112
SCL,"10/2/2024 6 p.m. PDT",182
SCL,"10/2/2024 7 p.m. PDT",199
SCL,"10/2/2024 8 p.m. PDT",188
SCL,"10/2/2024 9 p.m. PDT",818
SCL,"10/2/2024 10 p.m. PDT",823
SCL,"10/2/2024 11 p.m. PDT",873
SCL,"10/3/2024 12 a.m. PDT",811
SCL,"10/3/2024 1 a.m. PDT",798
SCL,"10/3/2024 2 a.m. PDT",788
SCL,"10/3/2024 3 a.m. PDT",788
SCL,"10/3/2024 4 a.m. PDT",788
SCL,"10/3/2024 5 a.m. PDT",767
SCL,"10/3/2024 6 a.m. PDT",755
SCL,"10/3/2024 7 a.m. PDT",209
SCL,"10/3/2024 8 a.m. PDT",158
SCL,"10/3/2024 9 a.m. PDT",164
SCL,"10/3/2024 10 a.m. PDT",163
SCL,"10/3/2024 11 a.m. PDT",165
SCL,"10/3/2024 12 p.m. PDT",156
SCL,"10/3/2024 1 p.m. PDT",168
SCL,"10/3/2024 2 p.m. PDT",234
SCL,"10/3/2024 3 p.m. PDT",227
SCL,"10/3/2024 4 p.m. PDT",181
SCL,"10/3/2024 5 p.m. PDT",198
SCL,"10/3/2024 6 p.m. PDT",201
SCL,"10/3/2024 7 p.m. PDT",219
SCL,"10/3/2024 8 p.m. PDT",812
SCL,"10/3/2024 9 p.m. PDT",870
SCL,"10/3/2024 10 p.m. PDT",762
SCL,"10/3/2024 11 p.m. PDT",898
SCL,"10/4/2024 12 a.m. PDT",745
SCL,"10/4/2024 1 a.m. PDT",623
SCL,"10/4/2024 2 a.m. PDT",653
SCL,"10/4/2024 3 a.m. PDT",802
SCL,"10/4/2024 4 a.m. PDT",793
SCL,"10/4/2024 5 a.m. PDT",792
SCL,"10/4/2024 6 a.m. PDT",782
SCL,"10/4/2024 7 a.m. PDT",197
SCL,"10/4/2024 8 a.m. PDT",179
SCL,"10/4/2024 9 a.m. PDT",209
SCL,"10/4/2024 10 a.m. PDT",126
SCL,"10/4/2024 11 a.m. PDT",110
SCL,"10/4/2024 12 p.m. PDT",101
SCL,"10/4/2024 1 p.m. PDT",104
SCL,"10/4/2024 2 p.m. PDT",100
SCL,"10/4/2024 3 p.m. PDT",106
SCL,"10/4/2024 4 p.m. PDT",105
SCL,"10/4/2024 5 p.m. PDT",235
SCL,"10/4/2024 6 p.m. PDT",247
SCL,"10/4/2024 7 p.m. PDT",284
SCL,"10/4/2024 8 p.m. PDT",725
SCL,"10/4/2024 9 p.m. PDT",797
SCL,"10/4/2024 10 p.m. PDT",806
SCL,"10/4/2024 11 p.m. PDT",834
SCL,"10/5/2024 12 a.m. PDT",797
SCL,"10/5/2024 1 a.m. PDT",805
