"BA Code","Timestamp (Hour Ending)","Hydro Generation (MWh)"
SCL,"9/1/2024 12 a.m. PDT",289
SCL,"9/1/2024 1 a.m. PDT",210
SCL,"9/1/2024 2 a.m. PDT",203
SCL,"9/1/2024 3 a.m. PDT",197
SCL,"9/1/2024 4 a.m. PDT",196
SCL,"9/1/2024 5 a.m. PDT",205
SCL,"9/1/2024 6 a.m. PDT",201
SCL,"9/1/2024 7 a.m. PDT",331
SCL,"9/1/2024 8 a.m. PDT",325
SCL,"9/1/2024 9 a.m. PDT",299
SCL,"9/1/2024 10 a.m. PDT",301
SCL,"9/1/2024 11 a.m. PDT",308
SCL,"9/1/2024 12 p.m. PDT",312
SCL,"9/1/2024 1 p.m. PDT",312
SCL,"9/1/2024 2 p.m. PDT",342
SCL,"9/1/2024 3 p.m. PDT",344
SCL,"9/1/2024 4 p.m. PDT",332
SCL,"9/1/2024 5 p.m. PDT",341
SCL,"9/1/2024 6 p.m. PDT",631
SCL,"9/1/2024 7 p.m. PDT",633
SCL,"9/1/2024 8 p.m. PDT",619
SCL,"9/1/2024 9 p.m. PDT",550
SCL,"9/1/2024 10 p.m. PDT",504
SCL,"9/1/2024 11 p.m. PDT",275
SCL,"9/2/2024 12 a.m. PDT",266
SCL,"9/2/2024 1 a.m. PDT",177
SCL,"9/2/2024 2 a.m. PDT",159
SCL,"9/2/2024 3 a.m. PDT",160
SCL,"9/2/2024 4 a.m. PDT",157
SCL,"9/2/2024 5 a.m. PDT",156
SCL,"9/2/2024 6 a.m. PDT",163
SCL,"9/2/2024 7 a.m. PDT",283
SCL,"9/2/2024 8 a.m. PDT",284
SCL,"9/2/2024 9 a.m. PDT",268
SCL,"9/2/2024 10 a.m. PDT",273
SCL,"9/2/2024 11 a.m. PDT",273
SCL,"9/2/2024 12 p.m. PDT",254
SCL,"9/2/2024 1 p.m. PDT",278
SCL,"9/2/2024 2 p.m. PDT",270
SCL,"9/2/2024 3 p.m. PDT",283
SCL,"9/2/2024 4 p.m. PDT",281
SCL,"9/2/2024 5 p.m. PDT",388
SCL,"9/2/2024 6 p.m. PDT",514
SCL,"9/2/2024 7 p.m. PDT",563
SCL,"9/2/2024 8 p.m. PDT",567
SCL,"9/2/2024 9 p.m. PDT",414
SCL,"9/2/2024 10 p.m. PDT",402
SCL,"9/2/2024 11 p.m. PDT",284
SCL,"9/3/2024 12 a.m. PDT",268
SCL,"9/3/2024 1 a.m. PDT",241
SCL,"9/3/2024 2 a.m. PDT",200
SCL,"9/3/2024 3 a.m. PDT",116
SCL,"9/3/2024 4 a.m. PDT",115
SCL,"9/3/2024 5 a.m. PDT",136
SCL,"9/3/2024 6 a.m. PDT",220
SCL,"9/3/2024 7 a.m. PDT",392
SCL,"9/3/2024 8 a.m. PDT",368
SCL,"9/3/2024 9 a.m. PDT",322
SCL,"9/3/2024 10 a.m. PDT",308
SCL,"9/3/2024 11 a.m. PDT",454
SCL,"9/3/2024 12 p.m. PDT",355
SCL,"9/3/2024 1 p.m. PDT",426
SCL,"9/3/2024 2 p.m. PDT",447
SCL,"9/3/2024 3 p.m. PDT",341
SCL,"9/3/2024 4 p.m. PDT",337
SCL,"9/3/2024 5 p.m. PDT",606
SCL,"9/3/2024 6 p.m. PDT",617
SCL,"9/3/2024 7 p.m. PDT",659
SCL,"9/3/2024 8 p.m. PDT",567
SCL,"9/3/2024 9 p.m. PDT",457
SCL,"9/3/2024 10 p.m. PDT",470
SCL,"9/3/2024 11 p.m. PDT",212
SCL,"9/4/2024 12 a.m. PDT",168
SCL,"9/4/2024 1 a.m. PDT",244
SCL,"9/4/2024 2 a.m. PDT",210
SCL,"9/4/2024 3 a.m. PDT",165
SCL,"9/4/2024 4 a.m. PDT",134
SCL,"9/4/2024 5 a.m. PDT",131
SCL,"9/4/2024 6 a.m. PDT",195
SCL,"9/4/2024 7 a.m. PDT",314
SCL,"9/4/2024 8 a.m. PDT",301
SCL,"9/4/2024 9 a.m. PDT",301
SCL,"9/4/2024 10 a.m. PDT",223
SCL,"9/4/2024 11 a.m. PDT",270
SCL,"9/4/2024 12 p.m. PDT",248
SCL,"9/4/2024 1 p.m. PDT",293
SCL,"9/4/2024 2 p.m. PDT",306
SCL,"9/4/2024 3 p.m. PDT",305
SCL,"9/4/2024 4 p.m. PDT",370
SCL,"9/4/2024 5 p.m. PDT",451
SCL,"9/4/2024 6 p.m. PDT",417
SCL,"9/4/2024 7 p.m. PDT",766
SCL,"9/4/2024 8 p.m. PDT",743
SCL,"9/4/2024 9 p.m. PDT",690
SCL,"9/4/2024 10 p.m. PDT",434
SCL,"9/4/2024 11 p.m. PDT",316
SCL,"9/5/2024 12 a.m. PDT",204
SCL,"9/5/2024 1 a.m. PDT",205
SCL,"9/5/2024 2 a.m. PDT",174
SCL,"9/5/2024 3 a.m. PDT",122
SCL,"9/5/2024 4 a.m. PDT",115
SCL,"9/5/2024 5 a.m. PDT",120
SCL,"9/5/2024 6 a.m. PDT",174
SCL,"9/5/2024 7 a.m. PDT",288
SCL,"9/5/2024 8 a.m. PDT",314
SCL,"9/5/2024 9 a.m. PDT",312
SCL,"9/5/2024 10 a.m. PDT",487
SCL,"9/5/2024 11 a.m. PDT",482
SCL,"9/5/2024 12 p.m. PDT",485
SCL,"9/5/2024 1 p.m. PDT",516
SCL,"9/5/2024 2 p.m. PDT",531
SCL,"9/5/2024 3 p.m. PDT",581
SCL,"9/5/2024 4 p.m. PDT",503
SCL,"9/5/2024 5 p.m. PDT",639
SCL,"9/5/2024 6 p.m. PDT",887
SCL,"9/5/2024 7 p.m. PDT",933
SCL,"9/5/2024 8 p.m. PDT",881
SCL,"9/5/2024 9 p.m. PDT",766
SCL,"9/5/2024 10 p.m. PDT",813
SCL,"9/5/2024 11 p.m. PDT",432
SCL,"9/6/2024 12 a.m. PDT",329
SCL,"9/6/2024 1 a.m. PDT",227
SCL,"9/6/2024 2 a.m. PDT",125
SCL,"9/6/2024 3 a.m. PDT",148
SCL,"9/6/2024 4 a.m. PDT",117
SCL,"9/6/2024 5 a.m. PDT",147
SCL,"9/6/2024 6 a.m. PDT",156
SCL,"9/6/2024 7 a.m. PDT",292
SCL,"9/6/2024 8 a.m. PDT",630
SCL,"9/6/2024 9 a.m. PDT",713
SCL,"9/6/2024 10 a.m. PDT",558
SCL,"9/6/2024 11 a.m. PDT",627
SCL,"9/6/2024 12 p.m. PDT",633
SCL,"9/6/2024 1 p.m. PDT",662
SCL,"9/6/2024 2 p.m. PDT",673
SCL,"9/6/2024 3 p.m. PDT",677
SCL,"9/6/2024 4 p.m. PDT",799
SCL,"9/6/2024 5 p.m. PDT",800
SCL,"9/6/2024 6 p.m. PDT",943
SCL,"9/6/2024 7 p.m. PDT",950
SCL,"9/6/2024 8 p.m. PDT",840
SCL,"9/6/2024 9 p.m. PDT",651
SCL,"9/6/2024 10 p.m. PDT",643
SCL,"9/6/2024 11 p.m. PDT",274
SCL,"9/7/2024 12 a.m. PDT",276
SCL,"9/7/2024 1 a.m. PDT",218
SCL,"9/7/2024 2 a.m. PDT",201
