"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"4/1/2024 12 a.m. PDT",958,928,593,-365
SCL,"4/1/2024 1 a.m. PDT",889,860,534,-355
SCL,"4/1/2024 2 a.m. PDT",877,830,437,-440
SCL,"4/1/2024 3 a.m. PDT",871,819,448,-423
SCL,"4/1/2024 4 a.m. PDT",874,830,454,-420
SCL,"4/1/2024 5 a.m. PDT",916,874,492,-424
SCL,"4/1/2024 6 a.m. PDT",1000,970,615,-385
SCL,"4/1/2024 7 a.m. PDT",1131,1104,754,-377
SCL,"4/1/2024 8 a.m. PDT",1234,1207,892,-342
SCL,"4/1/2024 9 a.m. PDT",1268,1236,794,-474
SCL,"4/1/2024 10 a.m. PDT",1227,1214,700,-527
SCL,"4/1/2024 11 a.m. PDT",1188,1191,723,-465
SCL,"4/1/2024 12 p.m. PDT",1187,1163,663,-524
SCL,"4/1/2024 1 p.m. PDT",1149,1137,585,-564
SCL,"4/1/2024 2 p.m. PDT",1126,1119,559,-567
SCL,"4/1/2024 3 p.m. PDT",1095,1098,559,-536
SCL,"4/1/2024 4 p.m. PDT",1095,1086,545,-550
SCL,"4/1/2024 5 p.m. PDT",1099,1078,641,-458
SCL,"4/1/2024 6 p.m. PDT",1110,1097,821,-289
SCL,"4/1/2024 7 p.m. PDT",1108,1099,860,-248
SCL,"4/1/2024 8 p.m. PDT",1127,1106,823,-304
SCL,"4/1/2024 9 p.m. PDT",1128,1107,847,-281
SCL,"4/1/2024 10 p.m. PDT",1103,1062,739,-364
SCL,"4/1/2024 11 p.m. PDT",1019,986,705,-314
SCL,"4/2/2024 12 a.m. PDT",933,918,608,-325
SCL,"4/2/2024 1 a.m. PDT",868,839,545,-323
SCL,"4/2/2024 2 a.m. PDT",835,794,515,-320
SCL,"4/2/2024 3 a.m. PDT",819,778,492,-327
SCL,"4/2/2024 4 a.m. PDT",821,785,474,-347
SCL,"4/2/2024 5 a.m. PDT",863,826,504,-359
SCL,"4/2/2024 6 a.m. PDT",944,919,588,-356
SCL,"4/2/2024 7 a.m. PDT",1060,1068,676,-384
SCL,"4/2/2024 8 a.m. PDT",1157,1182,711,-446
SCL,"4/2/2024 9 a.m. PDT",1161,1208,743,-418
SCL,"4/2/2024 10 a.m. PDT",1133,1192,652,-481
SCL,"4/2/2024 11 a.m. PDT",-2030,1167,560,-555
SCL,"4/2/2024 12 p.m. PDT",1104,1143,520,-584
SCL,"4/2/2024 1 p.m. PDT",1090,1126,379,-711
SCL,"4/2/2024 2 p.m. PDT",1084,1108,380,-704
SCL,"4/2/2024 3 p.m. PDT",1071,1086,393,-678
SCL,"4/2/2024 4 p.m. PDT",1070,1072,438,-632
SCL,"4/2/2024 5 p.m. PDT",1079,1074,560,-519
SCL,"4/2/2024 6 p.m. PDT",1101,1092,591,-510
SCL,"4/2/2024 7 p.m. PDT",1105,1089,720,-385
SCL,"4/2/2024 8 p.m. PDT",1096,1101,878,-218
SCL,"4/2/2024 9 p.m. PDT",1098,1117,875,-223
SCL,"4/2/2024 10 p.m. PDT",1059,1081,754,-305
SCL,"4/2/2024 11 p.m. PDT",996,1001,673,-323
SCL,"4/3/2024 12 a.m. PDT",917,931,448,-469
SCL,"4/3/2024 1 a.m. PDT",886,837,164,-722
SCL,"4/3/2024 2 a.m. PDT",855,806,150,-705
SCL,"4/3/2024 3 a.m. PDT",848,793,142,-706
SCL,"4/3/2024 4 a.m. PDT",847,800,137,-710
SCL,"4/3/2024 5 a.m. PDT",880,843,189,-691
SCL,"4/3/2024 6 a.m. PDT",969,941,226,-743
SCL,"4/3/2024 7 a.m. PDT",1109,1089,285,-824
SCL,"4/3/2024 8 a.m. PDT",1204,1202,445,-759
SCL,"4/3/2024 9 a.m. PDT",1241,1229,405,-836
SCL,"4/3/2024 10 a.m. PDT",1215,1210,458,-757
SCL,"4/3/2024 11 a.m. PDT",1188,1186,552,-636
SCL,"4/3/2024 12 p.m. PDT",1160,1163,528,-632
SCL,"4/3/2024 1 p.m. PDT",1150,1138,420,-730
SCL,"4/3/2024 2 p.m. PDT",1137,1114,403,-734
SCL,"4/3/2024 3 p.m. PDT",1125,1088,404,-721
SCL,"4/3/2024 4 p.m. PDT",1117,1072,433,-684
SCL,"4/3/2024 5 p.m. PDT",,1083,,
SCL,"4/3/2024 6 p.m. PDT",1124,1100,624,-500
SCL,"4/3/2024 7 p.m. PDT",1099,1103,641,-458
SCL,"4/3/2024 8 p.m. PDT",1128,1128,633,-495
SCL,"4/3/2024 9 p.m. PDT",1157,1146,710,-447
SCL,"4/3/2024 10 p.m. PDT",1110,1110,736,-374
SCL,"4/3/2024 11 p.m. PDT",1045,1032,598,-447
SCL,"4/4/2024 12 a.m. PDT",963,961,466,-497
SCL,"4/4/2024 1 a.m. PDT",905,925,444,-461
SCL,"4/4/2024 2 a.m. PDT",869,884,439,-430
SCL,"4/4/2024 3 a.m. PDT",859,872,418,-441
SCL,"4/4/2024 4 a.m. PDT",862,879,404,-458
SCL,"4/4/2024 5 a.m. PDT",910,920,485,-425
SCL,"4/4/2024 6 a.m. PDT",995,1018,556,-439
SCL,"4/4/2024 7 a.m. PDT",1130,1160,694,-436
SCL,"4/4/2024 8 a.m. PDT",1246,1260,830,-416
SCL,"4/4/2024 9 a.m. PDT",1281,1275,831,-450
SCL,"4/4/2024 10 a.m. PDT",1298,1250,682,-616
SCL,"4/4/2024 11 a.m. PDT",1300,1216,786,-514
SCL,"4/4/2024 12 p.m. PDT",1295,1183,738,-557
SCL,"4/4/2024 1 p.m. PDT",1281,1155,674,-607
SCL,"4/4/2024 2 p.m. PDT",1243,1127,605,-638
SCL,"4/4/2024 3 p.m. PDT",1227,1100,325,-902
SCL,"4/4/2024 4 p.m. PDT",1215,1083,400,-815
SCL,"4/4/2024 5 p.m. PDT",1219,1099,494,-725
SCL,"4/4/2024 6 p.m. PDT",1223,1116,447,-776
SCL,"4/4/2024 7 p.m. PDT",1228,1114,590,-638
SCL,"4/4/2024 8 p.m. PDT",1225,1138,585,-640
SCL,"4/4/2024 9 p.m. PDT",1228,1153,670,-558
SCL,"4/4/2024 10 p.m. PDT",1174,1114,667,-507
SCL,"4/4/2024 11 p.m. PDT",1092,1046,609,-483
