"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"8/1/2024 12 a.m. PDT",897,909,456,-441
SCL,"8/1/2024 1 a.m. PDT",835,842,273,-562
SCL,"8/1/2024 2 a.m. PDT",783,798,225,-558
SCL,"8/1/2024 3 a.m. PDT",761,772,147,-614
SCL,"8/1/2024 4 a.m. PDT",748,764,140,-608
SCL,"8/1/2024 5 a.m. PDT",760,777,142,-618
SCL,"8/1/2024 6 a.m. PDT",794,823,161,-633
SCL,"8/1/2024 7 a.m. PDT",873,900,192,-681
SCL,"8/1/2024 8 a.m. PDT",966,982,362,-604
SCL,"8/1/2024 9 a.m. PDT",1030,1030,363,-667
SCL,"8/1/2024 10 a.m. PDT",1078,1062,429,-649
SCL,"8/1/2024 11 a.m. PDT",1106,1089,457,-649
SCL,"8/1/2024 12 p.m. PDT",1138,1117,478,-660
SCL,"8/1/2024 1 p.m. PDT",1160,1139,453,-707
SCL,"8/1/2024 2 p.m. PDT",1182,1160,438,-744
SCL,"8/1/2024 3 p.m. PDT",1198,1180,472,-726
SCL,"8/1/2024 4 p.m. PDT",1219,1196,450,-769
SCL,"8/1/2024 5 p.m. PDT",1239,1222,484,-755
SCL,"8/1/2024 6 p.m. PDT",1242,1233,778,-464
SCL,"8/1/2024 7 p.m. PDT",1214,1199,840,-374
SCL,"8/1/2024 8 p.m. PDT",1195,1156,769,-426
SCL,"8/1/2024 9 p.m. PDT",1165,1125,647,-518
SCL,"8/1/2024 10 p.m. PDT",1150,1108,528,-622
SCL,"8/1/2024 11 p.m. PDT",1074,1037,411,-663
SCL,"8/2/2024 12 a.m. PDT",992,960,328,-664
SCL,"8/2/2024 1 a.m. PDT",915,927,315,-600
SCL,"8/2/2024 2 a.m. PDT",860,876,240,-620
SCL,"8/2/2024 3 a.m. PDT",825,843,243,-582
SCL,"8/2/2024 4 a.m. PDT",810,826,183,-627
SCL,"8/2/2024 5 a.m. PDT",816,830,159,-657
SCL,"8/2/2024 6 a.m. PDT",862,868,238,-624
SCL,"8/2/2024 7 a.m. PDT",935,939,160,-775
SCL,"8/2/2024 8 a.m. PDT",1019,1016,198,-821
SCL,"8/2/2024 9 a.m. PDT",1093,1063,505,-588
SCL,"8/2/2024 10 a.m. PDT",1148,1097,426,-722
SCL,"8/2/2024 11 a.m. PDT",1188,1122,455,-733
SCL,"8/2/2024 12 p.m. PDT",1236,1148,514,-722
SCL,"8/2/2024 1 p.m. PDT",1264,1165,576,-688
SCL,"8/2/2024 2 p.m. PDT",1299,1188,598,-701
SCL,"8/2/2024 3 p.m. PDT",1308,1204,724,-584
SCL,"8/2/2024 4 p.m. PDT",1315,1228,627,-688
SCL,"8/2/2024 5 p.m. PDT",1345,1250,605,-740
SCL,"8/2/2024 6 p.m. PDT",1341,1258,614,-727
SCL,"8/2/2024 7 p.m. PDT",1303,1213,740,-563
SCL,"8/2/2024 8 p.m. PDT",1259,1173,717,-542
SCL,"8/2/2024 9 p.m. PDT",1210,1133,442,-768
SCL,"8/2/2024 10 p.m. PDT",1181,1107,261,-920
SCL,"8/2/2024 11 p.m. PDT",1105,1045,293,-812
SCL,"8/3/2024 12 a.m. PDT",1030,977,240,-790
SCL,"8/3/2024 1 a.m. PDT",927,925,310,-617
SCL,"8/3/2024 2 a.m. PDT",861,876,236,-625
SCL,"8/3/2024 3 a.m. PDT",820,838,207,-613
SCL,"8/3/2024 4 a.m. PDT",798,812,137,-661
SCL,"8/3/2024 5 a.m. PDT",783,801,174,-609
SCL,"8/3/2024 6 a.m. PDT",785,804,162,-623
SCL,"8/3/2024 7 a.m. PDT",795,818,143,-652
SCL,"8/3/2024 8 a.m. PDT",875,870,201,-674
SCL,"8/3/2024 9 a.m. PDT",932,932,284,-648
SCL,"8/3/2024 10 a.m. PDT",988,977,411,-577
SCL,"8/3/2024 11 a.m. PDT",1017,1016,406,-611
SCL,"8/3/2024 12 p.m. PDT",1041,1047,414,-627
SCL,"8/3/2024 1 p.m. PDT",1057,1064,414,-643
SCL,"8/3/2024 2 p.m. PDT",1092,1072,414,-678
SCL,"8/3/2024 3 p.m. PDT",1102,1083,430,-672
SCL,"8/3/2024 4 p.m. PDT",1114,1102,429,-685
SCL,"8/3/2024 5 p.m. PDT",1131,1122,431,-700
SCL,"8/3/2024 6 p.m. PDT",1151,1140,581,-570
SCL,"8/3/2024 7 p.m. PDT",1132,1137,582,-550
SCL,"8/3/2024 8 p.m. PDT",1157,1120,557,-600
SCL,"8/3/2024 9 p.m. PDT",1102,1099,436,-666
SCL,"8/3/2024 10 p.m. PDT",1109,1082,416,-693
SCL,"8/3/2024 11 p.m. PDT",1057,1033,359,-698
SCL,"8/4/2024 12 a.m. PDT",995,971,289,-706
SCL,"8/4/2024 1 a.m. PDT",926,894,238,-688
SCL,"8/4/2024 2 a.m. PDT",864,848,212,-652
SCL,"8/4/2024 3 a.m. PDT",835,816,186,-649
SCL,"8/4/2024 4 a.m. PDT",817,793,149,-668
SCL,"8/4/2024 5 a.m. PDT",794,780,144,-650
SCL,"8/4/2024 6 a.m. PDT",808,778,146,-662
SCL,"8/4/2024 7 a.m. PDT",795,789,238,-557
SCL,"8/4/2024 8 a.m. PDT",860,834,280,-580
SCL,"8/4/2024 9 a.m. PDT",914,883,283,-631
SCL,"8/4/2024 10 a.m. PDT",969,932,297,-672
SCL,"8/4/2024 11 a.m. PDT",1002,973,318,-684
SCL,"8/4/2024 12 p.m. PDT",1037,1005,248,-789
SCL,"8/4/2024 1 p.m. PDT",1061,1029,278,-783
SCL,"8/4/2024 2 p.m. PDT",1088,1055,442,-646
SCL,"8/4/2024 3 p.m. PDT",1116,1075,466,-650
SCL,"8/4/2024 4 p.m. PDT",1148,1094,440,-708
SCL,"8/4/2024 5 p.m. PDT",1194,1126,446,-748
SCL,"8/4/2024 6 p.m. PDT",1234,1152,637,-597
SCL,"8/4/2024 7 p.m. PDT",1259,1163,701,-558
SCL,"8/4/2024 8 p.m. PDT",1253,1150,778,-475
SCL,"8/4/2024 9 p.m. PDT",1216,1140,690,-526
SCL,"8/4/2024 10 p.m. PDT",1186,1121,509,-677
SCL,"8/4/2024 11 p.m. PDT",1091,1052,444,-647
SCL,"8/5/2024 12 a.m. PDT",901,969,249,-652
SCL,"8/5/2024 1 a.m. PDT",921,901,256,-665
SCL,"8/5/2024 2 a.m. PDT",872,844,190,-682
SCL,"8/5/2024 3 a.m. PDT",846,818,160,-686
SCL,"8/5/2024 4 a.m. PDT",832,808,137,-695
SCL,"8/5/2024 5 a.m. PDT",836,814,125,-711
SCL,"8/5/2024 6 a.m. PDT",856,854,198,-658
SCL,"8/5/2024 7 a.m. PDT",937,916,194,-743
SCL,"8/5/2024 8 a.m. PDT",1003,981,218,-785
SCL,"8/5/2024 9 a.m. PDT",1055,1020,388,-667
SCL,"8/5/2024 10 a.m. PDT",1094,1045,389,-705
SCL,"8/5/2024 11 a.m. PDT",1105,1062,385,-720
SCL,"8/5/2024 12 p.m. PDT",1125,1084,394,-731
SCL,"8/5/2024 1 p.m. PDT",1134,1101,391,-743
SCL,"8/5/2024 2 p.m. PDT",1164,1120,392,-772
SCL,"8/5/2024 3 p.m. PDT",1177,1134,419,-758
SCL,"8/5/2024 4 p.m. PDT",1199,1149,437,-762
SCL,"8/5/2024 5 p.m. PDT",1234,1172,585,-649
SCL,"8/5/2024 6 p.m. PDT",1251,1192,531,-720
SCL,"8/5/2024 7 p.m. PDT",1228,1164,713,-515
SCL,"8/5/2024 8 p.m. PDT",1189,1126,687,-502
SCL,"8/5/2024 9 p.m. PDT",1149,1097,640,-509
SCL,"8/5/2024 10 p.m. PDT",1117,1072,434,-683
SCL,"8/5/2024 11 p.m. PDT",1033,992,301,-732
SCL,"8/6/2024 12 a.m. PDT",945,914,276,-669
SCL,"8/6/2024 1 a.m. PDT",874,846,270,-604
SCL,"8/6/2024 2 a.m. PDT",829,797,118,-711
SCL,"8/6/2024 3 a.m. PDT",802,771,119,-683
SCL,"8/6/2024 4 a.m. PDT",781,763,121,-660
SCL,"8/6/2024 5 a.m. PDT",793,776,117,-676
SCL,"8/6/2024 6 a.m. PDT",842,825,153,-689
SCL,"8/6/2024 7 a.m. PDT",920,900,212,-708
SCL,"8/6/2024 8 a.m. PDT",994,978,214,-780
SCL,"8/6/2024 9 a.m. PDT",1036,1025,184,-852
SCL,"8/6/2024 10 a.m. PDT",1044,1047,185,-859
SCL,"8/6/2024 11 a.m. PDT",1066,1063,221,-845
SCL,"8/6/2024 12 p.m. PDT",1074,1081,223,-851
SCL,"8/6/2024 1 p.m. PDT",1068,1098,222,-846
SCL,"8/6/2024 2 p.m. PDT",1083,1110,231,-852
SCL,"8/6/2024 3 p.m. PDT",1071,1119,310,-761
SCL,"8/6/2024 4 p.m. PDT",1077,1130,462,-615
SCL,"8/6/2024 5 p.m. PDT",1096,1151,448,-648
SCL,"8/6/2024 6 p.m. PDT",1118,1163,544,-574
SCL,"8/6/2024 7 p.m. PDT",1082,1147,722,-360
SCL,"8/6/2024 8 p.m. PDT",1079,1110,756,-323
SCL,"8/6/2024 9 p.m. PDT",1063,1088,635,-428
SCL,"8/6/2024 10 p.m. PDT",1040,1074,529,-511
SCL,"8/6/2024 11 p.m. PDT",987,997,493,-494
SCL,"8/7/2024 12 a.m. PDT",904,916,321,-583
SCL,"8/7/2024 1 a.m. PDT",852,820,334,-518
SCL,"8/7/2024 2 a.m. PDT",816,779,210,-606
SCL,"8/7/2024 3 a.m. PDT",791,757,163,-628
SCL,"8/7/2024 4 a.m. PDT",766,749,170,-596
SCL,"8/7/2024 5 a.m. PDT",739,763,177,-562
SCL,"8/7/2024 6 a.m. PDT",777,813,216,-561
SCL,"8/7/2024 7 a.m. PDT",850,888,359,-491
SCL,"8/7/2024 8 a.m. PDT",917,966,311,-606
SCL,"8/7/2024 9 a.m. PDT",968,1011,259,-709
SCL,"8/7/2024 10 a.m. PDT",985,1033,250,-735
SCL,"8/7/2024 11 a.m. PDT",992,1051,239,-753
SCL,"8/7/2024 12 p.m. PDT",1017,1070,362,-655
SCL,"8/7/2024 1 p.m. PDT",1025,1084,356,-669
SCL,"8/7/2024 2 p.m. PDT",1048,1101,359,-689
SCL,"8/7/2024 3 p.m. PDT",1071,1118,467,-604
SCL,"8/7/2024 4 p.m. PDT",1094,1137,473,-621
SCL,"8/7/2024 5 p.m. PDT",1132,1159,474,-658
SCL,"8/7/2024 6 p.m. PDT",1143,1172,659,-484
SCL,"8/7/2024 7 p.m. PDT",1139,1141,939,-200
SCL,"8/7/2024 8 p.m. PDT",1109,1111,861,-248
SCL,"8/7/2024 9 p.m. PDT",1080,1082,717,-363
SCL,"8/7/2024 10 p.m. PDT",1055,1064,485,-570
SCL,"8/7/2024 11 p.m. PDT",978,989,384,-594
SCL,"8/8/2024 12 a.m. PDT",897,907,264,-633
SCL,"8/8/2024 1 a.m. PDT",826,850,147,-679
SCL,"8/8/2024 2 a.m. PDT",779,802,136,-643
SCL,"8/8/2024 3 a.m. PDT",749,777,127,-622
SCL,"8/8/2024 4 a.m. PDT",740,766,88,-652
SCL,"8/8/2024 5 a.m. PDT",750,777,87,-663
SCL,"8/8/2024 6 a.m. PDT",793,823,165,-628
SCL,"8/8/2024 7 a.m. PDT",861,898,372,-489
SCL,"8/8/2024 8 a.m. PDT",923,976,360,-563
SCL,"8/8/2024 9 a.m. PDT",980,1022,262,-718
SCL,"8/8/2024 10 a.m. PDT",1019,1052,256,-763
SCL,"8/8/2024 11 a.m. PDT",1046,1078,275,-771
SCL,"8/8/2024 12 p.m. PDT",1087,1105,363,-724
SCL,"8/8/2024 1 p.m. PDT",1116,1127,502,-614
SCL,"8/8/2024 2 p.m. PDT",1151,1148,403,-748
SCL,"8/8/2024 3 p.m. PDT",1168,1167,555,-613
SCL,"8/8/2024 4 p.m. PDT",1198,1186,456,-742
SCL,"8/8/2024 5 p.m. PDT",1227,1219,484,-743
SCL,"8/8/2024 6 p.m. PDT",1242,1217,704,-538
SCL,"8/8/2024 7 p.m. PDT",1213,1189,946,-267
SCL,"8/8/2024 8 p.m. PDT",1178,1151,894,-284
SCL,"8/8/2024 9 p.m. PDT",1152,1121,809,-343
SCL,"8/8/2024 10 p.m. PDT",1126,1100,615,-511
SCL,"8/8/2024 11 p.m. PDT",1049,1024,266,-783
SCL,"8/9/2024 12 a.m. PDT",962,950,256,-706
SCL,"8/9/2024 1 a.m. PDT",891,904,235,-656
SCL,"8/9/2024 2 a.m. PDT",843,856,156,-687
SCL,"8/9/2024 3 a.m. PDT",803,825,116,-687
SCL,"8/9/2024 4 a.m. PDT",793,810,125,-668
SCL,"8/9/2024 5 a.m. PDT",790,816,118,-672
SCL,"8/9/2024 6 a.m. PDT",833,859,172,-661
SCL,"8/9/2024 7 a.m. PDT",892,929,338,-554
SCL,"8/9/2024 8 a.m. PDT",956,1003,310,-646
SCL,"8/9/2024 9 a.m. PDT",1031,1048,238,-793
SCL,"8/9/2024 10 a.m. PDT",1106,1080,227,-879
SCL,"8/9/2024 11 a.m. PDT",1143,1101,199,-944
SCL,"8/9/2024 12 p.m. PDT",1146,1126,441,-705
SCL,"8/9/2024 1 p.m. PDT",1183,1143,299,-884
SCL,"8/9/2024 2 p.m. PDT",1207,1167,326,-881
SCL,"8/9/2024 3 p.m. PDT",1227,1180,310,-917
SCL,"8/9/2024 4 p.m. PDT",1240,1203,391,-849
SCL,"8/9/2024 5 p.m. PDT",1279,1223,452,-827
SCL,"8/9/2024 6 p.m. PDT",1292,1228,642,-650
SCL,"8/9/2024 7 p.m. PDT",1241,1186,701,-540
SCL,"8/9/2024 8 p.m. PDT",1209,1147,608,-601
SCL,"8/9/2024 9 p.m. PDT",1177,1112,562,-615
SCL,"8/9/2024 10 p.m. PDT",1152,1086,530,-622
SCL,"8/9/2024 11 p.m. PDT",1072,1022,353,-719
SCL,"8/10/2024 12 a.m. PDT",997,958,312,-685
SCL,"8/10/2024 1 a.m. PDT",924,901,254,-670
SCL,"8/10/2024 2 a.m. PDT",874,852,187,-687
SCL,"8/10/2024 3 a.m. PDT",840,817,186,-654
SCL,"8/10/2024 4 a.m. PDT",822,796,151,-671
SCL,"8/10/2024 5 a.m. PDT",807,789,148,-659
SCL,"8/10/2024 6 a.m. PDT",818,798,261,-557
SCL,"8/10/2024 7 a.m. PDT",825,815,317,-508
SCL,"8/10/2024 8 a.m. PDT",860,867,343,-517
SCL,"8/10/2024 9 a.m. PDT",915,930,296,-619
SCL,"8/10/2024 10 a.m. PDT",964,974,327,-637
SCL,"8/10/2024 11 a.m. PDT",984,1009,321,-663
SCL,"8/10/2024 12 p.m. PDT",994,1038,415,-579
SCL,"8/10/2024 1 p.m. PDT",1017,1056,474,-543
SCL,"8/10/2024 2 p.m. PDT",1025,1066,487,-538
SCL,"8/10/2024 3 p.m. PDT",1022,1077,524,-498
SCL,"8/10/2024 4 p.m. PDT",1042,1097,539,-503
SCL,"8/10/2024 5 p.m. PDT",1097,1123,719,-378
SCL,"8/10/2024 6 p.m. PDT",1122,1139,795,-327
SCL,"8/10/2024 7 p.m. PDT",1142,1136,760,-382
SCL,"8/10/2024 8 p.m. PDT",1117,1121,822,-295
SCL,"8/10/2024 9 p.m. PDT",1096,1104,690,-406
SCL,"8/10/2024 10 p.m. PDT",1073,1076,681,-392
SCL,"8/10/2024 11 p.m. PDT",1012,1017,397,-615
SCL,"8/11/2024 12 a.m. PDT",952,953,372,-580
SCL,"8/11/2024 1 a.m. PDT",873,856,284,-589
SCL,"8/11/2024 2 a.m. PDT",839,809,190,-649
SCL,"8/11/2024 3 a.m. PDT",807,779,193,-614
SCL,"8/11/2024 4 a.m. PDT",793,759,167,-626
SCL,"8/11/2024 5 a.m. PDT",795,748,167,-628
SCL,"8/11/2024 6 a.m. PDT",796,750,167,-629
SCL,"8/11/2024 7 a.m. PDT",797,759,275,-522
SCL,"8/11/2024 8 a.m. PDT",829,797,261,-568
SCL,"8/11/2024 9 a.m. PDT",870,842,295,-575
SCL,"8/11/2024 10 a.m. PDT",918,883,298,-620
SCL,"8/11/2024 11 a.m. PDT",946,915,277,-669
SCL,"8/11/2024 12 p.m. PDT",960,938,291,-669
SCL,"8/11/2024 1 p.m. PDT",977,954,439,-538
SCL,"8/11/2024 2 p.m. PDT",982,964,498,-484
SCL,"8/11/2024 3 p.m. PDT",980,975,519,-461
SCL,"8/11/2024 4 p.m. PDT",995,992,502,-493
SCL,"8/11/2024 5 p.m. PDT",1016,1021,550,-466
SCL,"8/11/2024 6 p.m. PDT",1035,1048,658,-377
SCL,"8/11/2024 7 p.m. PDT",1047,1052,678,-369
SCL,"8/11/2024 8 p.m. PDT",1037,1044,703,-334
SCL,"8/11/2024 9 p.m. PDT",1027,1037,664,-363
SCL,"8/11/2024 10 p.m. PDT",1019,1022,459,-560
SCL,"8/11/2024 11 p.m. PDT",969,954,338,-631
SCL,"8/12/2024 12 a.m. PDT",888,881,235,-653
SCL,"8/12/2024 1 a.m. PDT",835,807,120,-715
SCL,"8/12/2024 2 a.m. PDT",804,763,114,-690
SCL,"8/12/2024 3 a.m. PDT",782,745,116,-666
SCL,"8/12/2024 4 a.m. PDT",765,740,118,-647
SCL,"8/12/2024 5 a.m. PDT",774,754,118,-656
SCL,"8/12/2024 6 a.m. PDT",830,803,120,-710
SCL,"8/12/2024 7 a.m. PDT",887,871,259,-628
SCL,"8/12/2024 8 a.m. PDT",926,937,266,-660
SCL,"8/12/2024 9 a.m. PDT",961,972,217,-744
SCL,"8/12/2024 10 a.m. PDT",1012,991,219,-793
SCL,"8/12/2024 11 a.m. PDT",1051,998,383,-668
SCL,"8/12/2024 12 p.m. PDT",1068,1009,409,-659
SCL,"8/12/2024 1 p.m. PDT",1072,1020,437,-635
SCL,"8/12/2024 2 p.m. PDT",1079,1028,392,-687
SCL,"8/12/2024 3 p.m. PDT",1097,1027,399,-698
SCL,"8/12/2024 4 p.m. PDT",1103,1038,419,-684
SCL,"8/12/2024 5 p.m. PDT",1110,1054,408,-702
SCL,"8/12/2024 6 p.m. PDT",1123,1077,562,-561
SCL,"8/12/2024 7 p.m. PDT",1101,1055,489,-612
SCL,"8/12/2024 8 p.m. PDT",1073,1029,466,-607
SCL,"8/12/2024 9 p.m. PDT",1074,1015,435,-639
SCL,"8/12/2024 10 p.m. PDT",1030,993,439,-591
SCL,"8/12/2024 11 p.m. PDT",969,916,238,-731
SCL,"8/13/2024 12 a.m. PDT",894,843,212,-682
SCL,"8/13/2024 1 a.m. PDT",834,805,268,-566
SCL,"8/13/2024 2 a.m. PDT",796,764,235,-561
SCL,"8/13/2024 3 a.m. PDT",779,743,217,-562
SCL,"8/13/2024 4 a.m. PDT",775,736,193,-582
SCL,"8/13/2024 5 a.m. PDT",787,748,129,-658
SCL,"8/13/2024 6 a.m. PDT",822,798,261,-561
SCL,"8/13/2024 7 a.m. PDT",903,871,396,-507
SCL,"8/13/2024 8 a.m. PDT",963,943,389,-574
SCL,"8/13/2024 9 a.m. PDT",1024,981,385,-639
SCL,"8/13/2024 10 a.m. PDT",1046,998,383,-663
SCL,"8/13/2024 11 a.m. PDT",1047,1006,383,-664
SCL,"8/13/2024 12 p.m. PDT",1067,1016,383,-684
SCL,"8/13/2024 1 p.m. PDT",1089,1027,400,-689
SCL,"8/13/2024 2 p.m. PDT",1086,1032,407,-679
SCL,"8/13/2024 3 p.m. PDT",1089,1036,409,-680
SCL,"8/13/2024 4 p.m. PDT",1098,1043,407,-691
SCL,"8/13/2024 5 p.m. PDT",1083,1058,495,-588
SCL,"8/13/2024 6 p.m. PDT",1081,1069,636,-445
SCL,"8/13/2024 7 p.m. PDT",1066,1044,597,-469
SCL,"8/13/2024 8 p.m. PDT",1069,1022,598,-471
SCL,"8/13/2024 9 p.m. PDT",1065,1014,584,-481
SCL,"8/13/2024 10 p.m. PDT",1033,997,551,-482
SCL,"8/13/2024 11 p.m. PDT",978,926,383,-595
SCL,"8/14/2024 12 a.m. PDT",901,854,328,-573
SCL,"8/14/2024 1 a.m. PDT",843,809,284,-559
SCL,"8/14/2024 2 a.m. PDT",809,772,257,-552
SCL,"8/14/2024 3 a.m. PDT",783,750,241,-542
SCL,"8/14/2024 4 a.m. PDT",742,742,143,-599
SCL,"8/14/2024 5 a.m. PDT",740,755,137,-603
SCL,"8/14/2024 6 a.m. PDT",791,805,160,-631
SCL,"8/14/2024 7 a.m. PDT",854,877,279,-575
SCL,"8/14/2024 8 a.m. PDT",927,948,248,-679
SCL,"8/14/2024 9 a.m. PDT",972,989,241,-731
SCL,"8/14/2024 10 a.m. PDT",997,1006,354,-643
