"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"12/1/2024 12 a.m. PST",1092,1137,78,-1014
SCL,"12/1/2024 1 a.m. PST",1055,1055,82,-973
SCL,"12/1/2024 2 a.m. PST",1022,1023,83,-939
SCL,"12/1/2024 3 a.m. PST",999,1004,79,-920
SCL,"12/1/2024 4 a.m. PST",998,1003,139,-859
SCL,"12/1/2024 5 a.m. PST",1017,1021,129,-888
SCL,"12/1/2024 6 a.m. PST",1051,1066,167,-884
SCL,"12/1/2024 7 a.m. PST",1111,1134,272,-839
SCL,"12/1/2024 8 a.m. PST",1179,1204,331,-848
SCL,"12/1/2024 9 a.m. PST",1225,1250,335,-890
SCL,"12/1/2024 10 a.m. PST",1233,1276,249,-984
SCL,"12/1/2024 11 a.m. PST",1226,1285,201,-1025
SCL,"12/1/2024 12 p.m. PST",1214,1282,194,-1020
SCL,"12/1/2024 1 p.m. PST",1188,1266,190,-998
SCL,"12/1/2024 2 p.m. PST",1183,1250,191,-992
SCL,"12/1/2024 3 p.m. PST",1171,1244,196,-975
SCL,"12/1/2024 4 p.m. PST",1186,1272,503,-683
SCL,"12/1/2024 5 p.m. PST",1272,1339,547,-725
SCL,"12/1/2024 6 p.m. PST",1343,1394,603,-740
SCL,"12/1/2024 7 p.m. PST",1355,1393,635,-720
SCL,"12/1/2024 8 p.m. PST",1339,1378,645,-694
SCL,"12/1/2024 9 p.m. PST",1315,1351,489,-826
SCL,"12/1/2024 10 p.m. PST",1269,1307,239,-1030
SCL,"12/1/2024 11 p.m. PST",1185,1232,89,-1096
SCL,"12/2/2024 12 a.m. PST",1115,1158,86,-1029
SCL,"12/2/2024 1 a.m. PST",1069,1067,83,-986
SCL,"12/2/2024 2 a.m. PST",1042,1037,85,-957
SCL,"12/2/2024 3 a.m. PST",1036,1029,87,-949
SCL,"12/2/2024 4 a.m. PST",1048,1046,159,-889
SCL,"12/2/2024 5 a.m. PST",1094,1106,225,-869
SCL,"12/2/2024 6 a.m. PST",1191,1223,321,-870
SCL,"12/2/2024 7 a.m. PST",1339,1369,569,-770
SCL,"12/2/2024 8 a.m. PST",1462,1480,634,-828
SCL,"12/2/2024 9 a.m. PST",1491,1506,458,-1033
SCL,"12/2/2024 10 a.m. PST",1490,1497,287,-1203
SCL,"12/2/2024 11 a.m. PST",1468,1481,276,-1192
