"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"2/1/2025 12 a.m. PST",1198,1189,670,-528
SCL,"2/1/2025 1 a.m. PST",1147,1108,655,-492
SCL,"2/1/2025 2 a.m. PST",1084,1072,626,-458
SCL,"2/1/2025 3 a.m. PST",1068,1057,431,-637
SCL,"2/1/2025 4 a.m. PST",1076,1055,430,-646
SCL,"2/1/2025 5 a.m. PST",1121,1068,438,-683
SCL,"2/1/2025 6 a.m. PST",1176,1106,619,-557
SCL,"2/1/2025 7 a.m. PST",1245,1170,685,-560
SCL,"2/1/2025 8 a.m. PST",1322,1240,699,-623
SCL,"2/1/2025 9 a.m. PST",1391,1304,638,-753
SCL,"2/1/2025 10 a.m. PST",1449,1338,606,-843
SCL,"2/1/2025 11 a.m. PST",1455,1350,598,-857
SCL,"2/1/2025 12 p.m. PST",1459,1362,699,-760
SCL,"2/1/2025 1 p.m. PST",1470,1363,704,-766
SCL,"2/1/2025 2 p.m. PST",1440,1349,722,-718
SCL,"2/1/2025 3 p.m. PST",1423,1347,638,-785
SCL,"2/1/2025 4 p.m. PST",1409,1349,583,-826
SCL,"2/1/2025 5 p.m. PST",1426,1380,799,-627
SCL,"2/1/2025 6 p.m. PST",1499,1426,811,-688
SCL,"2/1/2025 7 p.m. PST",1528,1425,800,-728
SCL,"2/1/2025 8 p.m. PST",1497,1393,770,-727
SCL,"2/1/2025 9 p.m. PST",1459,1366,780,-679
SCL,"2/1/2025 10 p.m. PST",1418,1312,711,-707
SCL,"2/1/2025 11 p.m. PST",1348,1248,729,-619
SCL,"2/2/2025 12 a.m. PST",1285,1193,723,-562
SCL,"2/2/2025 1 a.m. PST",1225,1197,325,-900
SCL,"2/2/2025 2 a.m. PST",1199,1162,288,-911
SCL,"2/2/2025 3 a.m. PST",1175,1148,283,-892
SCL,"2/2/2025 4 a.m. PST",1170,1142,283,-887
SCL,"2/2/2025 5 a.m. PST",1190,1144,283,-907
SCL,"2/2/2025 6 a.m. PST",1222,1168,349,-873
SCL,"2/2/2025 7 a.m. PST",1257,1214,453,-804
SCL,"2/2/2025 8 a.m. PST",1336,1266,473,-863
SCL,"2/2/2025 9 a.m. PST",1419,1312,452,-967
SCL,"2/2/2025 10 a.m. PST",1487,1350,509,-978
SCL,"2/2/2025 11 a.m. PST",1530,1354,593,-937
SCL,"2/2/2025 12 p.m. PST",1548,1342,614,-934
