"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"1/1/2024 7 a.m. PST",1144,1136,346,-798
SCL,"1/1/2024 8 a.m. PST",1188,1190,374,-814
SCL,"1/1/2024 9 a.m. PST",1212,1226,404,-808
SCL,"1/1/2024 10 a.m. PST",1207,1243,420,-787
SCL,"1/1/2024 11 a.m. PST",1221,1253,479,-742
SCL,"1/1/2024 12 p.m. PST",1262,1258,464,-798
SCL,"1/1/2024 1 p.m. PST",1279,1243,462,-817
SCL,"1/1/2024 2 p.m. PST",1263,1227,398,-865
SCL,"1/1/2024 3 p.m. PST",1252,1212,401,-851
SCL,"1/1/2024 4 p.m. PST",1270,1226,437,-833
SCL,"1/1/2024 5 p.m. PST",1350,1287,577,-773
SCL,"1/1/2024 6 p.m. PST",1397,1359,681,-716
SCL,"1/1/2024 7 p.m. PST",1372,1346,625,-747
SCL,"1/1/2024 8 p.m. PST",1338,1310,585,-753
SCL,"1/1/2024 9 p.m. PST",1298,1268,574,-724
SCL,"1/1/2024 10 p.m. PST",1243,1208,476,-767
SCL,"1/1/2024 11 p.m. PST",1181,1128,390,-791
SCL,"1/2/2024 12 a.m. PST",1092,1058,271,-821
SCL,"1/2/2024 1 a.m. PST",1044,1028,296,-748
SCL,"1/2/2024 2 a.m. PST",1012,982,254,-758
SCL,"1/2/2024 3 a.m. PST",1002,970,247,-755
SCL,"1/2/2024 4 a.m. PST",1017,984,239,-778
SCL,"1/2/2024 5 a.m. PST",1057,1039,256,-801
SCL,"1/2/2024 6 a.m. PST",1161,1147,306,-855
SCL,"1/2/2024 7 a.m. PST",1289,1290,339,-950
SCL,"1/2/2024 8 a.m. PST",1396,1412,400,-996
SCL,"1/2/2024 9 a.m. PST",1428,1440,440,-988
SCL,"1/2/2024 10 a.m. PST",1412,1434,464,-948
SCL,"1/2/2024 11 a.m. PST",1440,1408,535,-905
SCL,"1/2/2024 12 p.m. PST",1451,1388,499,-952
SCL,"1/2/2024 1 p.m. PST",1461,1383,534,-927
SCL,"1/2/2024 2 p.m. PST",1437,1362,491,-946
SCL,"1/2/2024 3 p.m. PST",1428,1339,481,-947
SCL,"1/2/2024 4 p.m. PST",1438,1351,410,-1028
SCL,"1/2/2024 5 p.m. PST",1467,1398,500,-967
SCL,"1/2/2024 6 p.m. PST",1487,1463,706,-781
SCL,"1/2/2024 7 p.m. PST",1448,1445,607,-841
SCL,"1/2/2024 8 p.m. PST",1412,1396,592,-820
SCL,"1/2/2024 9 p.m. PST",1355,1346,592,-763
SCL,"1/2/2024 10 p.m. PST",1280,1275,426,-854
SCL,"1/2/2024 11 p.m. PST",1172,1180,380,-792
SCL,"1/3/2024 12 a.m. PST",1105,1089,339,-766
SCL,"1/3/2024 1 a.m. PST",1042,1013,255,-787
SCL,"1/3/2024 2 a.m. PST",997,973,235,-762
SCL,"1/3/2024 3 a.m. PST",973,958,238,-735
SCL,"1/3/2024 4 a.m. PST",993,965,232,-761
SCL,"1/3/2024 5 a.m. PST",1022,1009,229,-793
SCL,"1/3/2024 6 a.m. PST",1123,1110,273,-850
SCL,"1/3/2024 7 a.m. PST",1234,1244,337,-897
SCL,"1/3/2024 8 a.m. PST",1334,1364,453,-881
SCL,"1/3/2024 9 a.m. PST",1354,1389,523,-831
SCL,"1/3/2024 10 a.m. PST",1366,1380,541,-825
SCL,"1/3/2024 11 a.m. PST",1317,1359,468,-849
SCL,"1/3/2024 12 p.m. PST",1307,1341,512,-795
SCL,"1/3/2024 1 p.m. PST",1299,1332,557,-742
SCL,"1/3/2024 2 p.m. PST",1297,1320,482,-815
SCL,"1/3/2024 3 p.m. PST",1305,1293,507,-798
SCL,"1/3/2024 4 p.m. PST",1332,1313,441,-891
SCL,"1/3/2024 5 p.m. PST",1371,1353,466,-905
SCL,"1/3/2024 6 p.m. PST",1410,1415,588,-822
SCL,"1/3/2024 7 p.m. PST",1378,1396,598,-780
SCL,"1/3/2024 8 p.m. PST",1339,1353,609,-730
SCL,"1/3/2024 9 p.m. PST",1287,1305,625,-662
SCL,"1/3/2024 10 p.m. PST",1226,1229,648,-578
SCL,"1/3/2024 11 p.m. PST",1137,1138,520,-617
SCL,"1/4/2024 12 a.m. PST",1053,1056,287,-766
SCL,"1/4/2024 1 a.m. PST",992,1002,376,-616
SCL,"1/4/2024 2 a.m. PST",954,965,299,-655
SCL,"1/4/2024 3 a.m. PST",937,948,273,-664
SCL,"1/4/2024 4 a.m. PST",944,952,265,-679
SCL,"1/4/2024 5 a.m. PST",976,990,269,-707
SCL,"1/4/2024 6 a.m. PST",1078,1087,314,-764
SCL,"1/4/2024 7 a.m. PST",1224,1219,339,-885
SCL,"1/4/2024 8 a.m. PST",1333,1340,458,-875
SCL,"1/4/2024 9 a.m. PST",1346,1361,430,-916
SCL,"1/4/2024 10 a.m. PST",1353,1360,423,-930
SCL,"1/4/2024 11 a.m. PST",1358,1351,507,-851
SCL,"1/4/2024 12 p.m. PST",1358,1338,471,-887
SCL,"1/4/2024 1 p.m. PST",1351,1335,451,-900
SCL,"1/4/2024 2 p.m. PST",1329,1324,467,-862
SCL,"1/4/2024 3 p.m. PST",1316,1302,487,-829
SCL,"1/4/2024 4 p.m. PST",1318,1299,415,-903
SCL,"1/4/2024 5 p.m. PST",1349,1346,615,-734
SCL,"1/4/2024 6 p.m. PST",1396,1406,636,-760
SCL,"1/4/2024 7 p.m. PST",1371,1392,566,-805
SCL,"1/4/2024 8 p.m. PST",1343,1344,639,-704
SCL,"1/4/2024 9 p.m. PST",1297,1301,627,-670
SCL,"1/4/2024 10 p.m. PST",1238,1234,557,-681
SCL,"1/4/2024 11 p.m. PST",1152,1145,403,-749
SCL,"1/5/2024 12 a.m. PST",1068,1073,314,-754
SCL,"1/5/2024 1 a.m. PST",1014,1020,329,-685
SCL,"1/5/2024 2 a.m. PST",982,987,300,-682
SCL,"1/5/2024 3 a.m. PST",966,972,282,-684
SCL,"1/5/2024 4 a.m. PST",964,978,336,-628
SCL,"1/5/2024 5 a.m. PST",1023,1021,382,-641
SCL,"1/5/2024 6 a.m. PST",1139,1116,483,-656
SCL,"1/5/2024 7 a.m. PST",1281,1245,596,-685
SCL,"1/5/2024 8 a.m. PST",1383,1361,628,-755
SCL,"1/5/2024 9 a.m. PST",1424,1396,555,-869
SCL,"1/5/2024 10 a.m. PST",1434,1396,514,-920
SCL,"1/5/2024 11 a.m. PST",1435,1378,505,-930
SCL,"1/5/2024 12 p.m. PST",1428,1369,537,-891
SCL,"1/5/2024 1 p.m. PST",1426,1359,558,-868
SCL,"1/5/2024 2 p.m. PST",1421,1340,519,-902
SCL,"1/5/2024 3 p.m. PST",1426,1311,516,-910
SCL,"1/5/2024 4 p.m. PST",1428,1335,491,-937
SCL,"1/5/2024 5 p.m. PST",1474,1370,568,-906
SCL,"1/5/2024 6 p.m. PST",1484,1419,657,-827
SCL,"1/5/2024 7 p.m. PST",1437,1388,610,-827
SCL,"1/5/2024 8 p.m. PST",1386,1328,592,-794
SCL,"1/5/2024 9 p.m. PST",1341,1280,516,-825
SCL,"1/5/2024 10 p.m. PST",1280,1217,475,-805
SCL,"1/5/2024 11 p.m. PST",1210,1152,482,-728
SCL,"1/6/2024 12 a.m. PST",1137,1087,512,-625
SCL,"1/6/2024 1 a.m. PST",1077,1043,396,-681
