BA Code,Timestamp (Hour Ending),Demand (MWh)
SCL,1/1/2024 7 a.m. PST,1144.0
SCL,1/1/2024 8 a.m. PST,1188.0
SCL,1/1/2024 9 a.m. PST,1212.0
SCL,1/1/2024 10 a.m. PST,1207.0
SCL,1/1/2024 11 a.m. PST,1221.0
SCL,1/1/2024 12 p.m. PST,1262.0
SCL,1/1/2024 1 p.m. PST,1279.0
SCL,1/1/2024 2 p.m. PST,1263.0
SCL,1/1/2024 3 p.m. PST,1252.0
SCL,1/1/2024 4 p.m. PST,1270.0
SCL,1/1/2024 5 p.m. PST,1350.0
SCL,1/1/2024 6 p.m. PST,1397.0
SCL,1/1/2024 7 p.m. PST,1372.0
SCL,1/1/2024 8 p.m. PST,1338.0
SCL,1/1/2024 9 p.m. PST,1298.0
SCL,1/1/2024 10 p.m. PST,1243.0
SCL,1/1/2024 11 p.m. PST,1181.0
SCL,1/2/2024 12 a.m. PST,1092.0
SCL,1/2/2024 1 a.m. PST,1044.0
SCL,1/2/2024 2 a.m. PST,1012.0
SCL,1/2/2024 3 a.m. PST,1002.0
SCL,1/2/2024 4 a.m. PST,1017.0
SCL,1/2/2024 5 a.m. PST,1057.0
SCL,1/2/2024 6 a.m. PST,1161.0
SCL,1/2/2024 7 a.m. PST,1289.0
SCL,1/2/2024 8 a.m. PST,1396.0
SCL,1/2/2024 9 a.m. PST,1428.0
SCL,1/2/2024 10 a.m. PST,1412.0
SCL,1/2/2024 11 a.m. PST,1440.0
SCL,1/2/2024 12 p.m. PST,1451.0
SCL,1/2/2024 1 p.m. PST,1461.0
SCL,1/2/2024 2 p.m. PST,1437.0
SCL,1/2/2024 3 p.m. PST,1428.0
SCL,1/2/2024 4 p.m. PST,1438.0
SCL,1/2/2024 5 p.m. PST,1467.0
SCL,1/2/2024 6 p.m. PST,1487.0
SCL,1/2/2024 7 p.m. PST,1448.0
SCL,1/2/2024 8 p.m. PST,1412.0
SCL,1/2/2024 9 p.m. PST,1355.0
SCL,1/2/2024 10 p.m. PST,1280.0
SCL,1/2/2024 11 p.m. PST,1172.0
SCL,1/3/2024 12 a.m. PST,1105.0
SCL,1/3/2024 1 a.m. PST,1042.0
SCL,1/3/2024 2 a.m. PST,997.0
SCL,1/3/2024 3 a.m. PST,973.0
SCL,1/3/2024 4 a.m. PST,993.0
SCL,1/3/2024 5 a.m. PST,1022.0
SCL,1/3/2024 6 a.m. PST,1123.0
SCL,1/3/2024 7 a.m. PST,1234.0
SCL,1/3/2024 8 a.m. PST,1334.0
SCL,1/3/2024 9 a.m. PST,1354.0
SCL,1/3/2024 10 a.m. PST,1366.0
SCL,1/3/2024 11 a.m. PST,1317.0
SCL,1/3/2024 12 p.m. PST,1307.0
SCL,1/3/2024 1 p.m. PST,1299.0
SCL,1/3/2024 2 p.m. PST,1297.0
SCL,1/3/2024 3 p.m. PST,1305.0
SCL,1/3/2024 4 p.m. PST,1332.0
SCL,1/3/2024 5 p.m. PST,1371.0
SCL,1/3/2024 6 p.m. PST,1410.0
SCL,1/3/2024 7 p.m. PST,1378.0
SCL,1/3/2024 8 p.m. PST,1339.0
SCL,1/3/2024 9 p.m. PST,1287.0
SCL,1/3/2024 10 p.m. PST,1226.0
SCL,1/3/2024 11 p.m. PST,1137.0
SCL,1/4/2024 12 a.m. PST,1053.0
SCL,1/4/2024 1 a.m. PST,992.0
SCL,1/4/2024 2 a.m. PST,954.0
SCL,1/4/2024 3 a.m. PST,937.0
SCL,1/4/2024 4 a.m. PST,944.0
SCL,1/4/2024 5 a.m. PST,976.0
SCL,1/4/2024 6 a.m. PST,1078.0
SCL,1/4/2024 7 a.m. PST,1224.0
SCL,1/4/2024 8 a.m. PST,1333.0
SCL,1/4/2024 9 a.m. PST,1346.0
SCL,1/4/2024 10 a.m. PST,1353.0
SCL,1/4/2024 11 a.m. PST,1358.0
SCL,1/4/2024 12 p.m. PST,1358.0
SCL,1/4/2024 1 p.m. PST,1351.0
SCL,1/4/2024 2 p.m. PST,1329.0
SCL,1/4/2024 3 p.m. PST,1316.0
SCL,1/4/2024 4 p.m. PST,1318.0
SCL,1/4/2024 5 p.m. PST,1349.0
SCL,1/4/2024 6 p.m. PST,1396.0
SCL,1/4/2024 7 p.m. PST,1371.0
SCL,1/4/2024 8 p.m. PST,1343.0
SCL,1/4/2024 9 p.m. PST,1297.0
SCL,1/4/2024 10 p.m. PST,1238.0
SCL,1/4/2024 11 p.m. PST,1152.0
SCL,1/5/2024 12 a.m. PST,1068.0
SCL,1/5/2024 1 a.m. PST,1014.0
SCL,1/5/2024 2 a.m. PST,982.0
SCL,1/5/2024 3 a.m. PST,966.0
SCL,1/5/2024 4 a.m. PST,964.0
SCL,1/5/2024 5 a.m. PST,1023.0
SCL,1/5/2024 6 a.m. PST,1139.0
SCL,1/5/2024 7 a.m. PST,1281.0
SCL,1/5/2024 8 a.m. PST,1383.0
SCL,1/5/2024 9 a.m. PST,1424.0
SCL,1/5/2024 10 a.m. PST,1434.0
SCL,1/5/2024 11 a.m. PST,1435.0
SCL,1/5/2024 12 p.m. PST,1428.0
SCL,1/5/2024 1 p.m. PST,1426.0
SCL,1/5/2024 2 p.m. PST,1421.0
SCL,1/5/2024 3 p.m. PST,1426.0
SCL,1/5/2024 4 p.m. PST,1428.0
SCL,1/5/2024 5 p.m. PST,1474.0
SCL,1/5/2024 6 p.m. PST,1484.0
SCL,1/5/2024 7 p.m. PST,1437.0
SCL,1/5/2024 8 p.m. PST,1386.0
SCL,1/5/2024 9 p.m. PST,1341.0
SCL,1/5/2024 10 p.m. PST,1280.0
SCL,1/5/2024 11 p.m. PST,1210.0
SCL,1/6/2024 12 a.m. PST,1137.0
SCL,1/6/2024 1 a.m. PST,1077.0
SCL,1/6/2024 2 a.m. PST,1043.0
SCL,1/6/2024 3 a.m. PST,1030.0
SCL,1/6/2024 4 a.m. PST,1019.0
SCL,1/6/2024 5 a.m. PST,1037.0
SCL,1/6/2024 6 a.m. PST,1065.0
SCL,1/6/2024 7 a.m. PST,1130.0
SCL,1/6/2024 8 a.m. PST,1190.0
SCL,1/6/2024 9 a.m. PST,1252.0
SCL,1/6/2024 10 a.m. PST,1291.0
SCL,1/6/2024 11 a.m. PST,1319.0
SCL,1/6/2024 12 p.m. PST,1344.0
SCL,1/6/2024 1 p.m. PST,1316.0
SCL,1/6/2024 2 p.m. PST,1299.0
SCL,1/6/2024 3 p.m. PST,1291.0
SCL,1/6/2024 4 p.m. PST,1284.0
SCL,1/6/2024 5 p.m. PST,1350.0
SCL,1/6/2024 6 p.m. PST,1413.0
SCL,1/6/2024 7 p.m. PST,1409.0
SCL,1/6/2024 8 p.m. PST,1393.0
SCL,1/6/2024 9 p.m. PST,1352.0
SCL,1/6/2024 10 p.m. PST,1296.0
SCL,1/6/2024 11 p.m. PST,1226.0
SCL,1/7/2024 12 a.m. PST,1163.0
SCL,1/7/2024 1 a.m. PST,1111.0
SCL,1/7/2024 2 a.m. PST,1080.0
SCL,1/7/2024 3 a.m. PST,1044.0
SCL,1/7/2024 4 a.m. PST,1043.0
SCL,1/7/2024 5 a.m. PST,1058.0
SCL,1/7/2024 6 a.m. PST,1086.0
SCL,1/7/2024 7 a.m. PST,1130.0
SCL,1/7/2024 8 a.m. PST,1199.0
SCL,1/7/2024 9 a.m. PST,1252.0
