"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"7/1/2024 12 a.m. PDT",893,856,712,-181
SCL,"7/1/2024 1 a.m. PDT",830,795,444,-386
SCL,"7/1/2024 2 a.m. PDT",786,754,397,-389
SCL,"7/1/2024 3 a.m. PDT",769,730,346,-423
SCL,"7/1/2024 4 a.m. PDT",763,723,347,-416
SCL,"7/1/2024 5 a.m. PDT",779,735,390,-389
SCL,"7/1/2024 6 a.m. PDT",821,769,425,-396
SCL,"7/1/2024 7 a.m. PDT",898,838,665,-233
SCL,"7/1/2024 8 a.m. PDT",972,906,727,-245
SCL,"7/1/2024 9 a.m. PDT",1045,944,782,-263
SCL,"7/1/2024 10 a.m. PDT",1065,965,795,-270
SCL,"7/1/2024 11 a.m. PDT",1083,979,729,-354
SCL,"7/1/2024 12 p.m. PDT",1091,994,824,-267
SCL,"7/1/2024 1 p.m. PDT",1070,1005,708,-362
SCL,"7/1/2024 2 p.m. PDT",1076,1013,692,-384
SCL,"7/1/2024 3 p.m. PDT",1072,1018,680,-392
SCL,"7/1/2024 4 p.m. PDT",1084,1024,681,-403
SCL,"7/1/2024 5 p.m. PDT",1092,1039,690,-402
SCL,"7/1/2024 6 p.m. PDT",1090,1050,794,-296
SCL,"7/1/2024 7 p.m. PDT",1071,1020,812,-259
SCL,"7/1/2024 8 p.m. PDT",1042,994,807,-235
SCL,"7/1/2024 9 p.m. PDT",1008,973,785,-223
SCL,"7/1/2024 10 p.m. PDT",985,958,946,-39
SCL,"7/1/2024 11 p.m. PDT",936,912,568,-368
SCL,"7/2/2024 12 a.m. PDT",853,844,506,-347
SCL,"7/2/2024 1 a.m. PDT",779,790,517,-262
SCL,"7/2/2024 2 a.m. PDT",735,747,499,-236
SCL,"7/2/2024 3 a.m. PDT",714,722,474,-240
SCL,"7/2/2024 4 a.m. PDT",702,715,476,-226
SCL,"7/2/2024 5 a.m. PDT",713,731,511,-202
SCL,"7/2/2024 6 a.m. PDT",749,770,562,-187
SCL,"7/2/2024 7 a.m. PDT",824,848,796,-28
SCL,"7/2/2024 8 a.m. PDT",914,924,840,-74
SCL,"7/2/2024 9 a.m. PDT",953,965,821,-132
SCL,"7/2/2024 10 a.m. PDT",963,982,870,-93
SCL,"7/2/2024 11 a.m. PDT",983,992,759,-224
SCL,"7/2/2024 12 p.m. PDT",972,1004,775,-197
SCL,"7/2/2024 1 p.m. PDT",987,1017,796,-191
SCL,"7/2/2024 2 p.m. PDT",990,1026,722,-268
SCL,"7/2/2024 3 p.m. PDT",994,1032,694,-300
SCL,"7/2/2024 4 p.m. PDT",1005,1037,718,-287
SCL,"7/2/2024 5 p.m. PDT",1020,1050,748,-272
SCL,"7/2/2024 6 p.m. PDT",1043,1059,727,-316
SCL,"7/2/2024 7 p.m. PDT",1032,1042,890,-142
SCL,"7/2/2024 8 p.m. PDT",1007,1016,914,-93
SCL,"7/2/2024 9 p.m. PDT",981,994,871,-110
SCL,"7/2/2024 10 p.m. PDT",967,980,808,-159
SCL,"7/2/2024 11 p.m. PDT",909,932,582,-327
SCL,"7/3/2024 12 a.m. PDT",831,861,566,-265
SCL,"7/3/2024 1 a.m. PDT",769,778,446,-323
SCL,"7/3/2024 2 a.m. PDT",722,732,405,-317
SCL,"7/3/2024 3 a.m. PDT",702,710,419,-283
SCL,"7/3/2024 4 a.m. PDT",691,705,464,-227
SCL,"7/3/2024 5 a.m. PDT",703,722,460,-243
SCL,"7/3/2024 6 a.m. PDT",740,766,471,-269
SCL,"7/3/2024 7 a.m. PDT",820,843,849,29
SCL,"7/3/2024 8 a.m. PDT",888,921,843,-45
SCL,"7/3/2024 9 a.m. PDT",938,963,705,-233
SCL,"7/3/2024 10 a.m. PDT",960,979,701,-259
SCL,"7/3/2024 11 a.m. PDT",980,990,691,-289
SCL,"7/3/2024 12 p.m. PDT",981,1003,683,-298
SCL,"7/3/2024 1 p.m. PDT",1005,1018,701,-304
SCL,"7/3/2024 2 p.m. PDT",1001,1030,675,-326
SCL,"7/3/2024 3 p.m. PDT",1019,1038,700,-319
SCL,"7/3/2024 4 p.m. PDT",1036,1048,679,-357
SCL,"7/3/2024 5 p.m. PDT",1046,1060,674,-372
SCL,"7/3/2024 6 p.m. PDT",1062,1069,728,-334
SCL,"7/3/2024 7 p.m. PDT",1044,1041,899,-145
SCL,"7/3/2024 8 p.m. PDT",1018,1018,1021,3
SCL,"7/3/2024 9 p.m. PDT",999,995,1011,12
SCL,"7/3/2024 10 p.m. PDT",979,982,994,15
SCL,"7/3/2024 11 p.m. PDT",934,936,601,-333
SCL,"7/4/2024 12 a.m. PDT",859,863,485,-374
SCL,"7/4/2024 1 a.m. PDT",791,820,477,-314
SCL,"7/4/2024 2 a.m. PDT",745,759,445,-300
SCL,"7/4/2024 3 a.m. PDT",713,729,454,-259
SCL,"7/4/2024 4 a.m. PDT",698,714,428,-270
SCL,"7/4/2024 5 a.m. PDT",698,716,441,-257
SCL,"7/4/2024 6 a.m. PDT",708,730,508,-200
SCL,"7/4/2024 7 a.m. PDT",746,769,520,-226
SCL,"7/4/2024 8 a.m. PDT",794,809,646,-148
SCL,"7/4/2024 9 a.m. PDT",834,846,645,-189
