"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"6/1/2024 12 a.m. PDT",877,843,871,-6
SCL,"6/1/2024 1 a.m. PDT",817,782,518,-299
SCL,"6/1/2024 2 a.m. PDT",788,741,504,-284
SCL,"6/1/2024 3 a.m. PDT",758,717,472,-286
SCL,"6/1/2024 4 a.m. PDT",749,706,471,-278
SCL,"6/1/2024 5 a.m. PDT",748,711,469,-279
SCL,"6/1/2024 6 a.m. PDT",766,728,471,-295
SCL,"6/1/2024 7 a.m. PDT",809,769,699,-110
SCL,"6/1/2024 8 a.m. PDT",840,823,723,-117
SCL,"6/1/2024 9 a.m. PDT",901,878,638,-263
SCL,"6/1/2024 10 a.m. PDT",937,916,595,-342
SCL,"6/1/2024 11 a.m. PDT",970,935,678,-292
SCL,"6/1/2024 12 p.m. PDT",974,944,541,-433
SCL,"6/1/2024 1 p.m. PDT",943,942,545,-398
SCL,"6/1/2024 2 p.m. PDT",928,934,534,-394
SCL,"6/1/2024 3 p.m. PDT",910,923,443,-467
SCL,"6/1/2024 4 p.m. PDT",943,919,395,-548
SCL,"6/1/2024 5 p.m. PDT",941,927,419,-522
SCL,"6/1/2024 6 p.m. PDT",954,936,597,-357
SCL,"6/1/2024 7 p.m. PDT",963,939,719,-244
SCL,"6/1/2024 8 p.m. PDT",962,932,1046,84
SCL,"6/1/2024 9 p.m. PDT",964,929,1062,98
SCL,"6/1/2024 10 p.m. PDT",959,929,1022,63
SCL,"6/1/2024 11 p.m. PDT",876,897,760,-116
SCL,"6/2/2024 12 a.m. PDT",847,843,684,-163
SCL,"6/2/2024 1 a.m. PDT",804,770,603,-201
SCL,"6/2/2024 2 a.m. PDT",776,735,599,-177
SCL,"6/2/2024 3 a.m. PDT",751,711,429,-322
SCL,"6/2/2024 4 a.m. PDT",755,700,426,-329
SCL,"6/2/2024 5 a.m. PDT",741,698,428,-313
SCL,"6/2/2024 6 a.m. PDT",755,705,448,-307
SCL,"6/2/2024 7 a.m. PDT",760,737,462,-298
SCL,"6/2/2024 8 a.m. PDT",828,786,532,-296
SCL,"6/2/2024 9 a.m. PDT",891,838,605,-286
SCL,"6/2/2024 10 a.m. PDT",942,882,582,-360
SCL,"6/2/2024 11 a.m. PDT",981,906,434,-547
SCL,"6/2/2024 12 p.m. PDT",1011,917,467,-544
SCL,"6/2/2024 1 p.m. PDT",1033,920,504,-529
SCL,"6/2/2024 2 p.m. PDT",1002,922,399,-603
SCL,"6/2/2024 3 p.m. PDT",977,920,579,-398
SCL,"6/2/2024 4 p.m. PDT",952,918,574,-378
SCL,"6/2/2024 5 p.m. PDT",971,931,591,-380
SCL,"6/2/2024 6 p.m. PDT",995,955,831,-164
SCL,"6/2/2024 7 p.m. PDT",1009,964,1039,30
SCL,"6/2/2024 8 p.m. PDT",1006,958,1111,105
SCL,"6/2/2024 9 p.m. PDT",994,953,999,5
SCL,"6/2/2024 10 p.m. PDT",993,952,933,-60
SCL,"6/2/2024 11 p.m. PDT",959,908,832,-127
SCL,"6/3/2024 12 a.m. PDT",867,837,618,-249
SCL,"6/3/2024 1 a.m. PDT",823,769,600,-223
SCL,"6/3/2024 2 a.m. PDT",786,739,556,-230
SCL,"6/3/2024 3 a.m. PDT",773,722,540,-233
SCL,"6/3/2024 4 a.m. PDT",768,720,532,-236
SCL,"6/3/2024 5 a.m. PDT",802,735,542,-260
SCL,"6/3/2024 6 a.m. PDT",851,783,548,-303
SCL,"6/3/2024 7 a.m. PDT",949,877,562,-387
SCL,"6/3/2024 8 a.m. PDT",1021,971,538,-483
SCL,"6/3/2024 9 a.m. PDT",1066,1004,595,-471
SCL,"6/3/2024 10 a.m. PDT",1068,1012,601,-467
SCL,"6/3/2024 11 a.m. PDT",1066,1013,497,-569
SCL,"6/3/2024 12 p.m. PDT",1067,1016,493,-574
SCL,"6/3/2024 1 p.m. PDT",1065,1016,511,-554
SCL,"6/3/2024 2 p.m. PDT",1033,1012,514,-519
SCL,"6/3/2024 3 p.m. PDT",1031,1004,583,-448
SCL,"6/3/2024 4 p.m. PDT",1030,1003,464,-566
SCL,"6/3/2024 5 p.m. PDT",1050,1011,475,-575
SCL,"6/3/2024 6 p.m. PDT",1068,1022,873,-195
SCL,"6/3/2024 7 p.m. PDT",1065,1010,877,-188
SCL,"6/3/2024 8 p.m. PDT",1048,996,871,-177
SCL,"6/3/2024 9 p.m. PDT",1049,988,865,-184
SCL,"6/3/2024 10 p.m. PDT",1033,987,869,-164
SCL,"6/3/2024 11 p.m. PDT",970,936,787,-183
SCL,"6/4/2024 12 a.m. PDT",892,859,771,-121
SCL,"6/4/2024 1 a.m. PDT",820,794,568,-252
SCL,"6/4/2024 2 a.m. PDT",808,757,570,-238
SCL,"6/4/2024 3 a.m. PDT",780,738,528,-252
SCL,"6/4/2024 4 a.m. PDT",782,734,551,-231
SCL,"6/4/2024 5 a.m. PDT",805,753,553,-252
SCL,"6/4/2024 6 a.m. PDT",887,803,554,-333
SCL,"6/4/2024 7 a.m. PDT",953,905,815,-138
SCL,"6/4/2024 8 a.m. PDT",1045,996,899,-146
SCL,"6/4/2024 9 a.m. PDT",1078,1020,943,-135
SCL,"6/4/2024 10 a.m. PDT",1081,1023,773,-308
SCL,"6/4/2024 11 a.m. PDT",1074,1013,756,-318
SCL,"6/4/2024 12 p.m. PDT",1056,1006,695,-361
SCL,"6/4/2024 1 p.m. PDT",1052,1004,691,-361
SCL,"6/4/2024 2 p.m. PDT",1029,999,590,-439
SCL,"6/4/2024 3 p.m. PDT",1013,990,595,-418
SCL,"6/4/2024 4 p.m. PDT",985,988,595,-390
SCL,"6/4/2024 5 p.m. PDT",989,998,599,-390
SCL,"6/4/2024 6 p.m. PDT",1010,1009,627,-383
SCL,"6/4/2024 7 p.m. PDT",991,1000,742,-249
SCL,"6/4/2024 8 p.m. PDT",988,986,748,-240
SCL,"6/4/2024 9 p.m. PDT",983,972,845,-138
SCL,"6/4/2024 10 p.m. PDT",977,974,877,-100
SCL,"6/4/2024 11 p.m. PDT",918,929,658,-260
SCL,"6/5/2024 12 a.m. PDT",844,862,483,-361
SCL,"6/5/2024 1 a.m. PDT",786,790,435,-351
SCL,"6/5/2024 2 a.m. PDT",748,755,388,-360
SCL,"6/5/2024 3 a.m. PDT",725,738,526,-199
SCL,"6/5/2024 4 a.m. PDT",724,737,592,-132
SCL,"6/5/2024 5 a.m. PDT",745,763,624,-121
SCL,"6/5/2024 6 a.m. PDT",808,820,600,-208
SCL,"6/5/2024 7 a.m. PDT",917,925,781,-136
SCL,"6/5/2024 8 a.m. PDT",984,1014,831,-153
SCL,"6/5/2024 9 a.m. PDT",1005,1035,897,-108
SCL,"6/5/2024 10 a.m. PDT",1000,1032,897,-103
SCL,"6/5/2024 11 a.m. PDT",993,1027,817,-176
SCL,"6/5/2024 12 p.m. PDT",991,1025,870,-121
SCL,"6/5/2024 1 p.m. PDT",982,1024,869,-113
SCL,"6/5/2024 2 p.m. PDT",980,1020,729,-251
SCL,"6/5/2024 3 p.m. PDT",969,1014,716,-253
SCL,"6/5/2024 4 p.m. PDT",969,1014,714,-255
SCL,"6/5/2024 5 p.m. PDT",988,1025,810,-178
SCL,"6/5/2024 6 p.m. PDT",998,1038,843,-155
SCL,"6/5/2024 7 p.m. PDT",995,1021,965,-30
SCL,"6/5/2024 8 p.m. PDT",984,1003,1020,36
SCL,"6/5/2024 9 p.m. PDT",975,988,1064,89
SCL,"6/5/2024 10 p.m. PDT",965,982,872,-93
SCL,"6/5/2024 11 p.m. PDT",917,933,773,-144
SCL,"6/6/2024 12 a.m. PDT",834,863,724,-110
SCL,"6/6/2024 1 a.m. PDT",772,785,509,-263
SCL,"6/6/2024 2 a.m. PDT",736,742,446,-290
SCL,"6/6/2024 3 a.m. PDT",712,724,413,-299
SCL,"6/6/2024 4 a.m. PDT",714,721,390,-324
SCL,"6/6/2024 5 a.m. PDT",739,744,464,-275
SCL,"6/6/2024 6 a.m. PDT",795,800,568,-227
SCL,"6/6/2024 7 a.m. PDT",895,898,853,-42
SCL,"6/6/2024 8 a.m. PDT",973,983,903,-70
SCL,"6/6/2024 9 a.m. PDT",994,999,773,-221
SCL,"6/6/2024 10 a.m. PDT",1005,1007,729,-276
SCL,"6/6/2024 11 a.m. PDT",995,1007,724,-271
SCL,"6/6/2024 12 p.m. PDT",997,1008,748,-249
SCL,"6/6/2024 1 p.m. PDT",992,1010,837,-155
SCL,"6/6/2024 2 p.m. PDT",993,1010,835,-158
SCL,"6/6/2024 3 p.m. PDT",988,1008,839,-149
SCL,"6/6/2024 4 p.m. PDT",988,1012,870,-118
SCL,"6/6/2024 5 p.m. PDT",999,1027,799,-200
SCL,"6/6/2024 6 p.m. PDT",1015,1036,885,-130
SCL,"6/6/2024 7 p.m. PDT",1002,1010,959,-43
SCL,"6/6/2024 8 p.m. PDT",990,993,948,-42
SCL,"6/6/2024 9 p.m. PDT",980,972,931,-49
SCL,"6/6/2024 10 p.m. PDT",968,965,871,-97
SCL,"6/6/2024 11 p.m. PDT",913,919,641,-272
SCL,"6/7/2024 12 a.m. PDT",836,850,584,-252
SCL,"6/7/2024 1 a.m. PDT",777,789,539,-238
SCL,"6/7/2024 2 a.m. PDT",737,745,517,-220
SCL,"6/7/2024 3 a.m. PDT",710,722,550,-160
SCL,"6/7/2024 4 a.m. PDT",706,717,546,-160
SCL,"6/7/2024 5 a.m. PDT",723,735,596,-127
SCL,"6/7/2024 6 a.m. PDT",767,786,582,-185
SCL,"6/7/2024 7 a.m. PDT",862,876,728,-134
SCL,"6/7/2024 8 a.m. PDT",944,955,799,-145
SCL,"6/7/2024 9 a.m. PDT",990,993,781,-209
SCL,"6/7/2024 10 a.m. PDT",1015,1013,699,-316
SCL,"6/7/2024 11 a.m. PDT",1035,1023,717,-318
SCL,"6/7/2024 12 p.m. PDT",1034,1030,705,-329
SCL,"6/7/2024 1 p.m. PDT",1048,1035,742,-306
SCL,"6/7/2024 2 p.m. PDT",1055,1038,887,-168
SCL,"6/7/2024 3 p.m. PDT",1055,1040,947,-108
SCL,"6/7/2024 4 p.m. PDT",1063,1045,963,-100
SCL,"6/7/2024 5 p.m. PDT",1078,1055,933,-145
SCL,"6/7/2024 6 p.m. PDT",1083,1059,923,-160
SCL,"6/7/2024 7 p.m. PDT",1064,1023,1022,-42
SCL,"6/7/2024 8 p.m. PDT",1041,993,1063,22
SCL,"6/7/2024 9 p.m. PDT",1025,969,1013,-12
SCL,"6/7/2024 10 p.m. PDT",1005,951,974,-31
SCL,"6/7/2024 11 p.m. PDT",971,909,747,-224
SCL,"6/8/2024 12 a.m. PDT",896,850,718,-178
SCL,"6/8/2024 1 a.m. PDT",841,806,540,-301
SCL,"6/8/2024 2 a.m. PDT",795,762,520,-275
SCL,"6/8/2024 3 a.m. PDT",765,733,525,-240
SCL,"6/8/2024 4 a.m. PDT",748,718,501,-247
SCL,"6/8/2024 5 a.m. PDT",755,717,544,-211
SCL,"6/8/2024 6 a.m. PDT",755,724,529,-226
SCL,"6/8/2024 7 a.m. PDT",785,760,730,-55
SCL,"6/8/2024 8 a.m. PDT",847,815,739,-108
SCL,"6/8/2024 9 a.m. PDT",878,877,790,-88
SCL,"6/8/2024 10 a.m. PDT",951,916,837,-114
SCL,"6/8/2024 11 a.m. PDT",969,937,844,-125
SCL,"6/8/2024 12 p.m. PDT",999,946,899,-100
SCL,"6/8/2024 1 p.m. PDT",1007,951,886,-121
SCL,"6/8/2024 2 p.m. PDT",1016,950,891,-125
SCL,"6/8/2024 3 p.m. PDT",1003,945,900,-103
SCL,"6/8/2024 4 p.m. PDT",1001,955,887,-114
SCL,"6/8/2024 5 p.m. PDT",1018,972,1036,18
SCL,"6/8/2024 6 p.m. PDT",1028,979,908,-120
SCL,"6/8/2024 7 p.m. PDT",1049,976,793,-256
SCL,"6/8/2024 8 p.m. PDT",1036,963,971,-65
SCL,"6/8/2024 9 p.m. PDT",1027,948,1093,66
SCL,"6/8/2024 10 p.m. PDT",996,942,999,3
SCL,"6/8/2024 11 p.m. PDT",964,905,670,-294
SCL,"6/9/2024 12 a.m. PDT",892,853,633,-259
SCL,"6/9/2024 1 a.m. PDT",840,806,537,-303
SCL,"6/9/2024 2 a.m. PDT",796,754,538,-258
SCL,"6/9/2024 3 a.m. PDT",766,725,533,-233
SCL,"6/9/2024 4 a.m. PDT",754,710,533,-221
SCL,"6/9/2024 5 a.m. PDT",744,706,570,-174
SCL,"6/9/2024 6 a.m. PDT",707,707,567,-140
SCL,"6/9/2024 7 a.m. PDT",762,736,553,-209
SCL,"6/9/2024 8 a.m. PDT",816,786,577,-239
SCL,"6/9/2024 9 a.m. PDT",870,840,665,-205
SCL,"6/9/2024 10 a.m. PDT",914,886,766,-148
SCL,"6/9/2024 11 a.m. PDT",934,918,820,-114
SCL,"6/9/2024 12 p.m. PDT",951,931,777,-174
SCL,"6/9/2024 1 p.m. PDT",960,935,771,-189
SCL,"6/9/2024 2 p.m. PDT",967,941,791,-176
SCL,"6/9/2024 3 p.m. PDT",970,946,811,-159
SCL,"6/9/2024 4 p.m. PDT",979,954,974,-5
