"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"3/1/2025 12 a.m. PST",1001,986,458,-543
SCL,"3/1/2025 1 a.m. PST",957,931,371,-586
SCL,"3/1/2025 2 a.m. PST",941,897,368,-573
SCL,"3/1/2025 3 a.m. PST",929,880,324,-605
SCL,"3/1/2025 4 a.m. PST",919,879,330,-589
SCL,"3/1/2025 5 a.m. PST",920,902,412,-508
SCL,"3/1/2025 6 a.m. PST",982,954,421,-561
SCL,"3/1/2025 7 a.m. PST",1049,1024,383,-666
SCL,"3/1/2025 8 a.m. PST",1106,1086,400,-706
SCL,"3/1/2025 9 a.m. PST",1175,1130,419,-756
SCL,"3/1/2025 10 a.m. PST",1189,1141,301,-888
SCL,"3/1/2025 11 a.m. PST",1119,1129,277,-842
SCL,"3/1/2025 12 p.m. PST",1086,1104,178,-908
SCL,"3/1/2025 1 p.m. PST",1095,1072,180,-915
SCL,"3/1/2025 2 p.m. PST",1066,1040,177,-889
SCL,"3/1/2025 3 p.m. PST",1059,1026,147,-912
SCL,"3/1/2025 4 p.m. PST",1047,1020,280,-767
SCL,"3/1/2025 5 p.m. PST",1084,1045,494,-590
SCL,"3/1/2025 6 p.m. PST",1127,1090,636,-491
SCL,"3/1/2025 7 p.m. PST",1161,1137,616,-545
SCL,"3/1/2025 8 p.m. PST",1150,1135,577,-573
SCL,"3/1/2025 9 p.m. PST",1137,1116,557,-580
SCL,"3/1/2025 10 p.m. PST",1103,1086,384,-719
SCL,"3/1/2025 11 p.m. PST",1046,1045,564,-482
SCL,"3/2/2025 12 a.m. PST",1013,990,466,-547
SCL,"3/2/2025 1 a.m. PST",962,918,458,-504
SCL,"3/2/2025 2 a.m. PST",929,891,426,-503
SCL,"3/2/2025 3 a.m. PST",900,872,400,-500
SCL,"3/2/2025 4 a.m. PST",890,867,390,-500
SCL,"3/2/2025 5 a.m. PST",905,878,393,-512
SCL,"3/2/2025 6 a.m. PST",931,909,433,-498
SCL,"3/2/2025 7 a.m. PST",971,964,366,-605
SCL,"3/2/2025 8 a.m. PST",1026,1008,375,-651
SCL,"3/2/2025 9 a.m. PST",1066,1051,404,-662
SCL,"3/2/2025 10 a.m. PST",1106,1075,477,-629
SCL,"3/2/2025 11 a.m. PST",1136,1091,398,-738
SCL,"3/2/2025 12 p.m. PST",1169,1091,386,-783
SCL,"3/2/2025 1 p.m. PST",1178,1101,398,-780
SCL,"3/2/2025 2 p.m. PST",1176,1096,397,-779
SCL,"3/2/2025 3 p.m. PST",1166,1098,300,-866
SCL,"3/2/2025 4 p.m. PST",1151,1097,298,-853
SCL,"3/2/2025 5 p.m. PST",1147,1123,334,-813
SCL,"3/2/2025 6 p.m. PST",1196,1177,346,-850
SCL,"3/2/2025 7 p.m. PST",1266,1230,320,-946
SCL,"3/2/2025 8 p.m. PST",1257,1214,317,-940
SCL,"3/2/2025 9 p.m. PST",1231,1189,486,-745
SCL,"3/2/2025 10 p.m. PST",1163,1146,468,-695
SCL,"3/2/2025 11 p.m. PST",1100,1069,419,-681
SCL,"3/3/2025 12 a.m. PST",1016,988,439,-577
SCL,"3/3/2025 1 a.m. PST",961,926,471,-490
SCL,"3/3/2025 2 a.m. PST",928,886,420,-508
SCL,"3/3/2025 3 a.m. PST",908,876,408,-500
SCL,"3/3/2025 4 a.m. PST",915,887,382,-533
SCL,"3/3/2025 5 a.m. PST",962,932,445,-517
SCL,"3/3/2025 6 a.m. PST",1052,1029,471,-581
SCL,"3/3/2025 7 a.m. PST",1180,1170,415,-765
SCL,"3/3/2025 8 a.m. PST",1303,1270,558,-745
SCL,"3/3/2025 9 a.m. PST",1331,1296,508,-823
SCL,"3/3/2025 10 a.m. PST",1327,1280,395,-932
SCL,"3/3/2025 11 a.m. PST",1277,1259,304,-973
SCL,"3/3/2025 12 p.m. PST",1281,1244,293,-988
SCL,"3/3/2025 1 p.m. PST",1273,1232,284,-989
SCL,"3/3/2025 2 p.m. PST",1257,1223,288,-969
SCL,"3/3/2025 3 p.m. PST",1229,1197,304,-925
SCL,"3/3/2025 4 p.m. PST",1229,1183,305,-924
SCL,"3/3/2025 5 p.m. PST",1252,1208,622,-630
SCL,"3/3/2025 6 p.m. PST",1305,1253,650,-655
SCL,"3/3/2025 7 p.m. PST",1330,1290,625,-705
SCL,"3/3/2025 8 p.m. PST",1304,1268,614,-690
SCL,"3/3/2025 9 p.m. PST",1267,1233,613,-654
SCL,"3/3/2025 10 p.m. PST",1201,1173,607,-594
SCL,"3/3/2025 11 p.m. PST",1122,1098,504,-618
SCL,"3/4/2025 12 a.m. PST",1044,1016,514,-530
SCL,"3/4/2025 1 a.m. PST",996,958,351,-645
SCL,"3/4/2025 2 a.m. PST",961,921,347,-614
SCL,"3/4/2025 3 a.m. PST",945,908,353,-592
SCL,"3/4/2025 4 a.m. PST",952,917,340,-612
SCL,"3/4/2025 5 a.m. PST",987,961,356,-631
SCL,"3/4/2025 6 a.m. PST",1085,1064,496,-589
SCL,"3/4/2025 7 a.m. PST",1222,1217,418,-804
SCL,"3/4/2025 8 a.m. PST",1321,1321,522,-799
SCL,"3/4/2025 9 a.m. PST",1327,1330,477,-850
SCL,"3/4/2025 10 a.m. PST",1333,1301,476,-857
SCL,"3/4/2025 11 a.m. PST",1339,1263,371,-968
SCL,"3/4/2025 12 p.m. PST",1334,1234,206,-1128
SCL,"3/4/2025 1 p.m. PST",1324,1221,227,-1097
SCL,"3/4/2025 2 p.m. PST",1342,1214,228,-1114
SCL,"3/4/2025 3 p.m. PST",1344,1194,266,-1078
SCL,"3/4/2025 4 p.m. PST",1297,1189,294,-1003
SCL,"3/4/2025 5 p.m. PST",1269,1216,351,-918
SCL,"3/4/2025 6 p.m. PST",1319,1262,544,-775
SCL,"3/4/2025 7 p.m. PST",1379,1300,684,-695
SCL,"3/4/2025 8 p.m. PST",1381,1286,678,-703
SCL,"3/4/2025 9 p.m. PST",1343,1250,643,-700
SCL,"3/4/2025 10 p.m. PST",1251,1199,542,-709
SCL,"3/4/2025 11 p.m. PST",1143,1117,514,-629
SCL,"3/5/2025 12 a.m. PST",1058,1040,519,-539
SCL,"3/5/2025 1 a.m. PST",997,1008,329,-668
SCL,"3/5/2025 2 a.m. PST",955,973,277,-678
SCL,"3/5/2025 3 a.m. PST",946,960,221,-725
SCL,"3/5/2025 4 a.m. PST",954,965,240,-714
SCL,"3/5/2025 5 a.m. PST",992,1003,296,-696
SCL,"3/5/2025 6 a.m. PST",1100,1100,492,-608
SCL,"3/5/2025 7 a.m. PST",1256,1242,632,-624
SCL,"3/5/2025 8 a.m. PST",1346,1334,746,-600
SCL,"3/5/2025 9 a.m. PST",1325,1340,714,-611
SCL,"3/5/2025 10 a.m. PST",1273,1300,553,-720
SCL,"3/5/2025 11 a.m. PST",1223,1252,420,-803
SCL,"3/5/2025 12 p.m. PST",1195,1211,267,-928
SCL,"3/5/2025 1 p.m. PST",1179,1187,333,-846
SCL,"3/5/2025 2 p.m. PST",1150,1170,346,-804
SCL,"3/5/2025 3 p.m. PST",1119,1161,334,-785
SCL,"3/5/2025 4 p.m. PST",1118,1159,339,-779
SCL,"3/5/2025 5 p.m. PST",1139,1177,489,-650
SCL,"3/5/2025 6 p.m. PST",1203,1225,672,-531
SCL,"3/5/2025 7 p.m. PST",1253,1272,603,-650
SCL,"3/5/2025 8 p.m. PST",1254,1267,563,-691
SCL,"3/5/2025 9 p.m. PST",1235,1240,721,-514
SCL,"3/5/2025 10 p.m. PST",1182,1190,576,-606
SCL,"3/5/2025 11 p.m. PST",1108,1116,471,-637
SCL,"3/6/2025 12 a.m. PST",1023,1041,288,-735
SCL,"3/6/2025 1 a.m. PST",972,986,288,-684
SCL,"3/6/2025 2 a.m. PST",937,950,265,-672
SCL,"3/6/2025 3 a.m. PST",923,940,215,-708
SCL,"3/6/2025 4 a.m. PST",929,950,218,-711
SCL,"3/6/2025 5 a.m. PST",968,998,263,-705
SCL,"3/6/2025 6 a.m. PST",1066,1104,525,-541
SCL,"3/6/2025 7 a.m. PST",1211,1258,664,-547
SCL,"3/6/2025 8 a.m. PST",1310,1363,620,-690
SCL,"3/6/2025 9 a.m. PST",1332,1369,528,-804
SCL,"3/6/2025 10 a.m. PST",1330,1328,517,-813
SCL,"3/6/2025 11 a.m. PST",1302,1288,462,-840
SCL,"3/6/2025 12 p.m. PST",1265,1250,284,-981
SCL,"3/6/2025 1 p.m. PST",1205,1220,325,-880
SCL,"3/6/2025 2 p.m. PST",1158,1194,307,-851
SCL,"3/6/2025 3 p.m. PST",1125,1172,304,-821
SCL,"3/6/2025 4 p.m. PST",1114,1160,324,-790
SCL,"3/6/2025 5 p.m. PST",1137,1178,500,-637
SCL,"3/6/2025 6 p.m. PST",1181,1224,674,-507
SCL,"3/6/2025 7 p.m. PST",1231,1270,616,-615
SCL,"3/6/2025 8 p.m. PST",1241,1261,618,-623
