"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"5/1/2024 12 a.m. PDT",986,972,413,-573
SCL,"5/1/2024 1 a.m. PDT",937,895,485,-452
SCL,"5/1/2024 2 a.m. PDT",909,859,404,-505
SCL,"5/1/2024 3 a.m. PDT",892,847,426,-466
SCL,"5/1/2024 4 a.m. PDT",896,852,439,-457
SCL,"5/1/2024 5 a.m. PDT",942,889,447,-495
SCL,"5/1/2024 6 a.m. PDT",1018,979,673,-345
SCL,"5/1/2024 7 a.m. PDT",1098,1095,667,-431
SCL,"5/1/2024 8 a.m. PDT",1173,1186,554,-619
SCL,"5/1/2024 9 a.m. PDT",1169,1197,587,-582
SCL,"5/1/2024 10 a.m. PDT",1141,1185,420,-721
SCL,"5/1/2024 11 a.m. PDT",1098,1161,409,-689
SCL,"5/1/2024 12 p.m. PDT",1076,1144,396,-680
SCL,"5/1/2024 1 p.m. PDT",1055,1120,378,-677
SCL,"5/1/2024 2 p.m. PDT",1033,1100,378,-655
SCL,"5/1/2024 3 p.m. PDT",1012,1077,388,-624
SCL,"5/1/2024 4 p.m. PDT",1002,1074,392,-610
SCL,"5/1/2024 5 p.m. PDT",1007,1083,390,-617
SCL,"5/1/2024 6 p.m. PDT",1022,1097,572,-450
SCL,"5/1/2024 7 p.m. PDT",1019,1092,720,-299
SCL,"5/1/2024 8 p.m. PDT",1030,1085,880,-150
SCL,"5/1/2024 9 p.m. PDT",1042,1103,864,-178
SCL,"5/1/2024 10 p.m. PDT",1033,1091,814,-219
SCL,"5/1/2024 11 p.m. PDT",955,1015,759,-196
SCL,"5/2/2024 12 a.m. PDT",887,934,609,-278
SCL,"5/2/2024 1 a.m. PDT",831,838,570,-261
SCL,"5/2/2024 2 a.m. PDT",800,803,524,-276
SCL,"5/2/2024 3 a.m. PDT",789,789,511,-278
SCL,"5/2/2024 4 a.m. PDT",797,795,547,-250
SCL,"5/2/2024 5 a.m. PDT",835,832,653,-182
SCL,"5/2/2024 6 a.m. PDT",918,921,701,-217
SCL,"5/2/2024 7 a.m. PDT",1040,1043,792,-248
SCL,"5/2/2024 8 a.m. PDT",1125,1134,812,-313
SCL,"5/2/2024 9 a.m. PDT",1123,1148,790,-333
SCL,"5/2/2024 10 a.m. PDT",1098,1136,665,-433
SCL,"5/2/2024 11 a.m. PDT",1070,1116,690,-380
SCL,"5/2/2024 12 p.m. PDT",1045,1100,658,-387
SCL,"5/2/2024 1 p.m. PDT",1027,1091,521,-506
SCL,"5/2/2024 2 p.m. PDT",1010,1079,568,-442
SCL,"5/2/2024 3 p.m. PDT",996,1069,613,-383
SCL,"5/2/2024 4 p.m. PDT",991,1065,587,-404
SCL,"5/2/2024 5 p.m. PDT",999,1074,573,-426
SCL,"5/2/2024 6 p.m. PDT",1014,1088,585,-429
SCL,"5/2/2024 7 p.m. PDT",1009,1077,775,-234
SCL,"5/2/2024 8 p.m. PDT",1003,1067,792,-211
SCL,"5/2/2024 9 p.m. PDT",1013,1071,709,-304
SCL,"5/2/2024 10 p.m. PDT",1003,1054,618,-385
SCL,"5/2/2024 11 p.m. PDT",934,989,600,-334
SCL,"5/3/2024 12 a.m. PDT",859,918,566,-293
SCL,"5/3/2024 1 a.m. PDT",809,816,614,-195
SCL,"5/3/2024 2 a.m. PDT",780,781,587,-193
SCL,"5/3/2024 3 a.m. PDT",757,766,538,-219
SCL,"5/3/2024 4 a.m. PDT",760,769,567,-193
SCL,"5/3/2024 5 a.m. PDT",792,801,628,-164
SCL,"5/3/2024 6 a.m. PDT",865,877,742,-123
SCL,"5/3/2024 7 a.m. PDT",975,986,821,-154
SCL,"5/3/2024 8 a.m. PDT",1051,1078,879,-172
SCL,"5/3/2024 9 a.m. PDT",1075,1094,758,-317
SCL,"5/3/2024 10 a.m. PDT",1076,1093,612,-464
SCL,"5/3/2024 11 a.m. PDT",1068,1080,582,-486
SCL,"5/3/2024 12 p.m. PDT",1066,1076,609,-457
SCL,"5/3/2024 1 p.m. PDT",1065,1068,553,-512
SCL,"5/3/2024 2 p.m. PDT",1065,1058,559,-506
SCL,"5/3/2024 3 p.m. PDT",1047,1049,546,-501
