"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"11/1/2024 12 a.m. PDT",966,993,709,-257
SCL,"11/1/2024 1 a.m. PDT",911,917,468,-443
SCL,"11/1/2024 2 a.m. PDT",880,878,314,-566
SCL,"11/1/2024 3 a.m. PDT",857,861,320,-537
SCL,"11/1/2024 4 a.m. PDT",855,865,325,-530
SCL,"11/1/2024 5 a.m. PDT",891,908,357,-534
SCL,"11/1/2024 6 a.m. PDT",972,1004,366,-606
SCL,"11/1/2024 7 a.m. PDT",1096,1144,602,-494
SCL,"11/1/2024 8 a.m. PDT",1216,1269,715,-501
SCL,"11/1/2024 9 a.m. PDT",1242,1303,692,-550
SCL,"11/1/2024 10 a.m. PDT",1281,1299,541,-740
SCL,"11/1/2024 11 a.m. PDT",1289,1285,484,-805
SCL,"11/1/2024 12 p.m. PDT",1297,1271,496,-801
SCL,"11/1/2024 1 p.m. PDT",1314,1256,485,-829
SCL,"11/1/2024 2 p.m. PDT",1298,1241,501,-797
SCL,"11/1/2024 3 p.m. PDT",1265,1221,520,-745
SCL,"11/1/2024 4 p.m. PDT",1247,1205,536,-711
SCL,"11/1/2024 5 p.m. PDT",1241,1226,635,-606
SCL,"11/1/2024 6 p.m. PDT",1256,1240,793,-463
SCL,"11/1/2024 7 p.m. PDT",1257,1247,780,-477
SCL,"11/1/2024 8 p.m. PDT",1216,1213,763,-453
SCL,"11/1/2024 9 p.m. PDT",1183,1172,693,-490
SCL,"11/1/2024 10 p.m. PDT",1139,1132,740,-399
SCL,"11/1/2024 11 p.m. PDT",1066,1070,581,-485
SCL,"11/2/2024 12 a.m. PDT",1008,1005,531,-477
SCL,"11/2/2024 1 a.m. PDT",948,921,318,-630
SCL,"11/2/2024 2 a.m. PDT",909,875,291,-618
SCL,"11/2/2024 3 a.m. PDT",885,853,269,-616
SCL,"11/2/2024 4 a.m. PDT",870,847,271,-599
SCL,"11/2/2024 5 a.m. PDT",867,866,289,-578
SCL,"11/2/2024 6 a.m. PDT",903,910,327,-576
SCL,"11/2/2024 7 a.m. PDT",955,981,514,-441
SCL,"11/2/2024 8 a.m. PDT",1017,1069,499,-518
SCL,"11/2/2024 9 a.m. PDT",1086,1127,532,-554
SCL,"11/2/2024 10 a.m. PDT",1124,1165,527,-597
SCL,"11/2/2024 11 a.m. PDT",1151,1179,523,-628
SCL,"11/2/2024 12 p.m. PDT",1145,1177,528,-617
SCL,"11/2/2024 1 p.m. PDT",1111,1161,525,-586
SCL,"11/2/2024 2 p.m. PDT",1094,1142,527,-567
SCL,"11/2/2024 3 p.m. PDT",1089,1119,527,-562
SCL,"11/2/2024 4 p.m. PDT",1100,1106,541,-559
SCL,"11/2/2024 5 p.m. PDT",1127,1129,653,-474
SCL,"11/2/2024 6 p.m. PDT",1165,1162,687,-478
SCL,"11/2/2024 7 p.m. PDT",1193,1200,700,-493
SCL,"11/2/2024 8 p.m. PDT",1144,1189,698,-446
SCL,"11/2/2024 9 p.m. PDT",1150,1168,660,-490
SCL,"11/2/2024 10 p.m. PDT",1108,1127,631,-477
SCL,"11/2/2024 11 p.m. PDT",1063,1076,520,-543
SCL,"11/3/2024 12 a.m. PDT",996,1013,440,-556
SCL,"11/3/2024 1 a.m. PDT",996,,440,
SCL,"11/3/2024 1 a.m. PST",907,,259,-648
SCL,"11/3/2024 2 a.m. PST",877,,362,-515
SCL,"11/3/2024 3 a.m. PST",867,876,278,-589
SCL,"11/3/2024 4 a.m. PST",860,857,302,-558
SCL,"11/3/2024 5 a.m. PST",872,851,310,-562
SCL,"11/3/2024 6 a.m. PST",906,864,340,-566
SCL,"11/3/2024 7 a.m. PST",958,895,420,-538
SCL,"11/3/2024 8 a.m. PST",1022,953,467,-555
SCL,"11/3/2024 9 a.m. PST",1079,1005,402,-677
SCL,"11/3/2024 10 a.m. PST",1099,1053,453,-646
SCL,"11/3/2024 11 a.m. PST",1123,1083,462,-661
SCL,"11/3/2024 12 p.m. PST",1114,1092,390,-724
SCL,"11/3/2024 1 p.m. PST",1105,1091,328,-777
SCL,"11/3/2024 2 p.m. PST",1102,1087,309,-793
SCL,"11/3/2024 3 p.m. PST",1089,1071,338,-751
SCL,"11/3/2024 4 p.m. PST",1109,1079,427,-682
SCL,"11/3/2024 5 p.m. PST",1163,1101,649,-514
SCL,"11/3/2024 6 p.m. PST",1224,1161,710,-514
SCL,"11/3/2024 7 p.m. PST",1229,1218,826,-403
SCL,"11/3/2024 8 p.m. PST",1202,1219,834,-368
SCL,"11/3/2024 9 p.m. PST",1150,1197,698,-452
SCL,"11/3/2024 10 p.m. PST",1111,1162,648,-463
SCL,"11/3/2024 11 p.m. PST",1025,1105,553,-472
SCL,"11/4/2024 12 a.m. PST",958,1039,503,-455
SCL,"11/4/2024 1 a.m. PST",915,868,423,-492
SCL,"11/4/2024 2 a.m. PST",876,843,374,-502
SCL,"11/4/2024 3 a.m. PST",872,830,383,-489
SCL,"11/4/2024 4 a.m. PST",885,839,414,-471
SCL,"11/4/2024 5 a.m. PST",920,884,452,-468
SCL,"11/4/2024 6 a.m. PST",1019,982,436,-583
SCL,"11/4/2024 7 a.m. PST",1170,1123,618,-552
SCL,"11/4/2024 8 a.m. PST",1277,1228,725,-552
SCL,"11/4/2024 9 a.m. PST",1312,1250,650,-662
SCL,"11/4/2024 10 a.m. PST",1320,1248,819,-501
SCL,"11/4/2024 11 a.m. PST",1311,1231,729,-582
SCL,"11/4/2024 12 p.m. PST",1249,1223,628,-621
SCL,"11/4/2024 1 p.m. PST",1212,1205,616,-596
SCL,"11/4/2024 2 p.m. PST",1173,1182,473,-700
SCL,"11/4/2024 3 p.m. PST",1158,1162,400,-758
SCL,"11/4/2024 4 p.m. PST",1136,1179,492,-644
SCL,"11/4/2024 5 p.m. PST",1189,1242,680,-509
SCL,"11/4/2024 6 p.m. PST",1270,1305,740,-530
SCL,"11/4/2024 7 p.m. PST",1273,1284,716,-557
SCL,"11/4/2024 8 p.m. PST",1240,1251,711,-529
SCL,"11/4/2024 9 p.m. PST",1199,1213,756,-443
