"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"10/1/2024 12 a.m. PDT",868,850,769,-99
SCL,"10/1/2024 1 a.m. PDT",820,774,796,-24
SCL,"10/1/2024 2 a.m. PDT",783,744,798,15
SCL,"10/1/2024 3 a.m. PDT",772,729,790,18
SCL,"10/1/2024 4 a.m. PDT",765,731,787,22
SCL,"10/1/2024 5 a.m. PDT",796,759,798,2
SCL,"10/1/2024 6 a.m. PDT",867,836,785,-82
SCL,"10/1/2024 7 a.m. PDT",991,967,765,-226
SCL,"10/1/2024 8 a.m. PDT",1089,1064,220,-869
SCL,"10/1/2024 9 a.m. PDT",1109,1078,170,-939
SCL,"10/1/2024 10 a.m. PDT",1094,1062,141,-953
SCL,"10/1/2024 11 a.m. PDT",1095,1042,117,-978
SCL,"10/1/2024 12 p.m. PDT",1088,1030,125,-963
SCL,"10/1/2024 1 p.m. PDT",1076,1021,119,-957
SCL,"10/1/2024 2 p.m. PDT",1091,1015,189,-902
SCL,"10/1/2024 3 p.m. PDT",1065,1010,179,-886
SCL,"10/1/2024 4 p.m. PDT",1062,1005,143,-919
SCL,"10/1/2024 5 p.m. PDT",1082,1015,160,-922
SCL,"10/1/2024 6 p.m. PDT",1098,1028,156,-942
SCL,"10/1/2024 7 p.m. PDT",1077,1041,172,-905
SCL,"10/1/2024 8 p.m. PDT",1080,1061,167,-913
SCL,"10/1/2024 9 p.m. PDT",1042,1030,753,-289
SCL,"10/1/2024 10 p.m. PDT",979,978,770,-209
SCL,"10/1/2024 11 p.m. PDT",941,906,886,-55
SCL,"10/2/2024 12 a.m. PDT",866,837,811,-55
SCL,"10/2/2024 1 a.m. PDT",817,777,786,-31
SCL,"10/2/2024 2 a.m. PDT",789,739,781,-8
SCL,"10/2/2024 3 a.m. PDT",761,723,778,17
SCL,"10/2/2024 4 a.m. PDT",751,723,783,32
SCL,"10/2/2024 5 a.m. PDT",736,751,769,33
SCL,"10/2/2024 6 a.m. PDT",799,828,766,-33
SCL,"10/2/2024 7 a.m. PDT",927,959,728,-199
SCL,"10/2/2024 8 a.m. PDT",1006,1064,212,-794
SCL,"10/2/2024 9 a.m. PDT",1037,1083,200,-837
SCL,"10/2/2024 10 a.m. PDT",1033,1073,157,-876
SCL,"10/2/2024 11 a.m. PDT",1016,1063,189,-827
SCL,"10/2/2024 12 p.m. PDT",1009,1050,211,-798
SCL,"10/2/2024 1 p.m. PDT",1008,1043,168,-840
SCL,"10/2/2024 2 p.m. PDT",1005,1039,127,-878
