"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"9/1/2024 12 a.m. PDT",962,889,289,-673
SCL,"9/1/2024 1 a.m. PDT",858,859,210,-648
SCL,"9/1/2024 2 a.m. PDT",852,815,203,-649
SCL,"9/1/2024 3 a.m. PDT",816,785,197,-619
SCL,"9/1/2024 4 a.m. PDT",800,766,196,-604
SCL,"9/1/2024 5 a.m. PDT",800,760,205,-595
SCL,"9/1/2024 6 a.m. PDT",796,766,201,-595
SCL,"9/1/2024 7 a.m. PDT",819,786,331,-488
SCL,"9/1/2024 8 a.m. PDT",850,818,325,-525
SCL,"9/1/2024 9 a.m. PDT",914,877,299,-615
SCL,"9/1/2024 10 a.m. PDT",956,928,301,-655
SCL,"9/1/2024 11 a.m. PDT",1006,970,308,-698
SCL,"9/1/2024 12 p.m. PDT",1040,997,312,-728
SCL,"9/1/2024 1 p.m. PDT",1058,1016,312,-746
SCL,"9/1/2024 2 p.m. PDT",1077,1034,342,-735
SCL,"9/1/2024 3 p.m. PDT",1053,1049,344,-709
SCL,"9/1/2024 4 p.m. PDT",1075,1059,332,-743
SCL,"9/1/2024 5 p.m. PDT",1145,1084,341,-804
SCL,"9/1/2024 6 p.m. PDT",1157,1099,631,-526
SCL,"9/1/2024 7 p.m. PDT",1159,1097,633,-526
SCL,"9/1/2024 8 p.m. PDT",1119,1088,619,-500
SCL,"9/1/2024 9 p.m. PDT",1111,1084,550,-561
SCL,"9/1/2024 10 p.m. PDT",1068,1042,504,-564
SCL,"9/1/2024 11 p.m. PDT",990,984,275,-715
SCL,"9/2/2024 12 a.m. PDT",935,904,266,-669
SCL,"9/2/2024 1 a.m. PDT",871,824,177,-694
SCL,"9/2/2024 2 a.m. PDT",838,794,159,-679
SCL,"9/2/2024 3 a.m. PDT",810,768,160,-650
SCL,"9/2/2024 4 a.m. PDT",798,755,157,-641
SCL,"9/2/2024 5 a.m. PDT",800,756,156,-644
SCL,"9/2/2024 6 a.m. PDT",827,777,163,-664
SCL,"9/2/2024 7 a.m. PDT",850,807,283,-567
SCL,"9/2/2024 8 a.m. PDT",887,834,284,-603
SCL,"9/2/2024 9 a.m. PDT",925,874,268,-657
SCL,"9/2/2024 10 a.m. PDT",971,911,273,-698
SCL,"9/2/2024 11 a.m. PDT",1001,947,273,-728
SCL,"9/2/2024 12 p.m. PDT",1029,968,254,-775
SCL,"9/2/2024 1 p.m. PDT",1038,984,278,-760
SCL,"9/2/2024 2 p.m. PDT",1035,991,270,-765
SCL,"9/2/2024 3 p.m. PDT",1047,1006,283,-764
SCL,"9/2/2024 4 p.m. PDT",1058,1026,281,-777
SCL,"9/2/2024 5 p.m. PDT",1074,1047,388,-686
SCL,"9/2/2024 6 p.m. PDT",1075,1051,514,-561
SCL,"9/2/2024 7 p.m. PDT",1080,1039,563,-517
SCL,"9/2/2024 8 p.m. PDT",1063,1028,567,-496
SCL,"9/2/2024 9 p.m. PDT",1011,1036,414,-597
SCL,"9/2/2024 10 p.m. PDT",972,991,402,-570
SCL,"9/2/2024 11 p.m. PDT",900,927,284,-616
SCL,"9/3/2024 12 a.m. PDT",839,860,268,-571
SCL,"9/3/2024 1 a.m. PDT",775,790,241,-534
SCL,"9/3/2024 2 a.m. PDT",744,758,200,-544
SCL,"9/3/2024 3 a.m. PDT",729,739,116,-613
SCL,"9/3/2024 4 a.m. PDT",718,734,115,-603
SCL,"9/3/2024 5 a.m. PDT",737,753,136,-601
SCL,"9/3/2024 6 a.m. PDT",779,808,220,-559
SCL,"9/3/2024 7 a.m. PDT",877,902,392,-485
SCL,"9/3/2024 8 a.m. PDT",947,978,368,-579
SCL,"9/3/2024 9 a.m. PDT",1010,1009,322,-688
SCL,"9/3/2024 10 a.m. PDT",1066,1024,308,-758
SCL,"9/3/2024 11 a.m. PDT",1078,1032,454,-624
SCL,"9/3/2024 12 p.m. PDT",1100,1043,355,-745
SCL,"9/3/2024 1 p.m. PDT",1109,1056,426,-683
SCL,"9/3/2024 2 p.m. PDT",197,1066,447,250
SCL,"9/3/2024 3 p.m. PDT",1114,1069,341,-773
SCL,"9/3/2024 4 p.m. PDT",1125,1076,337,-788
SCL,"9/3/2024 5 p.m. PDT",1145,1094,606,-539
SCL,"9/3/2024 6 p.m. PDT",1154,1095,617,-537
SCL,"9/3/2024 7 p.m. PDT",1123,1067,659,-464
SCL,"9/3/2024 8 p.m. PDT",1116,1052,567,-549
SCL,"9/3/2024 9 p.m. PDT",1107,1050,457,-650
SCL,"9/3/2024 10 p.m. PDT",1050,1002,470,-580
SCL,"9/3/2024 11 p.m. PDT",982,929,212,-770
SCL,"9/4/2024 12 a.m. PDT",904,855,168,-736
SCL,"9/4/2024 1 a.m. PDT",845,807,244,-601
SCL,"9/4/2024 2 a.m. PDT",802,771,210,-592
SCL,"9/4/2024 3 a.m. PDT",774,750,165,-609
SCL,"9/4/2024 4 a.m. PDT",774,743,134,-640
SCL,"9/4/2024 5 a.m. PDT",732,759,131,-601
SCL,"9/4/2024 6 a.m. PDT",782,814,195,-587
SCL,"9/4/2024 7 a.m. PDT",877,906,314,-563
SCL,"9/4/2024 8 a.m. PDT",943,980,301,-642
SCL,"9/4/2024 9 a.m. PDT",972,1011,301,-671
SCL,"9/4/2024 10 a.m. PDT",998,1025,223,-775
SCL,"9/4/2024 11 a.m. PDT",1026,1036,270,-756
SCL,"9/4/2024 12 p.m. PDT",1041,1049,248,-793
SCL,"9/4/2024 1 p.m. PDT",1067,1063,293,-774
SCL,"9/4/2024 2 p.m. PDT",1087,1077,306,-781
SCL,"9/4/2024 3 p.m. PDT",1108,1087,305,-803
SCL,"9/4/2024 4 p.m. PDT",1126,1101,370,-756
SCL,"9/4/2024 5 p.m. PDT",1156,1126,451,-705
SCL,"9/4/2024 6 p.m. PDT",1165,1127,417,-748
SCL,"9/4/2024 7 p.m. PDT",1135,1096,766,-369
SCL,"9/4/2024 8 p.m. PDT",1105,1071,743,-362
SCL,"9/4/2024 9 p.m. PDT",1087,1064,690,-397
SCL,"9/4/2024 10 p.m. PDT",1033,1016,434,-599
SCL,"9/4/2024 11 p.m. PDT",958,944,316,-642
SCL,"9/5/2024 12 a.m. PDT",890,869,204,-686
SCL,"9/5/2024 1 a.m. PDT",824,828,205,-619
SCL,"9/5/2024 2 a.m. PDT",777,791,174,-603
SCL,"9/5/2024 3 a.m. PDT",753,768,122,-631
SCL,"9/5/2024 4 a.m. PDT",739,759,115,-624
SCL,"9/5/2024 5 a.m. PDT",748,774,120,-628
SCL,"9/5/2024 6 a.m. PDT",801,827,174,-627
SCL,"9/5/2024 7 a.m. PDT",889,921,288,-601
SCL,"9/5/2024 8 a.m. PDT",971,998,314,-657
SCL,"9/5/2024 9 a.m. PDT",1020,1033,312,-708
SCL,"9/5/2024 10 a.m. PDT",1065,1057,487,-578
SCL,"9/5/2024 11 a.m. PDT",1093,1078,482,-611
SCL,"9/5/2024 12 p.m. PDT",1120,1104,485,-635
SCL,"9/5/2024 1 p.m. PDT",1157,1127,516,-641
SCL,"9/5/2024 2 p.m. PDT",1188,1151,531,-657
SCL,"9/5/2024 3 p.m. PDT",1218,1167,581,-637
SCL,"9/5/2024 4 p.m. PDT",1241,1184,503,-738
SCL,"9/5/2024 5 p.m. PDT",1274,1218,639,-635
SCL,"9/5/2024 6 p.m. PDT",1286,1215,887,-399
SCL,"9/5/2024 7 p.m. PDT",1240,1181,933,-307
SCL,"9/5/2024 8 p.m. PDT",1209,1148,881,-328
SCL,"9/5/2024 9 p.m. PDT",1181,1128,766,-415
SCL,"9/5/2024 10 p.m. PDT",1121,1077,813,-308
SCL,"9/5/2024 11 p.m. PDT",1038,1001,432,-606
SCL,"9/6/2024 12 a.m. PDT",955,923,329,-626
SCL,"9/6/2024 1 a.m. PDT",888,890,227,-661
SCL,"9/6/2024 2 a.m. PDT",834,851,125,-709
SCL,"9/6/2024 3 a.m. PDT",803,822,148,-655
SCL,"9/6/2024 4 a.m. PDT",783,807,117,-666
SCL,"9/6/2024 5 a.m. PDT",795,813,147,-648
SCL,"9/6/2024 6 a.m. PDT",852,856,156,-696
SCL,"9/6/2024 7 a.m. PDT",929,939,292,-637
SCL,"9/6/2024 8 a.m. PDT",1015,1007,630,-385
SCL,"9/6/2024 9 a.m. PDT",1080,1040,713,-367
SCL,"9/6/2024 10 a.m. PDT",1151,1072,558,-593
SCL,"9/6/2024 11 a.m. PDT",1186,1097,627,-559
SCL,"9/6/2024 12 p.m. PDT",1191,1122,633,-558
SCL,"9/6/2024 1 p.m. PDT",1195,1145,662,-533
SCL,"9/6/2024 2 p.m. PDT",1225,1172,673,-552
SCL,"9/6/2024 3 p.m. PDT",1300,1188,677,-623
SCL,"9/6/2024 4 p.m. PDT",1313,1206,799,-514
SCL,"9/6/2024 5 p.m. PDT",1342,1232,800,-542
SCL,"9/6/2024 6 p.m. PDT",1332,1214,943,-389
SCL,"9/6/2024 7 p.m. PDT",1268,1161,950,-318
SCL,"9/6/2024 8 p.m. PDT",1216,1115,840,-376
SCL,"9/6/2024 9 p.m. PDT",1183,1094,651,-532
SCL,"9/6/2024 10 p.m. PDT",1085,1051,643,-442
SCL,"9/6/2024 11 p.m. PDT",1017,996,274,-743
SCL,"9/7/2024 12 a.m. PDT",975,936,276,-699
SCL,"9/7/2024 1 a.m. PDT",933,900,218,-715
SCL,"9/7/2024 2 a.m. PDT",883,854,201,-682
SCL,"9/7/2024 3 a.m. PDT",852,821,161,-691
SCL,"9/7/2024 4 a.m. PDT",828,799,148,-680
SCL,"9/7/2024 5 a.m. PDT",830,790,117,-713
SCL,"9/7/2024 6 a.m. PDT",839,799,150,-689
SCL,"9/7/2024 7 a.m. PDT",833,825,292,-541
SCL,"9/7/2024 8 a.m. PDT",903,865,301,-602
SCL,"9/7/2024 9 a.m. PDT",959,921,298,-661
SCL,"9/7/2024 10 a.m. PDT",1011,968,364,-647
SCL,"9/7/2024 11 a.m. PDT",1053,1002,379,-674
SCL,"9/7/2024 12 p.m. PDT",1074,1030,394,-680
SCL,"9/7/2024 1 p.m. PDT",1097,1048,421,-676
SCL,"9/7/2024 2 p.m. PDT",1100,1064,455,-645
SCL,"9/7/2024 3 p.m. PDT",1081,1073,454,-627
SCL,"9/7/2024 4 p.m. PDT",1067,1085,442,-625
SCL,"9/7/2024 5 p.m. PDT",1087,1097,585,-502
SCL,"9/7/2024 6 p.m. PDT",1095,1093,840,-255
SCL,"9/7/2024 7 p.m. PDT",1082,1089,857,-225
SCL,"9/7/2024 8 p.m. PDT",1081,1073,856,-225
SCL,"9/7/2024 9 p.m. PDT",1084,1065,740,-344
SCL,"9/7/2024 10 p.m. PDT",1042,1031,507,-535
SCL,"9/7/2024 11 p.m. PDT",994,987,369,-625
SCL,"9/8/2024 12 a.m. PDT",931,931,326,-605
SCL,"9/8/2024 1 a.m. PDT",889,853,248,-641
SCL,"9/8/2024 2 a.m. PDT",858,813,198,-660
SCL,"9/8/2024 3 a.m. PDT",819,785,193,-626
SCL,"9/8/2024 4 a.m. PDT",802,767,152,-650
SCL,"9/8/2024 5 a.m. PDT",774,760,148,-626
SCL,"9/8/2024 6 a.m. PDT",804,768,154,-650
SCL,"9/8/2024 7 a.m. PDT",818,788,250,-568
SCL,"9/8/2024 8 a.m. PDT",852,820,201,-651
SCL,"9/8/2024 9 a.m. PDT",898,875,300,-598
SCL,"9/8/2024 10 a.m. PDT",946,924,307,-639
SCL,"9/8/2024 11 a.m. PDT",981,959,308,-673
SCL,"9/8/2024 12 p.m. PDT",990,982,307,-683
SCL,"9/8/2024 1 p.m. PDT",1008,997,308,-700
SCL,"9/8/2024 2 p.m. PDT",1014,1011,312,-702
SCL,"9/8/2024 3 p.m. PDT",1030,1027,497,-533
SCL,"9/8/2024 4 p.m. PDT",1044,1035,501,-543
SCL,"9/8/2024 5 p.m. PDT",1090,1059,713,-377
SCL,"9/8/2024 6 p.m. PDT",1132,1077,749,-383
SCL,"9/8/2024 7 p.m. PDT",1131,1075,799,-332
SCL,"9/8/2024 8 p.m. PDT",1130,1069,793,-337
SCL,"9/8/2024 9 p.m. PDT",1104,1053,745,-359
SCL,"9/8/2024 10 p.m. PDT",1038,1012,492,-546
SCL,"9/8/2024 11 p.m. PDT",973,955,407,-566
SCL,"9/9/2024 12 a.m. PDT",907,890,208,-699
SCL,"9/9/2024 1 a.m. PDT",844,812,94,-750
SCL,"9/9/2024 2 a.m. PDT",806,778,93,-713
SCL,"9/9/2024 3 a.m. PDT",788,759,95,-693
SCL,"9/9/2024 4 a.m. PDT",757,755,92,-665
SCL,"9/9/2024 5 a.m. PDT",796,770,97,-699
SCL,"9/9/2024 6 a.m. PDT",849,824,195,-654
SCL,"9/9/2024 7 a.m. PDT",899,911,205,-694
SCL,"9/9/2024 8 a.m. PDT",973,979,240,-733
SCL,"9/9/2024 9 a.m. PDT",1054,1005,367,-687
SCL,"9/9/2024 10 a.m. PDT",1065,1019,430,-635
SCL,"9/9/2024 11 a.m. PDT",1060,1027,429,-631
