date,temperature_2m,relative_humidity_2m,precipitation,snowfall,snow_depth,weather_code,wind_speed_10m,soil_temperature_0_to_7cm,surface_pressure,cloud_cover,BA Code,Timestamp (Hour Ending),Hydro Generation (MWh),timestamp,Demand (MWh)
2024-01-01 07:00:00+00:00,3.2034998,98.24763,0.0,0.0,0.0,3.0,4.1046314,4.8535,1015.67017,100.0,SCL,1/1/2024 7 a.m. PST,346.0,2024-01-01 07:00:00,1144.0
2024-01-01 08:00:00+00:00,2.7535,98.24127,0.0,0.0,0.0,3.0,2.968636,4.7035,1015.8566,100.0,SCL,1/1/2024 8 a.m. PST,374.0,2024-01-01 08:00:00,1188.0
2024-01-01 09:00:00+00:00,2.2034998,98.58451,0.0,0.0,0.0,3.0,3.0758414,4.4535,1016.04047,100.0,SCL,1/1/2024 9 a.m. PST,404.0,2024-01-01 09:00:00,1212.0
2024-01-01 10:00:00+00:00,2.3035,95.81003,0.0,0.0,0.0,3.0,3.2599385,4.2535,1016.3408,100.0,SCL,1/1/2024 10 a.m. PST,420.0,2024-01-01 10:00:00,1207.0
2024-01-01 11:00:00+00:00,2.4034998,91.78274,0.0,0.0,0.0,3.0,5.04,4.1035,1016.7408,100.0,SCL,1/1/2024 11 a.m. PST,479.0,2024-01-01 11:00:00,1221.0
2024-01-01 12:00:00+00:00,2.1534998,91.10845,0.0,0.0,0.0,3.0,6.849467,3.9035,1016.13855,97.0,SCL,1/1/2024 12 p.m. PST,464.0,2024-01-01 12:00:00,1262.0
2024-01-01 13:00:00+00:00,2.4534998,86.33509,0.0,0.0,0.0,3.0,4.802999,4.8535,1015.74945,100.0,SCL,1/1/2024 1 p.m. PST,462.0,2024-01-01 13:00:00,1279.0
2024-01-01 14:00:00+00:00,1.9534999,90.11367,0.0,0.0,0.0,3.0,2.4149535,4.4035,1015.63666,100.0,SCL,1/1/2024 2 p.m. PST,398.0,2024-01-01 14:00:00,1263.0
2024-01-01 15:00:00+00:00,1.4035,90.07129,0.0,0.0,0.0,3.0,2.5455842,3.9534998,1015.72107,100.0,SCL,1/1/2024 3 p.m. PST,401.0,2024-01-01 15:00:00,1252.0
2024-01-01 16:00:00+00:00,1.2035,89.07895,0.0,0.0,0.0,3.0,4.0249224,3.5035,1015.9142,100.0,SCL,1/1/2024 4 p.m. PST,437.0,2024-01-01 16:00:00,1270.0
2024-01-01 17:00:00+00:00,2.0035,87.54834,0.0,0.0,0.0,3.0,6.9153743,3.4534998,1016.0351,93.0,SCL,1/1/2024 5 p.m. PST,577.0,2024-01-01 17:00:00,1350.0
2024-01-01 18:00:00+00:00,2.6035,91.46707,0.0,0.0,0.0,2.0,4.8965297,4.0534997,1016.6469,78.0,SCL,1/1/2024 6 p.m. PST,681.0,2024-01-01 18:00:00,1397.0
2024-01-01 19:00:00+00:00,3.5035,88.319565,0.0,0.0,0.0,1.0,4.0249224,4.9035,1016.96875,42.0,SCL,1/1/2024 7 p.m. PST,625.0,2024-01-01 19:00:00,1372.0
2024-01-01 20:00:00+00:00,4.5035,84.115654,0.0,0.0,0.0,3.0,2.968636,5.8535,1016.3999,100.0,SCL,1/1/2024 8 p.m. PST,585.0,2024-01-01 20:00:00,1338.0
2024-01-01 21:00:00+00:00,5.2535,79.26439,0.0,0.0,0.0,3.0,3.319036,6.6035,1015.9232,100.0,SCL,1/1/2024 9 p.m. PST,574.0,2024-01-01 21:00:00,1298.0
2024-01-01 22:00:00+00:00,5.5534997,79.309135,0.0,0.0,0.0,3.0,4.3498964,6.8034997,1015.8319,100.0,SCL,1/1/2024 10 p.m. PST,476.0,2024-01-01 22:00:00,1243.0
2024-01-01 23:00:00+00:00,5.6535,78.48161,0.0,0.0,0.0,3.0,1.2979984,6.7535,1015.636,100.0,SCL,1/1/2024 11 p.m. PST,390.0,2024-01-01 23:00:00,1181.0
2024-01-02 00:00:00+00:00,5.0035,88.765205,0.0,0.0,0.0,3.0,2.16,6.3535,1015.619,100.0,SCL,1/2/2024 12 a.m. PST,271.0,2024-01-02 00:00:00,1092.0
2024-01-02 01:00:00+00:00,3.6535,92.5175,0.0,0.0,0.0,3.0,3.2599385,6.0534997,1015.2853,100.0,SCL,1/2/2024 1 a.m. PST,296.0,2024-01-02 01:00:00,1044.0
2024-01-02 02:00:00+00:00,3.6035,94.84059,0.0,0.0,0.0,3.0,5.0528407,5.3535,1014.88684,100.0,SCL,1/2/2024 2 a.m. PST,254.0,2024-01-02 02:00:00,1012.0
2024-01-02 03:00:00+00:00,4.0035,91.559555,0.0,0.0,0.0,3.0,5.7599998,4.9535,1014.4009,99.0,SCL,1/2/2024 3 a.m. PST,247.0,2024-01-02 03:00:00,1002.0
2024-01-02 04:00:00+00:00,2.9034998,89.22145,0.0,0.0,0.0,3.0,9.028754,4.4035,1014.27246,100.0,SCL,1/2/2024 4 a.m. PST,239.0,2024-01-02 04:00:00,1017.0
2024-01-02 05:00:00+00:00,3.1035,84.55647,0.0,0.0,0.0,3.0,7.928178,4.0035,1013.4837,100.0,SCL,1/2/2024 5 a.m. PST,256.0,2024-01-02 05:00:00,1057.0
2024-01-02 06:00:00+00:00,3.0035,81.24919,0.0,0.0,0.0,3.0,8.647496,3.6535,1012.98444,100.0,SCL,1/2/2024 6 a.m. PST,306.0,2024-01-02 06:00:00,1161.0
2024-01-02 07:00:00+00:00,3.2034998,80.39908,0.0,0.0,0.0,3.0,7.2359104,3.4034998,1012.79126,100.0,SCL,1/2/2024 7 a.m. PST,339.0,2024-01-02 07:00:00,1289.0
